standardized_disease,list_of_diseases_fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf_fuzzy_tfidf_fuzzy_tfidf
batuk,"['batuk karena emphysema', 'batuk disebabkan alergi', 'batuk produktifberdahak  nonproduktifkering', 'batuk karena alergi', 'batuk yang disertai peradangan saluran pernafasan bagian atas', 'batuk panas', 'batuk produktifberdahak nonproduktifkering', 'batuk rangsangan selaput pernafasan', 'batuk', 'batuk gatal', 'batuk yang disebabkan oleh alergi', 'batuk bronchitis', 'batuk disebabkan oleh alergi', 'batuk tenggorokan', 'batuk karena bronchitis', 'batuk alergi', 'batuk disertai peradangan saluran pernafasan bagian atas', 'batuk menahun', 'batuk sesak', 'batuk akut kronik', 'batuk akibat alergi', 'meredakan batuk', 'gejala batuk']"
batuk berdahak,"['batuk berdahak disertai alergi', 'susah mengeluarkan dahak', 'dahak', 'ekspektoran batuk berdahak', 'batuk dahak kental', 'ekspektoran gangguan batuk berdahak', 'batuk berdahak alergi', 'batuk produktif berdahak', 'batuk produktif', 'batuk berdahak karena alergi', 'batuk produktifberdahak', 'dahak mukus', 'mukolitik', 'gangguan batuk berdahak', 'batuk mukolitik', 'ekspektoran', 'batuk berdahak', 'batuk ikke berdahak', 'dahak kental']"
batuk kering,"['batuk non produktif', 'batuk nonproduktiftidak berdahak', 'batuk kering', 'batuk tidak berdahak disertai bersinbersin alergi', 'batuk yang tidak berdahak disertai bersinbersin atau alergi', 'batuk nonproduktif', 'gejala batuk tidak berdahak', 'batuk nonproduktifkering']"
batuk kronis,"['batuk kronis', 'batuk kronis akut']"
batuk pilek,"['batuk berhubungan flu gangguan pernapasan', 'batukpilek', 'batuk/pilek', 'batuk pilek', 'batuk berhubungan pilek', 'batuk menyertai pilek alergi']"
batuk rejan,"['batuk rejanpertusis', 'batuk rejan']"
batuk tidak berdahak,"['batuk tidak berdahak', 'tidak berdahak']"
bau badan,['bau badan']
bau mulut,"['bau mulut sedap', 'bau mulut']"
bengkak,"['bengkak akibat terpukul', 'bengkak memar', 'bengak', 'bengkak atau memar', 'bengkak']"
benjolan payudara,"['benjolan benjolan payudara', 'benjolan payudara']"
berat badan berlebih,"['berat badan berlebih', 'kelebihan berat badan']"
bersin,"['bersin hidung tersumbat flu', 'bersin dan hidung tersumbat karena flu', 'bersinbersin disertai batuk', 'pilek bersin', 'bersinbersin yang disertai batuk', 'bersin disertai batuk', 'bersin bersin yang disertai batuk', 'bersinbersin', 'bersin', 'bersin bersin', 'pilek bersinbersin', 'bersin bersin disertai batuk']"
biang keringat,"['biang keringat alergi', 'biang keringet', 'gatal akibat keringat', 'biang keringat']"
bibir kering,"['bibir pecahpecah', 'kulit pecah pecah sudut mulut', 'bibir pecah pcah', 'bibir pecah pecah', 'bibir kering']"
biduran,"['biduran kaligata kronis', 'biduran', 'gangguan alergi urtikaria biduran kaligata kronis', 'kaligata', 'gatalgatal biduran', 'urtikaria biduran']"
bisul,"['bisul bernanah', 'bisul', 'bisul gatal']"
blastomikosis,['blastomikosis']
blefaritis,"['blefaritis nonpurulen', 'blefaritis non purulen', 'blefaritis', 'blefaritis alergi radang kelopak mata akibat alergi', 'blepharitis']"
blefarokonjungtivitis,"['blefarokonjungtivitis keratokonjungtivitis', 'blefarokonjungtivitis']"
bph (benign prostatic hyperplasia),"['pembesaran prostat jinak', 'bph', 'hiperplasia prostat', 'hiperplasia prostat jinak', 'terapi hiperplasia prostat jinak', 'benign prostatic hyperplasia', 'bph (benign prostatic hyperplasia)']"
bromokriptin,['bromokriptin']
bronkiektasis,"['bronkiektasi', 'bronkhiektasis', 'bronkiektasis']"
bronkiolitis,"['bronkiolitis', 'bronchiolitis']"
bronkitis,"['bronchitis', 'kaitan bronkhitis', 'bronkitis', 'bronkitis alergi', 'bronkhitis']"
bronkitis akut dan kronis,"['bronkritis kronik', 'exaserbasi akut bronkhitis khronik', 'ppok bronkhitis khronis', 'infeksi akut bronkitis kronis', 'eksaserbasi bronkhitis kronis', 'bronkhitis akut berulang', 'bronkhitis kronis', 'eksaserbasi akut bronkitis kronik', 'exaserbasi bronkhitis khronik', 'eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut', 'bronchitis akut kronik', 'eksaserbasi dari bronkhitis kronis', 'eksaserbasi bronkhitis khronik', 'akut bronkhitis', 'infeksi traktus respiratorius bronkhitis akut sinusitis akut', 'bronkhitis akut  khronis', 'bronkhitis akut', 'bronkhitis kronis dan eksaserbasi akut', 'bronkhitis akut kronis', 'eksaserbasi bronkitis kronis', 'bronkitis asmatis', 'bronkhitis pneumonia', 'bronkhitis akut dan kronik', 'bronkitis kronis', 'bronkhitis kronis dan eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut', 'bronkhitis kronis serta eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut', 'bronkhitis khronis', 'eksaserbasi bakterial akut bronkitis kronik', 'bronkitis kronik', 'bronkhitis akut kronik', 'eksaserbasi bakteri akut bronkitis kronis', 'bronkhitis kronis serta eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut', 'bronkhitis kronik', 'ppok', 'exaserbasi', 'eksaserbasi kronis akut', 'bronkhitis akut dan kronis', 'bronkitis menahun', 'bronkhitis khronis exaserbasi akut', 'bronkitis akut atau kronik', 'eksesarbasi bronkitis kronis', 'bronkhitis asmatik', 'bronkitis asmatik', 'bronkitis akut kronik', 'eksaserbasi akut dari bronkitis kronik', 'bronkitis kronis eksaserbasi akut', 'bronkhitis khronik', 'bronkitis asmatikus', 'bronkhitis akut dan kronis serta eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut', 'eksaserbasi akut dr bronkitis kronik', 'bronkitis khronis', 'bronkitis purulen', 'bronkitis kronik eksaserbasi akut', 'bronchitis akut dan kronik', 'bronkhitis akut khronis', 'bronkhitis akut kronis serta eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut', 'bronkhitis khronik emfisema', 'bronkitis akut', 'eksaserbasi akut bronkitis kronis', 'bronkhitis kronis eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut', 'bronkhitis kronis eksaserbasi akut', 'bronkitis akut dan kronik', 'eksaserbasi bakteri akut bronkitis kronik']"
bronkitis pneumonia,['bronkitis pneumonia']
bronkopasma,"['bronkhospasme reversibel', 'bronkospasme akut', 'bronkospasme semua jenis asma bronkial', 'penyakit2 paru menimbulkan komplikasi bronkhospasme', 'bronkospasma', 'bronkospasme kronis', 'bronkospasme reversibel', 'bronkospasme kronik', 'kondisi2 bronkhospastik', 'bronkhospastik lain', 'bronkospasme jenis asma bronkial', 'bronkospasme pada semua jenis asma bronkial', 'bronkhospastik', 'bronkhospasme', 'bronkospasme bronkitis kronik', 'bronkospasme']"
bronkopneumonia,['bronkopneumonia']
bronkopulmonal,['bronkopulmonal']
brucellosis,"['brucellosis', 'bruselosis']"
bursitis,['bursitis']
cacar air,['cacar air']
cacing cambuk,['cacing cambuk']
cacing gelang ascaris lumbricoides,"['cacing gelang ascaris lumbricoides', 'cacing gelang']"
cacing kremi,"['infeksi cacing kremi cacing gelang cacing tambang cacing cambuk infeksi cacing campuran tersebut', 'enterobius vermicularis', 'cacing', 'kremi', 'infeksi cacing kremi enterobius vermicularis', 'kecacingan', 'cacing kremi', 'infeksi cacing campuran', 'cacingan']"
cacing tambang,"['ancylostoma duodenale', 'cacing tambang ancylostoma duodenale', 'cacing tambang', 'necator americanus', 'cacing tambang necator americanus']"
cacing trichostrongylus colubriformis,['cacing trichostrongylus colubriformis']
campak,['campak']
candidiasis,"['candidiasis', 'candida candidiasis', 'kandidiasis vulvovagina', 'kandidiasi genetikal', 'gastrointestinal kandidosis sistemik', 'kandda vagina', 'infeksi kandida invasif', 'kandidiasis subkutan', 'orofaringeal infeksi kandida sistemik serius', 'kandiasis di organ genital', 'kandidiasis sistemik yang serius', 'kandidosis vulvovaginal', 'kandidiasi genetikal teritama', 'kandidiasis gastrointestinal', 'kandidiasis diseminata', 'kandida', 'intertrigo kandida', 'infeksi kandida sistemik', 'moniliasis', 'infeksi kandida kriptokokal', 'kandidiasis vulvovag', 'kandidiasis sistemik serius', 'kandiasis organ genital', 'kandidiasis', 'kandiasis', 'kandidiasis esofaringeal', 'infeksi kandida subkutan invasif', 'infeksi mikosis sistemik kandidiasis', 'kandidiasis kutaneus moniliasis', 'kandidiasis saluran cerna', 'kandidiasis sistemik', 'kandida jamur bakteri gram positif', 'kandidemia infeksi kandida sistemik', 'infeksi kandida sistemik serius', 'kandidiasis invasif', 'kandidosis', 'kandidiasis esofageal', 'kandidiasis kutaneus', 'infeksi kandida kriptokokal sistemik']"
cedera,['cedera']
cedera olahraga,"['cedera olahraga', 'cedera karena olahraga dan kecelakaan', 'cedera karena olahraga', 'cedera berolahraga kecelakaan', 'cedera jaringan lunak', 'cedera olahraga kecelakaan']"
cerebral palsy,"['cerbral palsy', 'cerebral palsy', 'kelumpuhan cerebral']"
chlamydia,"['chlamydia trachomatis', 'chlamydia', 'trachomatis']"
cocidioidomycosis,"['cocci dioidomycosis', 'coci dioidomycosis']"
common cold,"['commond cold', 'common cold', 'cold']"
covid-19,"['covid 19', 'covid-19', 'covid19']"
cystitis,['cystitis']
dakriosistitis,['dakriosistitis']
deep vein thrombosis,['deep vein thrombosis']
defisiensi asam folat,"['defisensi asam folat', 'defisiensi asam folat']"
defisiensi estrogen,['defisiensi estrogen']
defisiensi natrium hipovolemik,['defisiensi natrium hipovolemik']
defisiensi progesteron,['defisiensi progesteron']
defisiensi tiamin,"['kekurangan thiamin mononitrate', 'defisiensi tiamin']"
defisiensi vitamin b,"['defisiensi folic acid', 'kekurangan vitamin c b kompleks', 'kekurangan vitamin b', 'defisiensi vitamin b']"
defisiensi vitamin b1,"['kekurangan vitamin b1', 'defisiensi vitamin b1', 'defisiensi vit b1', 'defisiensi vit  b1']"
defisiensi vitamin b12,"['kekurangan vitamin b12', 'defisiensi vitamin b12', 'defisiensi vit b12']"
defisiensi vitamin b6,"['defisiensi vitamin b6', 'defisiensi vit b6', 'kekurangan vitamin b6']"
defisiensi vitamin d,"['kekurangan vitamin d kadar serum 25ohd 30 ngml', 'kekurangan vitamin d', 'pasien dengan kekurangan vitamin d']"
defisiensi vitamin e,['defisiensi vitamin e']
defisiensi vitamin neurotropik,['defisiensi vitamin neurotropik']
defisiensi zinc,['defisiensi zinc']
dehidrasi,"['dehidrasi sedang', 'dehidrasi', 'dehidrasi ringan', 'dehidrasisedang']"
demam,"['demam sesudah vaksinasi', 'demam imunisasi', 'demam paska vaksinasi', 'panas demam', 'demam q', 'demam pasca vaksinasi', 'demam setelah imunisasi', 'menurunkan demam', 'demam flu', 'demam pasca imunisasi', 'sakit demam', 'demam enterik infeksi pencernaan', 'demam', 'demam forte', 'demam menyertai flu paska vaksinasi', 'demam vaksinasi', 'demam akibat pilek', 'demam enterik', 'nyeri demam', 'demam sesudah imunisasi', 'demam menyertai flu', 'dmam']"
demam berdarah,['demam berdarah']
demam pada anak,"['demam anakanak', 'menurunkan demam anak', 'demam anak anak', 'demam anak', 'demam pada anak', 'demam anak dewasa']"
demam paratifoid,"['paratifoid', 'demam paratifoid']"
demam scarlet,['demam scarlet']
demam tifoid,['demam tifoid']
dermatitis,"['dermatitis komplikasi infeksi bakterial', 'dermatitis eksfoliatif', 'dermatitis terinfeksi bisul', 'dermatitis ekzematous', 'dermatitis terinfeksi', 'dermatitis alergi', 'dermatositosis', 'dermatitis', 'dermatitis disertai infeksi', 'dermatitis akut', 'dermatitis ekzematoid terinfeksi', 'dermatofitosis', 'eksim dermatitis', 'pruritik dermatitis', 'dermatitis lainnya', 'exfoliative dermatitis', 'dermatitis dengan komplikasi infeksi bakterial']"
dermatitis atopik,"['dermatitis atopic', 'dermatitis atopik alergi herediterketurunan', 'atopic dermatitis', 'dermatitis atopik kontak', 'kulit bersisik psoriasis dermatitis atopik', 'dermatitis kontak maupun atopik', 'kulit bersisik', 'dermatitis atopik', 'dermatitis kontak atopik']"
dermatitis kontak,"['dermatitis kontak jenis dermatitis', 'dermatitis kronik', 'contact dermatitis', 'dermatitis kontak', 'dermatitis akut kronik']"
dermatitis seboroik,"['seborrhoeic dermatitis', 'demartitis sebaroik ringan', 'seboroik', 'dermatitis seboroik']"
dermatomikosis,['dermatomikosis']
dermatomiositis,"['dermatomiositis', 'dermatomiosis']"
dermatosis,"['dermatosis responsif kortikosteroid', 'dermatosis bakterial', 'dermatosis lebih resisten', 'inflamasi dermatosis reponsif kortikosteroid', 'sermatosis responsif terhadap kortikosteroid', 'dermatosis responsif terhadap kortikosteroid', 'sermatosis', 'seluruh dermatosis responsif', 'dermatosis', 'dermatosis responsif terhadap kortikosteroid dengan komplikasi infeksi sekunder', 'dermatosis mikotik', 'dermatosis bakterial mikotik', 'dermatosis dengan disertai infeksi sekunder', 'dermatosis resisten', 'dermatosis lain', 'dermatosis alergi inflamasi', 'dermatosis alergi', 'dermatosis responsif', 'inflamasi dermatosis', 'dermatosis sensitif kortikosteroid']"
diabetes,"['diabetik', 'diabetik gastroparesis akut', 'diabetes melitus', 'diabetes mellitus', 'non insulin dependent type ii', 'insulin dependent diabetes mellitus', 'diabetik gastro paresis akut', 'non insulin dependent diabetes mellitus', 'diabetes obesitas', 'diabetik gastroparesis berulang', 'diabetes', 'non insulin dependent diabetic mellitus', 'paresis']"
diabetes tipe 1,"['diabetes tipe 1', 'diabetes melitus tipe  1', 'diabetes tipe - 1']"
diabetes tipe 2,"['diabetes melitus tipe 2', 'diabetes miletus tipe 2', 'diabetes tipe 2', 'dmt2', 'dm tipe 2', 'pasien dm tipe 2', 'diabetes mellitus tipe 2', 'diabetes tipe 2 terkontrol', 'diabetes melitus tipe  2', 'diabetes melitus tipe 1', 'diabetes tipe - 2', 'tipe 2', 'dm tipe  2']"
diare,"['diare kuman e coli staph kolopati spesifik non spesifik dewasa anak', 'diare mencret', 'diare anak', 'diare kronik', 'diare karena kuman e coli dan staph kolopati spesifik dan non spesifik pada dewasa dan anak', 'mencret', 'diare e  coli', 'diare non  spesifik', 'diare', 'diare non spesifik', 'diare ecoli', 'diare e coli', 'ecoli', 'diare nonspesifik', 'diare akut non spesifik', 'diare akut kronik', 'diare staph', 'diare akut non spesifik kronik', 'diare kronis', 'diare akut']"
difteri,"['difteri', 'difteri faringeal']"
discoid,"['diskoid', 'ekzema diskoid', 'dsikoid', 'diskoid lupus eritemmantosus', 'discoid']"
disentri,"['disentri basiler', 'disentri basil', 'paratifoid disentri basiler', 'disentri', 'enterokolitis disentri basiler akibat bakteri gram negatif']"
disfungsi ereksi,['disfungsi ereksi']
disfungsi ovulasi,"['gangguan ovulasi', 'disfungsi ovulasi', 'disovulasi']"
dislipidemia,"['dislipidemia campuran tipe iib', 'dislipidemia campuran', 'dislipidemia campuran fredrickson tipe iia iib', 'dislipidemia']"
dismenore,"['nyeri dismenore', 'dismenorea', 'dismenore primer', 'dismenore nyeri saat haid', 'haid', 'nyeri haid dismenore primer', 'dysmenorrhea', 'dismenorea primer', 'nyeri haid', 'dismenore', 'dysmenorrhea primer', 'disumenore', 'dismenore nyeri haid', 'nyeri haid dysmenorrhea primer', 'sakit haid', 'nyeri haid primer', 'dismenor primer', 'nyeri waktu haid', 'disenore', 'keram saat haid', 'dismenore pasca operasi', 'disenore nyeri haid', 'kram saat menstruasi', 'nyeri dismenore primer']"
dispnea,"['dispnea', 'dispnea akibat asma bronkhial']"
edema,"['edema', 'edema inflamasi', 'edema gagal jantung kongestif', 'edema asites', 'edema akibat chf']"
ejakulasi dini,['ejakulasi dini']
eksaserbasi,"['exaserbasi akut', 'eksasaerbasi akut', 'eksaserbasi bakteri akut', 'infeksi eksaserbasi kambuhnya', 'eksaserbasi', 'eksaserbasi akut', 'ekarserbasi akut']"
eksim,"['eksem', 'eksema rekalsitrans', 'ekzem resisten', 'eksim', 'ekzema', 'ekzema rekalsitran', 'ekzema atopik', 'ekzema resisten', 'eksema', 'eksim rekalsitrans', 'ekzema bernanah', 'ekzema stasis', 'eksma', 'ekzim', 'eksim rekalsitran', 'eczema', 'ekzema infantil', 'ekzim terutama anak', 'ekzema membandel resisten', 'ekzema terinfeksi', 'ecsema']"
ekstremitas dingin,"['extremitastangankaki dingin', 'ekstremitas dingin', 'ekstremitas teraba dingin']"
emboli,"['emboli serebral', 'emboli', 'embolus paru', 'embolus sistemik']"
emfisema,"['emphysema', 'gangguan bronkhopulmoner', 'emfisema paru', 'emfisema gangguan bronkhopulmoner', 'enfisema', 'ppok emfisema dengan bronkitis bronkitis kronis bronkiektasi', 'emfisema', 'pulmonari emfisema', 'emfisema penyakit paru komplikasi bronkhospasme', 'batuk emphysema', 'emfisema dengan bronkitis']"
empiema,['emfiema']
endokarditis,['endokarditis']
endometriosis,['endometriosis']
endometritis,['endometritis']
ensefalitis,"['toksoplasmik ensefalitis', 'ensefalitis']"
ensefalopati,"['ensefalopati portal sistemik', 'ensefalopati', 'ensefalopati portal', 'portal sistemik', 'encephalopathy', 'sistemik ensepalopati', 'ensefalopati portal  sistemik', 'ensefalopati portalsistemik', 'ensefalopati portal sistemik kronik', 'portal systemic encephalopathy']"
epididimitis,['epididimitis']
epididimo-orkitis,"['epididimo orkitis', 'epididimo-orkitis']"
epididimoorkitis,['epididimoorkitis']
episkleritis,"['episkleritis', 'episklerit', 'episcleritis']"
eritis,"['eritis bakterial', 'eritis']"
eritritis,['eritritis']
erosi kornea,['erosi kornea']
erosi lambung,['erosi lambung']
esofageal,"['asofangeal', 'esofageal', 'esofangeal']"
esofagitis,"['eosifagitis', 'esofagitis berat', 'esophagitis', 'peptik esofagitis', 'esofagitis', 'peptik eosifagitis']"
faringitis,"['pharingitis', 'faringitis']"
faringotonsilitis,"['faringotosilitis', 'faringitis tonsilitis', 'faringotonsilitis', 'faringitis tonsilitis streptokokus']"
fatigue,"['fatig lelah', 'fatigue', 'rasa lelahlesu akibat selesma penyakit virus lainnya']"
fistula ani,"['fistula', 'fistula ani']"
fisura ani,"['fisura ani', 'fisura anal', 'fisura anal superfisial']"
flebitis superfisial,['flebitis superfisial']
flek,"['flek', 'flek hitam', 'flek kanker paru paru']"
flu,"['influenza anak', 'virus influenza tipe a b', 'influenza dewasa', 'flu pada anak dan orang dewasa', 'influensa demam', 'h influenzae infeksi meningeal', 'haemophyllus influenza', 'flu pilek', 'flu disertai batuk kering', 'infuenza', 'fluinfluensa', 'influenza tipe a', 'flu', 'infeksi virus influenza tipe a', 'h influenzae infeksi meningen', 'flu influensa', 'infeksi virus influenza tipe b', 'h influenzae terutama meningokokus', 'virus influenza a', 'infeksi h influenzae', 'flu anak orang dewasa', 'flu demam', 'hinfluenzae', 'gejala kongesti berhubungan flu asma', 'gejala flu', 'influensa', 'h influenzae', 'h influenza', 'virus influenza tipe a', 'virus influenza b', 'flu seperti demam', 'influenza a', 'virus influenza tipe a atau b', 'demam influensa', 'virus influenza c', 'influenza tipe b', 'influenza']"
flu burung,['flu burung']
folikulitis,"['folikulitis', 'folikulitis superfisial', 'falikulitis superfisialis', 'folikulitis superfisialis', 'folikulitis barbae']"
furunculosis,"['furunculosis', 'furunkulosis', 'furunkuloris']"
gagal ginjal akut,"['gagal ginjal', 'gagal ginjal akut', 'insufisiensi ginjal']"
gagal ginjal kronis,"['gagal ginjal akut kronik', 'insufisiensi ginjal khronik', 'insufisiensi ginjal kronik', 'gagal ginjal khronis', 'gangguan ginjal khronik', 'gagal ginjal kronik', 'pasien gagal ginjal khronik']"
gagal jantung,"['gagal jantung kongesti', 'gagal jantung kronik', 'masalah jantung', 'gagal jantung kongestif', 'infeksi jantung', 'gangguan jantung', 'gagal jantung']"
gangguan endokrin,['gangguan endokrin']
gangguan ginjal,"['gangguan ginjal prostat', 'gangguan ginjal']"
gangguan hati,['gangguan hati']
gangguan kehamilan,"['gangguan kehamilan', 'kehamilan', 'komplikasi kehamilan']"
gangguan keseimbangan,"['gangguan keseimbangan', 'gangguan hormonal', 'gangguan keseimbangan hormonal']"
gangguan kulit,['gangguan kulit']
gangguan mata,"['gangguan mata responsif kortikosteroid', 'gangguan mata', 'gangguan mata responsif']"
gangguan memori,"['gangguan memori tidur', 'gangguan memori']"
gangguan metabolik,"['gangguan vaskulo metabolik perifer akut khronik', 'gangguan metabolik', 'gangguan metabolisme', 'gangguan metabolisme otot jantung', 'gangguan vaskulo metabolik serebral akut khronik']"
gangguan muskuloskeletal,"['gangguan muskulosketal akut', 'gangguan musculoskeletal akut', 'gangguan muskuloskeletal akut', 'gangguan musculoskeletal akut gout akut']"
gangguan panik,['gangguan panik']
gangguan pencernaan,"['gangguan lambung', 'gangguan pencernaan neurogenik', 'dispepsiagangguan pencernaan', 'gangguan pada pencernaan', 'gangguan saluran cerna', 'gangguan pencernaan fungsional', 'dispepsia', 'dispepsia gangguan pencernaan neurogenik', 'gangguan pencernaan', 'gangguan lambungusus']"
