standardized_disease;list_of_diseases;tambahan manual
asma;['asma', 'astma'];['asma', 'astma', 'bronkial asma','asma akut', 'asma akut berat', 'asma berat', 'asma berat akut', 'asma bronkhial', 'asma bronkhial khronik', 'asma bronkial', 'asma bronkial kronik', 'asma dermatitis', 'asma kronis', 'asma ringan', 'asma sedang', 'asmatik asma bronkial', 'asmatikus', 'asthma', 'asthma bronkial', 'asthmatoid bronchitis']
aspergillosis;['aspergillosis', 'aspergilosis'];['aspergillosis', 'aspergilosis']
atrial fibrilasi;['atrial fibrilasi', 'fibrilasi atrium'];['atrial fibrilasi', 'fibrilasi atrium']
atrial flutter;['atrial flutter'];['atrial flutter']
bakteremia;['bakteremia', 'bakterial', 'bakteri'];['bakteremia']
batu empedu;['batu empedu'];['batu empedu']
batu ginjal;['batu ginjal'];['batu ginjal']
batu kandung kemih;['batu kandung kemih', 'kandung kemih aktif'];['batu kandung kemih', 'kandung kemih aktif']
batuk;['batuk'];['batuk', 'batuk alergi','batuk akibat alergi', 'batuk akut kronik', 'batuk alergi',  'batuk disebabkan alergi', 'batuk gatal', 'batuk karena alergi', 'batuk karena bronchitis', 'batuk karena emphysema', 'batuk menahun', 'batuk panas',  'batuk produktifberdahak  nonproduktifkering', 'batuk rangsangan selaput pernafasan', 'batuk sesak', 'batuk yang disebabkan oleh alergi', 'batuk yang disertai peradangan saluran pernafasan bagian atas']
batuk berdahak;['batuk berdahak', 'batuk ikke berdahak', 'batuk tidak berdahak'];['batuk berdahak', 'dahak', 'dahak kental', 'dahak mukus', 'gangguan batuk berdahak','batuk berdahak disertai alergi', 'batuk berdahak karena alergi', 'batuk dahak kental', 'batuk mukolitik', 'batuk produktif', 'batuk produktif berdahak', 'batuk produktifberdahak']
batuk tidak berdahak;;['batuk tidak berdahak']
batuk kering;['batuk kering'];['batuk kering','batuk non produktif', 'batuk nonproduktifkering', 'batuk nonproduktiftidak berdahak', 'batuk nonproduktif', 'batuk yang tidak berdahak disertai bersinbersin atau alergi', 'gejala batuk tidak berdahak']
batuk kronis;['batuk kronis', 'batuk kronis akut'];['batuk kronis', 'batuk kronis akut']
batuk pilek;['batuk pilek'];['batuk pilek', 'batuk/pilek', 'batuk berhubungan flu gangguan pernapasan', 'batuk berhubungan pilek', 'batuk menyertai pilek alergi']
batuk rejan;['batuk rejan'];['batuk rejan','batuk rejanpertusis']
bau mulut;['bau mulut'];['bau mulut', 'bau mulut sedap']
benjolan payudara;['benjolan payudara', 'benjolan benjolan payudara'];['benjolan payudara', 'benjolan benjolan payudara']
berat badan berlebih;['berat badan berlebih', 'kelebihan berat badan'];['berat badan berlebih', 'kelebihan berat badan']
biang keringat;['biang keringat', 'biang keringet'];['biang keringat', 'biang keringet']
biduran;['biduran'];['biduran','biduran kaligata kronis']
bisul;['bisul'];['bisul','bisul bernanah', 'bisul gatal']
blefaritis;['blefaritis', 'blepharitis'];['blefaritis', 'blepharitis','blefaritis alergi radang kelopak mata akibat alergi', 'blefaritis non purulen', 'blefaritis nonpurulen']
bph (benign prostatic hyperplasia);['bph (benign prostatic hyperplasia)', 'benign prostatic hyperplasia'];['bph (benign prostatic hyperplasia)', 'benign prostatic hyperplasia']
bronkiektasis;['bronkiektasis', 'bronkhiektasis', 'bronkiektasi'];['bronkiektasis', 'bronkhiektasis', 'bronkiektasi']
bronkiolitis;['bronkiolitis', 'bronkitis', 'bronchiolitis'];['bronkiolitis', 'bronchiolitis']
bronkitis;['bronkitis', 'bronchitis', 'bronkhitis'];['bronkitis', 'bronchitis', 'bronkhitis']
bronkitis akut dan kronis;['bronkitis akut'];['bronkitis akut', 'bronkhitis akut', 'akut bronkhitis','bronkitis akut atau kronik', 'bronkitis akut dan kronik', 'bronkitis akut kronik', 'bronkitis asmatik', 'bronkitis asmatikus', 'bronkitis asmatis', 'bronkitis kronik eksaserbasi akut', 'bronkitis kronis', 'bronkitis khronis', 'bronkritis kronik', 'bronkitis kronik','bronkitis kronis eksaserbasi akut', 'bronkitis menahun', 'bronkitis purulen', 'bronchitis akut dan kronik', 'bronkhitis akut  khronis', 'bronkhitis akut berulang', 'bronkhitis akut dan kronik', 'bronkhitis akut dan kronis', 'bronkhitis akut dan kronis serta eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut', 'bronkhitis asmatik', 'bronkhitis khronik emfisema', 'bronkhitis khronis exaserbasi akut', 'bronkhitis kronis dan eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut', 'bronkhitis kronis dan eksaserbasi akut', 'bronkhitis kronis serta eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut', 'bronkhitis pneumonia', 'bronkitis kronis', 'bronkhitis kronis', 'bronkitis khronis', 'bronkhitis khronis', 'bronkitis kronik', 'bronkritis kronik', 'bronkhitis kronik', 'bronkhitis khronik', 'ppok bronkhitis khronis']
bronkitis pneumonia;;['bronkitis pneumonia']
bronkopulmonal;;['bronkopulmonal']
bronkopneumonia;['bronkopneumonia', 'bronkitis pneumonia', 'bronkopulmonal'];['bronkopneumonia']
brucellosis;['brucellosis', 'bruselosis'];['brucellosis', 'bruselosis']
bursitis;['bursitis'];['bursitis']
cacar air;['cacar air'];['cacar air', 'varicela', 'varicella', 'varicella zoster', 'varisela']
cacing kremi;['cacing kremi'];['cacing kremi','enterobius vermicularis']
campak;['campak'];['campak']
candidiasis;['candidiasis', 'kandidiasis'];['candidiasis', 'kandidiasis','kandiasis', 'kandiasis di organ genital', 'kandida', 'kandida jamur bakteri gram positif', 'kandidemia', 'kandidemia infeksi kandida sistemik', 'kandidiasi genetikal', 'kandidiasi genetikal teritama', 'kandidiasis diseminata', 'kandidiasis esofageal', 'kandidiasis esofaringeal', 'kandidiasis gastrointestinal', 'kandidiasis invasif', 'kandidiasis kutaneus', 'kandidiasis kutaneus moniliasis', 'kandidiasis saluran cerna', 'kandidiasis sistemik', 'kandidiasis sistemik yang serius', 'kandidiasis subkutan', 'kandidiasis vulvovag', 'kandidiasis vulvovagina', 'kandidosis', 'kandidosis vulvovaginal']
cerebral palsy;['cerebral palsy'];['cerebral palsy', 'cerbral palsy']
chlamydia;['chlamydia'];['chlamydia', 'chlamydia trachomatis']
covid-19;['covid-19', 'covid19'];['covid-19', 'covid19']
cystitis;['cystitis'];['cystitis']
deep vein thrombosis;['deep vein thrombosis'];['deep vein thrombosis']
defisiensi asam folat;;['defisensi asam folat', 'defisiensi asam folat']
defisiensi estrogen;;['defisiensi estrogen']
defisiensi progesteron;;['defisiensi progesteron']
defisiensi zinc;;['defisiensi zinc']
defisiensi vitamin neurotropik;;['defisiensi vitamin neurotropik']
defisiensi natrium hipovolemik;;['defisiensi natrium hipovolemik']
deep vein thrombosis;;['deep vein thrombosis']
defisiensi vitamin b;;['defisiensi vitamin b','defisiensi folic acid','kekurangan vitamin b']
defisiensi vitamin b1;;['defisiensi vitamin b1','defisiensi vit  b1', 'defisiensi vit b1', 'kekurangan vitamin b1']
defisiensi vitamin b6;;['defisiensi vitamin b6','defisiensi vit b6','kekurangan vitamin b6']
defisiensi vitamin d;;['pasien dengan kekurangan vitamin d','kekurangan vitamin d', 'kekurangan vitamin d kadar serum 25ohd 30 ngml']
defisiensi vitamin b12;;['defisiensi vitamin b12','defisiensi vit b12','kekurangan vitamin b12']
defisiensi tiamin;;['defisiensi tiamin','kekurangan thiamin mononitrate']
defisiensi vitamin e;['defisiensi vitamin e', 'defisiensi vitamin b1', 'defisiensi vitamin b6', 'defisiensi vitamin b', 'defisiensi vitamin b12', 'defisiensi tiamin'];['defisiensi vitamin e']
dehidrasi;['dehidrasi'];['dehidrasi']
demam;['demam', 'dmam', 'demam q'];['demam', 'dmam', 'demam q']
demam berdarah;['demam berdarah'];['demam berdarah']
demam pada anak;['demam pada anak', 'demam anakanak'];['demam pada anak', 'demam anakanak']
demam scarlet;['demam scarlet'];['demam scarlet']
demam tifoid;['demam tifoid', 'demam paratifoid'];['demam tifoid', 'demam paratifoid']
dermatitis;['dermatitis', 'keratitis', 'dermatofitosis', 'dermatositosis'];['dermatitis', 'keratitis', 'dermatofitosis', 'dermatositosis']
dermatitis atopik;['dermatitis atopik', 'dermatitis atopik kontak', 'dermatitis kontak atopik'];['dermatitis atopik', 'dermatitis atopik kontak', 'dermatitis kontak atopik','atopic dermatitis']
dermatitis kontak;['dermatitis kontak', 'dermatitis kronik', 'contact dermatitis', 'dermatitis kontak jenis dermatitis'];['dermatitis kontak', 'dermatitis kronik', 'contact dermatitis', 'dermatitis kontak jenis dermatitis']
dermatitis seboroik;['dermatitis seboroik'];['dermatitis seboroik']
dermatomiositis;['dermatomiositis', 'dermatomiosis', 'dermatomikosis'];['dermatomiositis', 'dermatomiosis']
diabetes;['diabetes'];['diabetes','diabetes melitus','diabetes mellitus','diabetes obesitas', 'diabetik', 'diabetik gastro paresis akut', 'diabetik gastroparesis akut', 'diabetik gastroparesis berulang']
diabetes tipe 2;;['diabetes tipe - 2','pasien dm tipe 2','diabetes melitus tipe  2', 'diabetes melitus tipe 2','diabetes mellitus tipe 2', 'diabetes miletus tipe 2','diabetes tipe 2 terkontrol','dm tipe  2', 'dm tipe 2', 'dmt2']
diabetes tipe 1;['diabetes tipe 1', 'diabetes tipe 2'];['diabetes tipe 1', 'diabetes tipe - 1','diabetes melitus tipe  1']
diare;['diare'];['diare', 'diare anak', 'diare e  coli', 'diare ecoli', 'diare karena kuman e coli dan staph kolopati spesifik dan non spesifik pada dewasa dan anak', 'diare mencret', 'diare non  spesifik', 'diare non spesifik', 'diare nonspesifik', 'diare staph']
diare kronis;['diare kronis', 'diare kronik'];['diare kronis', 'diare kronik','diare akut', 'diare akut dan kronik', 'diare akut kronik', 'diare akut non spesifik', 'diare akut non spesifik dan kronik', 'diare akut non spesifik kronik]
difteri;['difteri'];['difteri','difteri faringeal']
disentri;['disentri'];['disentri', 'disentri basil', 'disentri basiler']
dislipidemia;['dislipidemia'];['dislipidemia','dislipidemia campuran', 'dislipidemia campuran fredrickson tipe iia iib', 'dislipidemia campuran tipe iib']
dismenore;['dismenore', 'dismenorea', 'disenore', 'disumenore'];['dismenore', 'disumenore', 'dismenorea', 'disenore',  'disenore nyeri haid','dismenor primer', 'dismenore nyeri saat haid', 'dismenore nyeri haid', 'dismenore pasca operasi', 'dismenore primer', 'dismenorea primer', 'dysmenorrhea', 'dysmenorrhea primer']
edema;['edema'];['edema','edema akibat chf', 'edema asites', 'edema gagal jantung kongestif', 'edema inflamasi']
ejakulasi dini;['ejakulasi dini'];['ejakulasi dini']
emboli;['emboli'];['emboli', 'emboli serebral', 'embolus sistemik']
emfisema;['emfisema', 'emfiema', 'enfisema'];['emfisema','enfisema','emfisema dengan bronkitis', 'emfisema gangguan bronkhopulmoner', 'emfisema paru', 'emfisema penyakit paru komplikasi bronkhospasme','emphysema']
endokarditis;['endokarditis'];['endokarditis']
endometriosis;['endometriosis', 'endometritis'];['endometriosis']
ensefalopati;['ensefalopati'];['ensefalopati','encephalopathy','ensefalitis', 'ensefalopati portal', 'ensefalopati portal  sistemik', 'ensefalopati portal sistemik', 'ensefalopati portal sistemik kronik', 'ensefalopati portalsistemik']
epididimitis;['epididimitis', 'epididimo orkitis', 'epididimoorkitis'];['epididimitis']
episkleritis;['episkleritis', 'skleritis', 'episklerit', 'episcleritis'];['episkleritis', 'episcleritis', 'episklerit']
esofagitis;['esofagitis', 'esophagitis', 'eosifagitis'];['esofagitis', 'esophagitis', 'eosifagitis']
faringitis;['faringitis', 'rinofaringitis', 'laringitis', 'rinitis', 'pharingitis'];['faringitis', 'pharingitis']
fistula ani;['fistula ani', 'fisura ani'];['fistula ani']
fisura ani;['fisura ani', 'fisura anal'];['fisura ani']
flek;['flek hitam'];['flek hitam','flek','flek kanker paru paru']
flu;['flu'];[ 'flu demam', 'flu disertai batuk kering', 'flu influensa', 'flu pada anak dan orang dewasa', 'flu pilek', 'flu seperti demam', 'fluinfluensa','flu','infeksi virus influenza tipe a', 'infeksi virus influenza tipe b','virus influenza a', 'virus influenza b', 'virus influenza c', 'virus influenza tipe a', 'virus influenza tipe a atau b']
flu burung;['flu burung'];['flu burung']
folikulitis;['folikulitis'];['folikulitis']
gagal ginjal akut;['gagal ginjal akut', 'gagal ginjal'];['gagal ginjal akut', 'gagal ginjal']
gagal ginjal kronis;['gagal ginjal kronis', 'gagal ginjal khronis'];['gagal ginjal khronis', 'gagal ginjal kronik','pasien gagal ginjal khronik']
gagal jantung;['gagal jantung'];['gagal jantung', 'gangguan jantung']
gangguan metabolik;['gangguan metabolik', 'gangguan metabolisme'];['gangguan metabolik', 'gangguan metabolisme']
gangguan panik;['gangguan panik', 'gangguan tropik', 'gangguan spastik'];['gangguan panik']
gangguan pencernaan;['gangguan pencernaan', 'gangguan pernapasan', 'gangguan pernafasan', 'gangguan pada pencernaan', 'gangguan pendengaran'];['gangguan pencernaan', 'gangguan pada pencernaan']
gangguan pernapasan;['gangguan pernapasan', 'gangguan saluran pernapasan'];['gangguan pernapasan', 'gangguan pernafasan', 'gangguan saluran pernapasan','gangguan di saluran pernafasan']
gangguan tidur;['gangguan tidur', 'gangguan ritme tidur', 'gangguan irama tidur', 'gangguan sulit tidur'];['gangguan tidur', 'gangguan sulit tidur', 'gangguan irama tidur', 'gangguan ritme tidur']
gangrene;['gangrene', 'ganggren'];['gangrene', 'ganggren']
gastritis;['gastritis', 'artritis', 'gastristis'];['gastritis', 'gastristis','gastritis alkoholisme khronik', 'gastritis kronik', 'gastritis kronik sd 8 minggu', 'gastritis kronis', 'gastritis tukak lambung tukak usus dua belas jari']
gastroenteritis;['gastroenteritis', 'gastroenteritis anak'];['gastroenteritis', 'gastroenteritis anak']
gastroparesis;['gastroparesis', 'gastroparesis akut'];['gastroparesis akut dan berulang', 'gastroparesis berulang', 'gastroparesis diabetikum', 'gastroparesis diabetikum akut berulang', 'gastroparesis diabetikum akut rekuren','gastroparesis', 'gastroparesis akut']
gerd;['gerd'];['gerd', 'gastroesophageal reflux disease', 'gastroesophageal reflux disease gerd', 'gastroesophageal reflux disease gerd', 'reflucks', 'reflucks esofagitis', 'refluks', 'refluks esofagitis', 'refluks esofagitis berat', 'refluks esofagitis erosif', 'refluks esofagitis erosif atau ulseratif', 'refluks esofagitis erosifulseratif', 'refluks esofagus', 'refluks esophagitis', 'refluks gastroesofagus', 'refluks gastroesofagitis', 'refluks gastroesofagus', 'refluks gastroesofagus yang erosif', 'reflux', 'reflux esofagitis', 'reflux esofagitis erosifulseratif', 'reflux esophagitis sedang dan berat', 'reflux gastroesofagitis']
giardiasis;['giardiasis', 'giardia'];['giardiasis','giardia','giardia lambliasis']
gigi berlubang;['gigi berlubang'];['gigi berlubang']
gigitan serangga;['gigitan serangga', 'gatal gigitan serangga', 'gatal gatal gigit serangga'];['gigitan serangga', 'digigit serangga', 'gatal gigitan serangga', 'gigitan nyamuk/serangga','gatal  gatal gigit serangga', 'gatal akibat digigit serangga', 'gatal akibat gigitan nyamukserangga', 'gatal akibat gigitan serangga', 'gatal akibat gigitan seranggga','gatal gigitan serangga dan nyamuk','gatal karena biang keringet udara panas gigitan serangga', 'gatal karena gigitan serangga', 'gatalgatal akibat digigit serangga', 'gatalgatal akibat gigitan serangga', 'gatalgatal akibat gigitan serangga atau nyamuk', 'gatalgatal akibat gigitan serangga dan nyamuk', 'gatalgatal akibat gigitan serangga nyamuk', 'gatalgatal akibat gigitan serangganyamuk', 'gatalgatal karena gigitan serangga', 'gatalgatal karena gigitan serangga atau nyamuk','gigitan nyamuk', 'gigitan nyamuk  serangga', 'gigitan nyamuk bahkan nyamuk demam berdarah']
glaukoma;['glaukoma', 'glukoma'];['glaukoma', 'glukoma','aphakic glukoma','glaukoma sekunder', 'glaukoma simplek kronis', 'glaukoma sudut  terbuka', 'glaukoma sudut  terbuka hipertensi okular', 'glaukoma sudut  terbuka khronis', 'glaukoma sudut terbuka', 'glaukoma sudut terbuka khronis', 'glaukoma sudut terbuka kronis', 'glaukoma sudut tertutup', 'glaukoma sudutterbuka', 'glukoma sudut terbuka kronis']
gonore;['gonore', 'gonorea'];['gonore', 'gonorea','gonore akut', 'gonore komplikasi', 'gonore tidak terkomplikasi', 'gonorea tanpa komplikasi', 'gonorhea yang tidak terkomplikasi infeksi kulit dan jaringan lunak', 'gonorrhea', 'gonorrhea komplikasi', 'gonorrhoea', 'gonorrhoea acute tidak terkomplikasi', 'gonorrhoea akut tidak terkomplikasi', 'gonorrhoea tidak terkomplikasi', 'gonorrhoeae']
gusi bengkak;['gusi bengkak'];['gusi bengkak']
hematoma;['hematoma'];['hematoma']
hepatitis;['hepatitis'];['hepatitis','hepatitis virus', 'hepatitis alkoholik']
hernia;['hernia'];['hernia','hernia peptik']
hernia hiatus;['hernia hiatus', 'hiatus hernia', 'hiatus hernis'];['hernia hiatus','hiatus', 'hiatus hernia', 'hiatus hernis']
herpes zoster;['herpes zoster'];['herpes zoster','zoster','infeksi virus herpes zoster']
hidung tersumbat;['hidung tersumbat', 'hidung berair tersumbat', 'hidung tersumbat pilek', 'hidung tersumbatgatal'];['hidung tersumbat', 'hidung tersumbat/gatal', 'hidung tersumbat pilek', 'hidung berair tersumbat']
hiperemesis gravidarum;['hiperemesis gravidarum', 'emesis gravidarum'];['hiperemesis gravidarum', 'emesis gravidarum']
hiperglikemia;['hiperglikemia'];['hiperglikemia']
hiperkalemia;['hiperkalemia', 'hipokalemia'];['hiperkalemia']
hiperkolesterolemia;['hiperkolesterolemia', 'hiperkolesterolemia primer', 'hiperkolsterolemia', 'hiperkolesterolemia hip', 'hiperko lesterolemia'];['hiperkolesterolemia', 'hiperkolsterolemia', 'hiperko - lesterolemia', 'hiperkolesterolemia hip', 'hiperkolesterolemia primer','hiperkolesterol primer', 'hiperkolesterol primer tipe iia', 'hiperkolesterolemia familial', 'hiperkolesterolemia familial heterozigot', 'hiperkolesterolemia familial heterozigot homozigot', 'hiperkolesterolemia primer tipe', 'hiperkolesterolemia primer tipe iia', 'hiperkolesterolemia tipe iia', 'hiperkoleterolemia primer']
hiperlipidemia;['hiperlipidemia', 'hiperlipidaemia'];['hiperlipidemia', 'hiperlipidaemia','hiperlipidemia campuran', 'hiperlipidemia kombinasi campuran', 'hiperlipidemia kombinasi tipe iib ii']
hiperparatiroidisme;['hiperparatiroidisme', 'hipoparatiroidisme'];['hiperparatiroidisme', 'hipoparatiroidisme']
hiperpigmentasi;['hiperpigmentasi', 'hiperpigmentasi kulit'];['hiperpigmentasi', 'hiperpigmentasi kulit']
hipertensi;['hipertensi'];['hipertensi','darah tinggi','hipertensi berat', 'hipertensi dewasa', 'hipertensi esensial', 'hipertensi esensial renovaskular', 'hipertensi esensial ringan', 'hipertensi essensial', 'hipertensi essensial ringan', 'hipertensi maligna','hipertensi nefrogenik', 'hipertensi renovaskuler', 'hipertensi ringan']
hipertensi pulmonal;['hipertensi portal', 'hipertensi pulmonal'];['hipertensi pulmonal']
hiperurisemia;['hiperurisemia', 'hiperuresemia'];['hiperurisemia', 'hiperuresemia']
hipoalbuminemia;['hipoalbuminemia'];['hipoalbuminemia']
hipomagnesemia;['hipomagnesemia', 'hipomagnesia'];['hipomagnesemia', 'hipomagnesia']
hipotensi;['hipotensi', 'impotensi'];['hipotensi']
hirsutisme;['hirsutisme', 'hirsutism'];['hirsutisme', 'hirsutism']
histoplasmosis;['histoplasmosis', 'hiptoplasmosis'];['histoplasmosis', 'hiptoplasmosis']
iktiosis;['iktiosis', 'riketsiosis', 'ikhtiosis'];['iktiosis', 'ikhtiosis']
ileus paralitik;['ileus paralitik'];['ileus paralitik']
impetigo;['impetigo'];['impetigo','impetigo furunculosis', 'impetigo go komplikasi', 'impetigo kontagiosa', 'impetigo kontagiosum']
impotensi;['impotensi', 'impoten'];['impotensi', 'impoten','impoten pria']
imunisasi;['imunisasi'];['imunisasi']
infeksi bakteri;['infeksi bakteri', 'infeksi oleh bakteri', 'infeksi mikobakterial', 'infeksi mikobakteri'];['infeksi bakteri anaerob', 'infeksi bakteri anaerob sensitif', 'infeksi bakteri anaerob serius', 'infeksi bakteri dan fungi pada mulut dan tenggorokan', 'infeksi bakteri dan jamur fungi', 'infeksi bakteri gr gr  sal nafas', 'infeksi bakteri gram positif', 'infeksi bakteri mycobacterium tuberculosis tbc', 'infeksi bakteri pada lipatan kulit', 'infeksi bakteri sekunder', 'infeksi bakteri sekunder bronkitis akut', 'infeksi bakteri sensitif levofloxacin sinusitis', 'infeksi bakteri sensitif moxifloxacin', 'infeksi bakteri yang rentan', 'infeksi bakterial mata', 'infeksi bakterial sekunder','infeksi bakteri', 'infeksi mikobakteri', 'infeksi oleh bakteri', 'infeksi mikobakterial','infeksi akibat bakteri', 'infeksi akibat bakteri pencernaan', 'infeksi akibat bakteri saluran kemih', 'infeksi akibat bakteri saluran pernapasan', 'infeksi akibat chlamydia trachomatis','bakteremia meningitis', 'bakteri anaerob', 'bakteri endocarditis', 'bakteri gr', 'bakteri gr', 'bakteri gr  menyebabkan meningitis', 'bakteri gr  penyebab bakteremia', 'bakteri gr penyebab bakteremia', 'bakteri gr', 'bakteri gram negatif', 'bakteri gram negatif penyebab bakteria meningitis', 'bakteri gram negativ', 'bakteri gram positif', 'bakteri staph', 'bakteria meningitis', 'bakterial akut', 'bakteriuria asimptomatik pada masa hamil']
infeksi gigi;['infeksi gigi'];['infeksi gigi']
infeksi ginjal;['infeksi ginjal', 'infeksi genital', 'infeksi pada ginjal', 'infeksi vagina'];['infeksi ginjal','infeksi pada ginjal']
infeksi jamur;['infeksi jamur', 'infeksi jamur kuku', 'infesi jamur'];['infeksi jamur', 'infeksi jamur tubuh','infesi jamur','infeksi akibat jamur','infeksi jamur pada kulit dengan inflamasiperadangan', 'infeksi jamur pada kulit kulit kepala dan kuku', 'infeksi jamur ring  worm kulit', 'infeksi jamur ringworm kulit  rambut kuku disebabkan microsporum  epidermophyton trichophyton']
infeksi jamur kulit;['infeksi jamur kulit', 'infeksi jamur kulit kuku', 'infeksi jamur pada kulit', 'infeksi kulit mukosa', 'infeksi jamur kulit kepala', 'infeksi jamur lipatan kulit', 'infeksi jamur fungi', 'infeksi akibat jamur', 'infeksi jamur rambut'];['infeksi jamur kulit', 'infeksi jamur kulit kuku', 'infeksi jamur pada kulit', 'infeksi jamur kulit kepala', 'infeksi jamur lipatan kulit','infeksi dermatofita kulit kuku tangan', 'infeksi di kulit  jaringan lunak','infeksi jamur pada kulit dan kuku']
infeksi kulit;['infeksi kulit', 'infeksi mulut', 'infeksi akut', 'infeksi pada kulit', 'kulit infeksi', 'infeksi kulit lain', 'infeksi gut', 'infeksi kuku kulit'];['infeksi kulit', 'infeksi kulit lain', 'infeksi pada kulit', 'infeksi kuku kulit','infeksi kulit  jaringan lunak', 'infeksi kulit dan jar lunak', 'infeksi kulit dan jaringan lunak', 'infeksi kulit dan jaringan lunak tanpa komplikasi', 'infeksi kulit dan membran mukosa lokal', 'infeksi kulit dan membran mukosa luar', 'infeksi kulit dan struktur kulit', 'infeksi kulit dan struktur kulit tak terkomplikasi', 'infeksi kulit dan strukturnya tanpa komplikasi', 'infeksi kulit jar lunak', 'infeksi kulit jar lunak terkomplikasi', 'infeksi kulit jaringan luka', 'infeksi kulit jaringan lunak', 'infeksi kulit jelunak', 'infeksi kulit kepala', 'infeksi kulit kepala demartitis sebaroik ringan', 'infeksi kulit lain karena organisme yang peka terhadap kloramfenikol', 'infeksi serius jaringan lunak kulit','infeksi kulit lainnya', 'infeksi kulit mukosa', 'infeksi kulit pioderma', 'infeksi kulit primer', 'infeksi kulit primer akut', 'infeksi kulit primer dan sekunder', 'infeksi kulit primer maupun sekunder', 'infeksi kulit sekunder', 'infeksi kulit struktur kulit', 'infeksi kulit struktur kulit komplikasi', 'infeksi kulit struktur kulit ringan terkomplikasi', 'infeksi kulit struktur kulit terkomplikasi', 'infeksi kulit struktur kulit tidak terkomplikasi', 'infeksi kulit termasuk herpes genital rekuren', 'infeksi kulit termasuk herpes genital rekuren dan herpes labialis']
infeksi lambung;['infeksi lambung', 'infeksi tulang'];['infeksi lambung']
infeksi luka operasi;['infeksi luka operasi', 'infeksi operasi'];['infeksi luka operasi', 'infeksi operasi', 'infeksi sesudah operasi', 'infeksi pasca operasi']
infeksi mata;['infeksi mata', 'infeksi pada mata'];['infeksi mata', 'infeksi pada mata']
infeksi paru-paru;['infeksi paru-paru', 'infeksi paru'];['infeksi paru-paru', 'infeksi paru']
infeksi rahim;['infeksi rahim', 'infeksi gram'];['infeksi rahim']
infeksi virus;['infeksi rotavirus', 'infeksi virus'];['infeksi virus']
infeksi salmonella;['infeksi salmonella', 'infeksi salmonella sp sp', 'infeksi salmonele', 'infeksi salmonella sp', 'infeksi salmonella spp'];['infeksi salmonella', 'infeksi disebabkan salmonella', 'infeksi disebabkan salmonella sp','infeksi salmonella sp', 'infeksi salmonele', 'infeksi salmonella spp', 'infeksi salmonella sp sp', 'salmonella', 'salmonella sp', 'salmonellosis', 'salmonelosis', 'salmonelosis  infeksi urogenital','infeksi yang disebabkan oleh salmonella', 'infeksi yang disebabkan oleh salmonella sp']
