standardized_disease;fuzzy_tfidf_fuzzy_tfidf;list_of_diseases;corrected_list_of_diseases
amenore;amenore primer dan sekunder;[];[]
amenore;amenore primer;[];[]
amenore;amenore primer sekunder;[];[]
amenore;amenore psikogenik;[];[]
amenore;amenorrhea;[];[]
amenore;amenorre;[];[]
amenore;amenore galaktorea;[];[]
anemia;anemia;[];[]
anemia akibat pendarahan;anemia akibat pendarahan;[];[]
anemia akibat pendarahan;pendarahan;[];[]
anemia akibat pendarahan;pendarahan hidung;[];[]
anemia defisiensi besi;defisiensi zat besi asam folat;[];[]
anemia defisiensi besi;defisiensi zat besi;[];[]
anemia defisiensi besi;defisiensi zat besi pencegahan;[];[]
anemia defisiensi besi;defisiensi zat besi dan asam folat;[];[]
anemia defisiensi besi;defisiensi zat besi gejala;[];[]
anemia defisiensi besi;anemia kekurangan zat besi;[];[]
anemia defisiensi besi;anemia defisiensi zat besi;[];[]
anemia megaloblastik;anemia megaloblastik disertai kekurangan vitamin c b kompleks terutama kehamilan;[];[]
anemia megaloblastik;anemia megaloblastik makrositik;[];[]
anemia megaloblastik;anemia megaloblastik dan makrositik;[];[]
anemia megaloblastik;anemia megaloblastik;[];[]
anemia megaloblastik;anemia makrositik;[];[]
anemia megaloblastik;anemia megaloblastik disertai kekurangan vitamin c dan b kompleks terutama pada kehamilan;[];[]
anemia pada kehamilan dan menyusui;anemia kehamilan menyusui;[];[]
anemia pada kehamilan dan menyusui;anemia pada kehamilan dan menyusui;[];[]
anemia pernisiosa;anemia pernisiosa;[];[]
anemia pernisiosa;pernisiosa;[];[]
aneurisma otak;aneurisma;[];[]
angina pectoris;pektosis;[];[]
angina pectoris;pektoris;[];[]
angina pectoris;angina pectoris;[];[]
angina pectoris;angina pektoris;[];[]
angina prinzmetal;angina prinzmetal, angina varian;[];[]
angina prinzmetal;angina varian;[];[]
angina prinzmetal;angina prinzmetal;['prinzmetal'];['prinzmetal']
angina vincent;angina vincent;[];[]
angina vincent;infeksi vincent;[];[]
angioedema;angioedema;[];[]
angioedema;angioderma;[];[]
angioedema;urtikaria angioedema;[];[]
ankylosing spondylitis;aankilosing spondilitis;[];[]
ankylosing spondylitis;spondilitis ankilosing;[];[]
ankylosing spondylitis;spondilitis;[];[]
ankylosing spondylitis;oa ra ankilosing spondilitis;[];[]
ankylosing spondylitis;ankylosing spondylitis;[];[]
ankylosing spondylitis;ankylosing spondilitis;[];[]
ankylosing spondylitis;spondilitas ankilosa;[];[]
ankylosing spondylitis;spondilitis ankilosa;[];[]
ankylosing spondylitis;ankilosa spondilitis;[];[]
ankylosing spondylitis;ra ankilosing spondilitis;[];[]
ankylosing spondylitis;ankylosing spondylititis;[];[]
ankylosing spondylitis;ankilosing spondilitis;[];[]
anoreksia nervosa;anoreksia;[];[]
anoreksia nervosa;anorexia;[];[]
anoreksia nervosa;nafsu makan anak;[];[]
anoreksia nervosa;anoreksia kehilangan nafsu makan;[];[]
anoreksia nervosa;nafsu makan;[];[]
anoreksia nervosa;hilang nafsu makan anoreksia;[];[]
anovulasi;anovulasi;[];[]
ansietas;ansietas;[];[]
aritmia;aritmia;[];[]
aritmia;disritmia kordis;[];[]
aritmia;aritmia ventrikel supraventrikel;[];[]
aritmia;gangguan ritme irama berhubungan;['gangguan ritme irama atrium'];['gangguan ritme irama atrium']
aritmia;disritmia jantung;[];[]
aritmia;aritmia jantung;[];[]
arteriosklerosis;arteriosklerosis;[];[]
arthritis;arthritis;[];[]
arthritis;artritis akut;[];[]
arthritis;arthitis;[];[]
arthritis;artritis;[];[]
arthritis;atritis akut kronis;[];[]
arthritis;arthisis;[];[]
arthritis;artritis idiopatik juvenil;[];[]
arthritis;nyeri arthritis ringan;[];[]
arthritis gout;serangan gout akut;[];[]
arthritis gout;gout akut;[];[]
arthritis gout;arthritis gout akut;[];[]
arthritis gout;gout artritis akut;[];[]
arthritis gout;artritis gout akut;[];[]
arthritis gout;gout;[];[]
arthritis gout;serangan akut gout;[];[]
asam urat;kelebihan asam urat;[];[]
asam urat;urat kaku;[];[]
asam urat;asam urat;[];[]
asam urat;produksi asam urat berlebihan;[];[]
asam urat;asam urat akut;[];[]
ascariasis;ascaris lumbricoides;[];[]
ascariasis;ascariasis;[];[]
ascariasis;askariasis;[];[]
asites;asites;[];[]
asma;asthma bronkial;[];[]
asma;astma;[];[]
asma;asthmatoid bronchitis;[];[]
asma;dispnea akibat asma bronkhial;[];[]
asma;asma berat;[];[]
asma;asma bronkial;[];[]
asma;asma kronis;[];[]
asma;asma bronkhial;[];[]
asma;asthma;[];[]
asma;asma berat akut;[];[]
asma;asmatikus;[];[]
asma;asma ringan;[];[]
asma;status asmatikus;[];[]
asma;asma bronkhial khronik;[];[]
asma;asma akut;[];[]
asma;serangan asma akut;[];[]
asma;bronkial asma;[];[]
asma;asma;[];[]
asma;asma sedang;[];[]
asma;asma akut berat;[];[]
asma;obstruksi saluran nafas asma bronkhial;[];[]
asma;asma bronkial kronik;[];[]
asma;asma dermatitis;[];[]
asma;asmatik asma bronkial;[];[]
aspergillosis;aspergillosis;[];[]
aspergillosis;aspergilosis;[];[]
asthenia;astenia;[];[]
aterosklerosis;artherosklerosis;[];[]
aterosklerosis;aterosklerosis vaskular;[];[]
aterosklerosis;aterosklerosis;[];[]
atrial fibrilasi;fibrilasi atrium paroxismal;[];[]
atrial fibrilasi;fibrilasi flutter atrium paroksismal;[];[]
atrial fibrilasi;fibrilasi atrium;[];[]
atrial fibrilasi;atrial fibrilasi;[];[]
atrial flutter;atrial flutter;[];[]
bakteremia;bakteremia;[];[]
batu empedu;empedu;[];[]
batu empedu;batu empedu;[];[]
batu ginjal;batu ginjal;[];[]
batu ginjal;batu oksalat ginjal saluran kemih;[];[]
batu ginjal;batu oksalat;[];[]
batu kandung kemih;batu urin;[];[]
batu kandung kemih;gejala kandung kemih aktif;[];[]
batu kandung kemih;kandung kemih aktif;[];[]
batu kandung kemih;batu urin saluran kemih;[];[]
batu kandung kemih;batu kandung kemih;[];[]
batuk;batuk produktifberdahak  nonproduktifkering;[];[]
batuk;batuk bronchitis;[];[]
batuk;batuk akut kronik;[];[]
batuk;gejala batuk;[];[]
batuk;meredakan batuk;[];[]
batuk;batuk produktifberdahak nonproduktifkering;[];[]
batuk;batuk alergi;[];[]
batuk;batuk karena emphysema;[];[]
batuk;batuk yang disebabkan oleh alergi;[];[]
batuk;batuk menahun;[];[]
batuk;batuk karena bronchitis;[];[]
batuk;batuk disebabkan alergi;[];[]
batuk;batuk rangsangan selaput pernafasan;[];[]
batuk;batuk;[];[]
batuk;batuk yang disertai peradangan saluran pernafasan bagian atas;[];[]
batuk;batuk karena alergi;[];[]
batuk;batuk akibat alergi;[];[]
batuk;batuk disertai peradangan saluran pernafasan bagian atas;[];[]
batuk;batuk disebabkan oleh alergi;[];[]
batuk;batuk panas;[];[]
batuk;batuk sesak;[];[]
batuk;batuk gatal;[];[]
batuk;batuk tenggorokan;[];[]
batuk berdahak;dahak;[];[]
batuk berdahak;batuk berdahak alergi;[];[]
batuk berdahak;batuk produktif;[];[]
batuk berdahak;susah mengeluarkan dahak;[];[]
batuk berdahak;batuk ikke berdahak;[];[]
batuk berdahak;dahak mukus;[];[]
batuk berdahak;gangguan batuk berdahak;[];[]
batuk berdahak;mukolitik;[];[]
batuk berdahak;batuk produktif berdahak;[];[]
batuk berdahak;dahak kental;[];[]
batuk berdahak;batuk mukolitik;[];[]
batuk berdahak;batuk berdahak karena alergi;[];[]
batuk berdahak;batuk berdahak disertai alergi;[];[]
batuk berdahak;batuk berdahak;[];[]
batuk berdahak;batuk dahak kental;[];[]
batuk berdahak;ekspektoran gangguan batuk berdahak;[];[]
batuk berdahak;batuk produktifberdahak;[];[]
batuk berdahak;ekspektoran batuk berdahak;[];[]
batuk kering;batuk yang tidak berdahak disertai bersinbersin atau alergi;[];[]
batuk kering;batuk tidak berdahak disertai bersinbersin alergi;[];[]
batuk kering;batuk nonproduktiftidak berdahak;[];[]
batuk kering;gejala batuk tidak berdahak;[];[]
batuk kering;batuk nonproduktifkering;[];[]
batuk kering;batuk nonproduktif;[];[]
batuk kering;batuk kering;[];[]
batuk kering;batuk non produktif;[];[]
batuk kronis;batuk kronis akut;[];[]
batuk kronis;batuk kronis;[];[]
batuk pilek;batuk menyertai pilek alergi;[];[]
batuk pilek;batukpilek;[];[]
batuk pilek;batuk berhubungan flu gangguan pernapasan;[];[]
batuk pilek;batuk/pilek;[];[]
batuk pilek;batuk pilek;[];[]
batuk pilek;batuk berhubungan pilek;[];[]
batuk rejan;batuk rejan;[];[]
batuk rejan;batuk rejanpertusis;[];[]
batuk tidak berdahak;tidak berdahak;[];[]
batuk tidak berdahak;batuk tidak berdahak;[];[]
bau badan;bau badan;[];[]
bau mulut;bau mulut;[];[]
bau mulut;bau mulut sedap;[];[]
bengkak;bengkak memar;[];[]
bengkak;bengkak akibat terpukul;[];[]
bengkak;bengkak atau memar;[];[]
bengkak;bengkak;[];[]
bengkak;bengak;[];[]
benjolan payudara;benjolan benjolan payudara;[];[]
benjolan payudara;benjolan payudara;[];[]
berat badan berlebih;berat badan berlebih;[];[]
berat badan berlebih;kelebihan berat badan;[];[]
bersin;bersin bersin yang disertai batuk;[];[]
bersin;pilek bersin;[];[]
bersin;bersin hidung tersumbat flu;[];[]
bersin;bersinbersin;[];[]
bersin;bersin bersin;[];[]
bersin;pilek bersinbersin;[];[]
bersin;bersinbersin disertai batuk;[];[]
bersin;bersin bersin disertai batuk;[];[]
bersin;bersin dan hidung tersumbat karena flu;[];[]
bersin;bersin disertai batuk;[];[]
bersin;bersinbersin yang disertai batuk;[];[]
bersin;bersin;[];[]
biang keringat;biang keringat;[];[]
biang keringat;biang keringet;[];[]
biang keringat;gatal akibat keringat;[];[]
biang keringat;biang keringat alergi;[];[]
bibir kering;bibir pecah pecah;[];[]
bibir kering;bibir kering;[];[]
bibir kering;bibir pecah pcah;[];[]
bibir kering;kulit pecah pecah sudut mulut;[];[]
bibir kering;bibir pecahpecah;[];[]
biduran;gangguan alergi urtikaria biduran kaligata kronis;[];[]
biduran;urtikaria biduran;[];[]
biduran;kaligata;[];[]
biduran;biduran kaligata kronis;[];[]
biduran;biduran;[];[]
biduran;gatalgatal biduran;[];[]
bisul;bisul;[];[]
bisul;bisul gatal;[];[]
bisul;bisul bernanah;[];[]
blastomikosis;blastomikosis;[];[]
blefaritis;blefaritis non purulen;[];[]
blefaritis;blefaritis nonpurulen;[];[]
blefaritis;blefaritis;[];[]
blefaritis;blepharitis;[];[]
blefaritis;blefaritis alergi radang kelopak mata akibat alergi;[];[]
blefarokonjungtivitis;blefarokonjungtivitis;[];[]
blefarokonjungtivitis;blefarokonjungtivitis keratokonjungtivitis;[];[]
bph (benign prostatic hyperplasia);bph (benign prostatic hyperplasia);[];[]
bph (benign prostatic hyperplasia);bph;[];[]
bph (benign prostatic hyperplasia);benign prostatic hyperplasia;[];[]
bromokriptin;bromokriptin;[];[]
bronkiektasis;bronkhiektasis;[];[]
bronkiektasis;bronkiektasi;[];[]
bronkiektasis;bronkiektasis;[];[]
bronkiolitis;bronchiolitis;[];[]
bronkiolitis;bronkiolitis;[];[]
bronkitis;bronkhitis;[];[]
bronkitis;bronchitis;[];[]
bronkitis;kaitan bronkhitis;[];[]
bronkitis;bronkitis;[];[]
bronkitis;bronkitis alergi;[];[]
bronkitis akut dan kronis;bronkhitis khronis exaserbasi akut;[];[]
bronkitis akut dan kronis;bronchitis akut dan kronik;[];[]
bronkitis akut dan kronis;eksaserbasi bronkhitis khronik;[];[]
bronkitis akut dan kronis;bronkhitis khronis;[];[]
bronkitis akut dan kronis;bronkitis kronik;[];[]
bronkitis akut dan kronis;bronkitis khronis;[];[]
bronkitis akut dan kronis;bronkitis akut;[];[]
bronkitis akut dan kronis;eksaserbasi bronkitis kronis;[];[]
bronkitis akut dan kronis;bronkhitis khronik emfisema;[];[]
bronkitis akut dan kronis;bronkitis asmatik;[];[]
bronkitis akut dan kronis;bronkhitis akut  khronis;[];[]
bronkitis akut dan kronis;bronkhitis akut;[];[]
bronkitis akut dan kronis;bronkhitis akut khronis;[];[]
bronkitis akut dan kronis;infeksi traktus respiratorius bronkhitis akut sinusitis akut;[];[]
bronkitis akut dan kronis;bronkhitis khronik;[];[]
bronkitis akut dan kronis;infeksi akut bronkitis kronis;[];[]
bronkitis akut dan kronis;bronkritis kronik;[];[]
bronkitis akut dan kronis;eksaserbasi akut dari bronkitis kronik;[];[]
bronkitis akut dan kronis;bronkhitis kronik;[];[]
bronkitis akut dan kronis;ppok bronkhitis khronis;[];[]
bronkitis akut dan kronis;eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;bronkhitis akut dan kronis serta eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;bronkitis kronis;[];[]
bronkitis akut dan kronis;eksaserbasi bakterial akut bronkitis kronik;[];[]
bronkitis akut dan kronis;bronkhitis kronis serta eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;bronchitis akut kronik;[];[]
bronkitis akut dan kronis;bronkitis akut kronik;[];[]
bronkitis akut dan kronis;eksaserbasi akut dr bronkitis kronik;[];[]
bronkitis akut dan kronis;bronkhitis akut kronik;[];[]
bronkitis akut dan kronis;bronkitis akut dan kronik;[];[]
bronkitis akut dan kronis;eksaserbasi bakteri akut bronkitis kronis;[];[]
bronkitis akut dan kronis;bronkitis akut atau kronik;[];[]
bronkitis akut dan kronis;exaserbasi akut bronkhitis khronik;[];[]
bronkitis akut dan kronis;eksaserbasi dari bronkhitis kronis;[];[]
bronkitis akut dan kronis;bronkitis purulen;[];[]
bronkitis akut dan kronis;eksesarbasi bronkitis kronis;[];[]
bronkitis akut dan kronis;eksaserbasi akut bronkitis kronis;[];[]
bronkitis akut dan kronis;bronkhitis akut kronis serta eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;ppok;[];[]
bronkitis akut dan kronis;bronkhitis asmatik;[];[]
bronkitis akut dan kronis;bronkhitis akut dan kronik;[];[]
bronkitis akut dan kronis;akut bronkhitis;[];[]
bronkitis akut dan kronis;bronkitis asmatis;[];[]
bronkitis akut dan kronis;bronkhitis akut berulang;[];[]
bronkitis akut dan kronis;bronkhitis kronis serta eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;eksaserbasi kronis akut;[];[]
bronkitis akut dan kronis;bronkitis asmatikus;[];[]
bronkitis akut dan kronis;exaserbasi bronkhitis khronik;[];[]
bronkitis akut dan kronis;bronkitis kronik eksaserbasi akut;[];[]
bronkitis akut dan kronis;eksaserbasi akut bronkitis kronik;[];[]
bronkitis akut dan kronis;bronkhitis pneumonia;[];[]
bronkitis akut dan kronis;eksaserbasi bronkhitis kronis;[];[]
bronkitis akut dan kronis;bronkitis kronis eksaserbasi akut;[];[]
bronkitis akut dan kronis;exaserbasi;[];[]
bronkitis akut dan kronis;bronkitis menahun;[];[]
bronkitis akut dan kronis;bronkhitis kronis eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;bronkhitis kronis eksaserbasi akut;[];[]
bronkitis akut dan kronis;bronkhitis kronis dan eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;bronkhitis akut dan kronis;[];[]
bronkitis akut dan kronis;bronkhitis kronis;[];[]
bronkitis akut dan kronis;bronkhitis akut kronis;[];[]
bronkitis akut dan kronis;bronkhitis kronis dan eksaserbasi akut;[];[]
bronkitis akut dan kronis;eksaserbasi bakteri akut bronkitis kronik;[];[]
bronkitis pneumonia;bronkitis pneumonia;[];[]
bronkopasma;bronkospasme reversibel;[];[]
bronkopasma;bronkospasme kronik;[];[]
bronkopasma;bronkhospastik;[];[]
bronkopasma;bronkospasme pada semua jenis asma bronkial;[];[]
bronkopasma;bronkospasme bronkitis kronik;[];[]
bronkopasma;kondisi2 bronkhospastik;[];[]
bronkopasma;bronkhospastik lain;[];[]
bronkopasma;bronkhospasme;[];[]
bronkopasma;bronkospasme akut;[];[]
bronkopasma;bronkhospasme reversibel;[];[]
bronkopasma;bronkospasme;[];[]
bronkopasma;bronkospasme kronis;[];[]
bronkopasma;bronkospasme jenis asma bronkial;[];[]
bronkopasma;penyakit2 paru menimbulkan komplikasi bronkhospasme;[];[]
bronkopasma;bronkospasma;[];[]
bronkopasma;bronkospasme semua jenis asma bronkial;[];[]
bronkopneumonia;bronkopneumonia;[];[]
bronkopulmonal;bronkopulmonal;[];[]
brucellosis;bruselosis;[];[]
brucellosis;brucellosis;[];[]
bursitis;bursitis;[];[]
cacar air;cacar air;[];[]
cacing gelang ascaris lumbricoides;cacing gelang ascaris lumbricoides;[];['cacing gelang']
cacing kremi;cacing;[];[]
cacing kremi;enterobius vermicularis;[];[]
cacing kremi;infeksi cacing kremi cacing gelang cacing tambang cacing cambuk infeksi cacing campuran tersebut;['cacing tambang', 'cacing cambuk', 'cacing gelang'];[]
cacing kremi;kremi;[];[]
cacing kremi;infeksi cacing campuran;[];[]
cacing kremi;cacingan;[];[]
cacing kremi;infeksi cacing kremi enterobius vermicularis;[];[]
cacing kremi;cacing kremi;[];[]
campak;campak;[];[]
candidiasis;kandiasis di organ genital;[];[]
candidiasis;kandda vagina;[];[]
candidiasis;kandidiasis kutaneus;[];[]
candidiasis;kandidiasis sistemik yang serius;[];[]
candidiasis;candidiasis;[];[]
candidiasis;infeksi kandida invasif;['infeksi kandida subkutan invasif'];['infeksi kandida subkutan invasif']
candidiasis;kandida jamur bakteri gram positif;[];[]
candidiasis;kandiasis organ genital;[];[]
candidiasis;kandidiasis diseminata;[];[]
candidiasis;gastrointestinal kandidosis sistemik;[];[]
candidiasis;orofaringeal infeksi kandida sistemik serius;[];[]
candidiasis;infeksi kandida kriptokokal sistemik;[];[]
candidiasis;kandidiasis;[];[]
candidiasis;kandidemia;[];[]
candidiasis;kriptokokosis kandidemia;[];[]
candidiasis;kandida;[];[]
candidiasis;infeksi kandida sistemik;[];[]
candidiasis;kandidiasis sistemik;[];[]
candidiasis;kandidiasis kutaneus moniliasis;[];[]
candidiasis;kandidiasi genetikal;[];[]
candidiasis;infeksi kandida sistemik serius;[];[]
candidiasis;moniliasis;[];[]
candidiasis;kandiasis;[];[]
candidiasis;kandidiasis esofageal;[];[]
candidiasis;kandidiasis sistemik serius;[];[]
candidiasis;kandidiasis vulvovagina;[];[]
candidiasis;kandidiasis invasif;[];[]
candidiasis;kandidosis vulvovaginal;[];[]
candidiasis;kandidiasis gastrointestinal;[];[]
candidiasis;infeksi mikosis sistemik kandidiasis;[];[]
candidiasis;kandidosis;[];[]
candidiasis;kandidiasis subkutan;[];[]
candidiasis;kandidiasi genetikal teritama;[];[]
candidiasis;kandidiasis saluran cerna;[];[]
candidiasis;kandidiasis esofaringeal;[];[]
candidiasis;infeksi kandida kriptokokal;[];[]
candidiasis;intertrigo kandida;['intertrigo'];[]
candidiasis;candida candidiasis;[];[]
candidiasis;kandidemia infeksi kandida sistemik;[];[]
candidiasis;kandidiasis vulvovag;[];[]
cedera;cedera;[];[]
cedera olahraga;cedera berolahraga kecelakaan;[];[]
cedera olahraga;cedera jaringan lunak;[];[]
cedera olahraga;cedera karena olahraga dan kecelakaan;[];[]
cedera olahraga;cedera olahraga;[];[]
cedera olahraga;cedera olahraga kecelakaan;[];[]
cedera olahraga;cedera karena olahraga;[];[]
cerebral palsy;cerebral palsy;[];[]
cerebral palsy;gangguan serebral;['gangguan sirkulasi serebral'];['gangguan sirkulasi serebral']
cerebral palsy;kelumpuhan cerebral;[];[]
cerebral palsy;cerbral palsy;[];[]
chlamydia;chlamydia trachomatis;[];[]
chlamydia;chlamydia;[];[]
chlamydia;trachomatis;[];[]
cocidioidomycosis;cocci dioidomycosis;[];[]
cocidioidomycosis;coci dioidomycosis;[];[]
covid-19;covid 19;[];[]
covid-19;covid19;[];[]
covid-19;covid-19;[];[]
cystitis;cystitis;[];[]
deep vein thrombosis;deep vein thrombosis;[];[]
defisiensi asam folat;defisensi asam folat;[];[]
defisiensi asam folat;defisiensi asam folat;[];[]
defisiensi estrogen;defisiensi estrogen;[];[]
defisiensi natrium hipovolemik;defisiensi natrium hipovolemik;[];[]
defisiensi progesteron;defisiensi progesteron;[];[]
defisiensi tiamin;kekurangan thiamin mononitrate;[];[]
defisiensi tiamin;defisiensi tiamin;[];[]
defisiensi vitamin b;defisiensi vitamin b;[];[]
defisiensi vitamin b;kekurangan vitamin c b kompleks;[];[]
defisiensi vitamin b;kekurangan vitamin b;[];[]
defisiensi vitamin b;defisiensi folic acid;[];[]
defisiensi vitamin b1;defisiensi vitamin b1;[];[]
defisiensi vitamin b1;kekurangan vitamin b1;[];[]
defisiensi vitamin b1;defisiensi vit b1;[];[]
defisiensi vitamin b1;defisiensi vit  b1;[];[]
defisiensi vitamin b12;defisiensi vitamin b12;[];[]
defisiensi vitamin b12;defisiensi vit b12;[];[]
defisiensi vitamin b12;kekurangan vitamin b12;[];[]
defisiensi vitamin b6;kekurangan vitamin b6;[];[]
defisiensi vitamin b6;defisiensi vitamin b6;[];[]
defisiensi vitamin b6;defisiensi vit b6;[];[]
defisiensi vitamin d;kekurangan vitamin d kadar serum 25ohd 30 ngml;[];[]
defisiensi vitamin d;pasien dengan kekurangan vitamin d;[];[]
defisiensi vitamin d;kekurangan vitamin d;[];[]
defisiensi vitamin e;defisiensi vitamin e;[];[]
defisiensi vitamin neurotropik;defisiensi vitamin neurotropik;[];[]
defisiensi zinc;defisiensi zinc;[];[]
dehidrasi;dehidrasisedang;[];[]
dehidrasi;dehidrasi ringan;[];[]
dehidrasi;dehidrasi sedang;[];[]
dehidrasi;dehidrasi;[];[]
demam;demam sesudah imunisasi;[];[]
demam;demam vaksinasi;['demam sesudah vaksinasi'];['demam sesudah vaksinasi']
demam;sakit demam;[];[]
demam;panas demam;[];[]
demam;demam imunisasi;[];[]
demam;demam akibat pilek;[];[]
demam;demam setelah imunisasi;[];[]
demam;demam forte;[];[]
demam;demam menyertai flu paska vaksinasi;[];[]
demam;nyeri demam;[];[]
demam;demam flu;[];[]
demam;demam paska vaksinasi;['sakit paska vaksinasi'];[]
demam;demam enterik;['enterik', 'demam enterik infeksi pencernaan'];['demam enterik infeksi pencernaan']
demam;demam pasca vaksinasi;[];[]
demam;demam;[];[]
demam;demam q;[];[]
demam;demam pasca imunisasi;[];[]
demam;dmam;[];[]
demam;menurunkan demam;[];[]
demam;demam menyertai flu;[];[]
demam berdarah;demam berdarah;[];[]
demam pada anak;demam anak dewasa;[];[]
demam pada anak;menurunkan demam anak;[];[]
demam pada anak;demam anak;[];[]
demam pada anak;demam pada anak;[];[]
demam pada anak;demam anak anak;[];[]
demam pada anak;demam anakanak;[];[]
demam paratifoid;paratifoid;[];[]
demam paratifoid;demam paratifoid;[];[]
demam scarlet;demam scarlet;[];[]
demam tifoid;demam tifoid;[];[]
dermatitis;dermatitis dengan komplikasi infeksi bakterial;[];[]
dermatitis;eksim dermatitis;['eksim'];['eksim']
dermatitis;dermatitis terinfeksi;['dermatitis ekzematoid terinfeksi'];['dermatitis ekzematoid terinfeksi']
dermatitis;dermatitis terinfeksi bisul;[];[]
dermatitis;dermatitis ekzematous;[];[]
dermatitis;dermatositosis;[];[]
dermatitis;dermatofitosis;[];[]
dermatitis;dermatitis alergi;[];[]
dermatitis;dermatitis komplikasi infeksi bakterial;[];[]
dermatitis;dermatitis disertai infeksi;[];[]
dermatitis;dermatitis akut;[];[]
dermatitis;dermatitis;[];[]
dermatitis;dermatitis lainnya;[];[]
dermatitis;pruritik dermatitis;[];[]
dermatitis;dermatitis eksfoliatif;[];[]
dermatitis;exfoliative dermatitis;[];[]
dermatitis atopik;dermatitis atopik;[];[]
dermatitis atopik;dermatitis atopik kontak;[];[]
dermatitis atopik;ekzema atopik;[];[]
dermatitis atopik;dermatitis kontak maupun atopik;[];[]
dermatitis atopik;dermatitis atopic;[];[]
dermatitis atopik;dermatitis atopik alergi herediterketurunan;[];[]
dermatitis atopik;dermatitis kontak atopik;[];[]
dermatitis atopik;atopic dermatitis;[];[]
dermatitis atopik;kulit bersisik psoriasis dermatitis atopik;[];[]
dermatitis kontak;dermatitis kronik;[];[]
dermatitis kontak;contact dermatitis;[];[]
