standardized_disease,list_of_diseases_fuzzy_tfidf_fuzzy_tfidf
ascariasis,"['ascariasis', 'ascaris lumbricoides', 'askariasis']"
asites,['asites']
asma,"['asma berat', 'asma ringan', 'asma', 'dispnea akibat asma bronkhial', 'asma sedang', 'bronkial asma', 'asma bronkial', 'asma bronkhial', 'serangan asma akut', 'asma dermatitis', 'asma kronis', 'asthma bronkial', 'asma akut', 'asthmatoid bronchitis', 'asmatikus', 'asma bronkial kronik', 'obstruksi saluran nafas asma bronkhial', 'asthma', 'asmatik asma bronkial', 'asma bronkhial khronik', 'asma berat akut', 'astma', 'asma akut berat', 'status asmatikus']"
aspergillosis,"['aspergilosis', 'aspergillosis']"
asthenia,['astenia']
aterosklerosis,"['artherosklerosis', 'aterosklerosis vaskular', 'aterosklerosis']"
atoni,['atoni']
atrial fibrilasi,"['fibrilasi atrium paroxismal', 'fibrilasi flutter atrium paroksismal', 'fibrilasi atrium', 'atrial fibrilasi']"
atrial flutter,['atrial flutter']
bakteremia,['bakteremia']
batu empedu,"['empedu', 'batu empedu']"
batu ginjal,"['batu oksalat', 'batu oksalat ginjal saluran kemih', 'batu ginjal']"
batu kandung kemih,"['kandung kemih aktif', 'batu urin', 'batu urin saluran kemih', 'gejala kandung kemih aktif', 'batu kandung kemih']"
batuk,"['batuk produktifberdahak nonproduktifkering', 'batuk yang disertai peradangan saluran pernafasan bagian atas', 'batuk yang disebabkan oleh alergi', 'batuk karena bronchitis', 'batuk produktifberdahak  nonproduktifkering', 'batuk disertai peradangan saluran pernafasan bagian atas', 'meredakan batuk', 'batuk bronchitis', 'batuk menahun', 'batuk akut kronik', 'batuk disebabkan alergi', 'batuk panas', 'batuk gatal', 'batuk karena emphysema', 'gejala batuk', 'batuk disebabkan oleh alergi', 'batuk akibat alergi', 'batuk alergi', 'batuk karena alergi', 'batuk sesak', 'batuk', 'batuk tenggorokan', 'batuk rangsangan selaput pernafasan']"
batuk berdahak,"['batuk mukolitik', 'batuk berdahak alergi', 'batuk produktifberdahak', 'mukolitik', 'batuk berdahak', 'ekspektoran batuk berdahak', 'batuk produktif', 'batuk berdahak disertai alergi', 'susah mengeluarkan dahak', 'dahak mukus', 'gangguan batuk berdahak', 'batuk dahak kental', 'batuk berdahak karena alergi', 'batuk produktif berdahak', 'ekspektoran gangguan batuk berdahak', 'batuk ikke berdahak', 'dahak kental', 'dahak']"
batuk kering,"['batuk tidak berdahak disertai bersinbersin alergi', 'batuk yang tidak berdahak disertai bersinbersin atau alergi', 'gejala batuk tidak berdahak', 'batuk nonproduktiftidak berdahak', 'batuk non produktif', 'batuk kering', 'batuk nonproduktifkering', 'batuk nonproduktif']"
batuk kronis,"['batuk kronis akut', 'batuk kronis']"
batuk pilek,"['batuk pilek', 'batuk/pilek', 'batuk berhubungan flu gangguan pernapasan', 'batuk menyertai pilek alergi', 'batukpilek', 'batuk berhubungan pilek']"
batuk rejan,"['batuk rejan', 'batuk rejanpertusis']"
batuk tidak berdahak,"['tidak berdahak', 'batuk tidak berdahak']"
bau badan,['bau badan']
bau mulut,"['bau mulut sedap', 'bau mulut']"
bengkak,"['bengak', 'bengkak memar', 'bengkak akibat terpukul', 'bengkak', 'bengkak atau memar']"
benjolan payudara,"['benjolan benjolan payudara', 'benjolan payudara']"
berat badan berlebih,"['kelebihan berat badan', 'berat badan berlebih']"
bersin,"['bersin disertai batuk', 'bersin bersin', 'pilek bersinbersin', 'bersin dan hidung tersumbat karena flu', 'bersinbersin', 'bersin', 'bersinbersin disertai batuk', 'bersin hidung tersumbat flu', 'bersin bersin yang disertai batuk', 'pilek bersin', 'bersinbersin yang disertai batuk', 'bersin bersin disertai batuk']"
biang keringat,"['biang keringat', 'gatal akibat keringat', 'biang keringat alergi', 'biang keringet']"
bibir kering,"['bibir pecahpecah', 'bibir pecah pcah', 'bibir pecah pecah', 'kulit pecah pecah sudut mulut', 'bibir kering']"
biduran,"['urtikaria biduran', 'gatalgatal biduran', 'biduran', 'kaligata', 'gangguan alergi urtikaria biduran kaligata kronis', 'biduran kaligata kronis']"
bisul,"['bisul', 'bisul bernanah', 'bisul gatal']"
blastomikosis,['blastomikosis']
blefaritis,"['blepharitis', 'blefaritis alergi radang kelopak mata akibat alergi', 'blefaritis non purulen', 'blefaritis', 'blefaritis nonpurulen']"
blefarokonjungtivitis,"['blefarokonjungtivitis keratokonjungtivitis', 'blefarokonjungtivitis']"
bph (benign prostatic hyperplasia),"['bph (benign prostatic hyperplasia)', 'benign prostatic hyperplasia', 'bph']"
bromokriptin,['bromokriptin']
bronkiektasis,"['bronkiektasis', 'bronkiektasi', 'bronkhiektasis']"
bronkiolitis,"['bronchiolitis', 'bronkiolitis']"
bronkitis,"['bronkitis', 'bronchitis', 'kaitan bronkhitis', 'bronkhitis', 'bronkitis alergi']"
bronkitis akut dan kronis,"['bronchitis akut kronik', 'bronkitis asmatik', 'bronkitis kronis', 'eksaserbasi akut bronkitis kronik', 'eksaserbasi akut dari bronkitis kronik', 'eksaserbasi bronkitis kronis', 'ppok', 'bronkhitis kronis eksaserbasi akut', 'bronkhitis khronik emfisema', 'exaserbasi akut bronkhitis khronik', 'bronkitis akut atau kronik', 'bronkhitis kronis dan eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut', 'bronkhitis kronis eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut', 'bronkhitis khronik', 'ppok bronkhitis khronis', 'eksaserbasi bakteri akut bronkitis kronis', 'bronkitis akut', 'eksaserbasi akut dr bronkitis kronik', 'eksaserbasi kronis akut', 'bronkhitis akut kronis', 'bronkhitis kronis dan eksaserbasi akut', 'infeksi akut bronkitis kronis', 'eksesarbasi bronkitis kronis', 'bronkhitis akut dan kronis', 'bronkhitis akut  khronis', 'bronkhitis asmatik', 'bronkitis kronik eksaserbasi akut', 'bronkhitis akut dan kronik', 'bronkitis kronik', 'bronkhitis khronis', 'bronkhitis khronis exaserbasi akut', 'eksaserbasi dari bronkhitis kronis', 'bronkhitis pneumonia', 'eksaserbasi bakteri akut bronkitis kronik', 'bronkhitis akut khronis', 'bronkitis purulen', 'bronkhitis akut kronik', 'exaserbasi', 'infeksi traktus respiratorius bronkhitis akut sinusitis akut', 'eksaserbasi bakterial akut bronkitis kronik', 'bronkitis khronis', 'eksaserbasi bronkhitis kronis', 'bronkitis asmatis', 'eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut', 'bronkitis akut dan kronik', 'bronkhitis kronis serta eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut', 'eksaserbasi akut bronkitis kronis', 'bronkritis kronik', 'bronkhitis akut kronis serta eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut', 'bronchitis akut dan kronik', 'bronkitis menahun', 'bronkitis akut kronik', 'bronkitis asmatikus', 'bronkhitis akut berulang', 'bronkhitis akut dan kronis serta eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut', 'exaserbasi bronkhitis khronik', 'bronkhitis akut', 'bronkitis kronis eksaserbasi akut', 'akut bronkhitis', 'eksaserbasi bronkhitis khronik', 'bronkhitis kronik', 'bronkhitis kronis serta eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut', 'bronkhitis kronis']"
bronkitis pneumonia,['bronkitis pneumonia']
bronkopasma,"['bronkospasme kronik', 'kondisi2 bronkhospastik', 'bronkospasme pada semua jenis asma bronkial', 'bronkospasme jenis asma bronkial', 'bronkhospastik lain', 'bronkospasme semua jenis asma bronkial', 'bronkospasme akut', 'bronkospasme reversibel', 'bronkhospasme reversibel', 'bronkospasma', 'bronkospasme bronkitis kronik', 'penyakit2 paru menimbulkan komplikasi bronkhospasme', 'bronkospasme', 'bronkhospastik', 'bronkhospasme', 'bronkospasme kronis']"
bronkopneumonia,['bronkopneumonia']
bronkopulmonal,['bronkopulmonal']
brucellosis,"['brucellosis', 'bruselosis']"
bursitis,['bursitis']
cacar air,['cacar air']
cacing cambuk,['cacing cambuk']
cacing gelang ascaris lumbricoides,"['cacing gelang ascaris lumbricoides', 'cacing gelang']"
cacing kremi,"['kremi', 'cacingan', 'cacing kremi', 'infeksi cacing campuran', 'infeksi cacing kremi cacing gelang cacing tambang cacing cambuk infeksi cacing campuran tersebut', 'enterobius vermicularis', 'infeksi cacing kremi enterobius vermicularis', 'cacing']"
cacing tambang,['cacing tambang']
campak,['campak']
candidiasis,"['kriptokokosis kandidemia', 'kandiasis di organ genital', 'kandidiasis sistemik serius', 'kandidiasis gastrointestinal', 'kandidiasis subkutan', 'kandidiasi genetikal', 'infeksi kandida invasif', 'intertrigo kandida', 'infeksi kandida sistemik', 'infeksi kandida subkutan invasif', 'kandidiasis esofaringeal', 'kandidemia', 'moniliasis', 'gastrointestinal kandidosis sistemik', 'infeksi kandida sistemik serius', 'infeksi mikosis sistemik kandidiasis', 'candida candidiasis', 'kandidiasis saluran cerna', 'kandidiasis vulvovag', 'infeksi kandida kriptokokal sistemik', 'kandidiasis vulvovagina', 'kandidiasis sistemik yang serius', 'infeksi kandida kriptokokal', 'kandida', 'kandidemia infeksi kandida sistemik', 'kandiasis organ genital', 'kandda vagina', 'orofaringeal infeksi kandida sistemik serius', 'kandidiasis sistemik', 'kandidosis', 'kandidiasis kutaneus moniliasis', 'kandidiasi genetikal teritama', 'kandidosis vulvovaginal', 'kandidiasis kutaneus', 'kandidiasis diseminata', 'kandida jamur bakteri gram positif', 'kandidiasis', 'kandiasis', 'kandidiasis esofageal', 'kandidiasis invasif', 'candidiasis']"
cedera,['cedera']
cedera olahraga,"['cedera karena olahraga dan kecelakaan', 'cedera karena olahraga', 'cedera berolahraga kecelakaan', 'cedera jaringan lunak', 'cedera olahraga', 'cedera olahraga kecelakaan']"
cerebral palsy,"['kelumpuhan cerebral', 'gangguan serebral', 'cerbral palsy', 'cerebral palsy', 'gangguan sirkulasi serebral']"
chlamydia,"['trachomatis', 'chlamydia trachomatis', 'chlamydia']"
cocidioidomycosis,"['cocci dioidomycosis', 'coci dioidomycosis']"
covid-19,"['covid19', 'covid 19', 'covid-19']"
cystitis,['cystitis']
dakriosistitis,['dakriosistitis']
deep vein thrombosis,['deep vein thrombosis']
defisiensi asam folat,"['defisiensi asam folat', 'defisensi asam folat']"
defisiensi estrogen,['defisiensi estrogen']
defisiensi natrium hipovolemik,['defisiensi natrium hipovolemik']
defisiensi progesteron,['defisiensi progesteron']
defisiensi tiamin,"['defisiensi tiamin', 'kekurangan thiamin mononitrate']"
defisiensi vitamin b,"['defisiensi vitamin b', 'defisiensi folic acid', 'kekurangan vitamin c b kompleks', 'kekurangan vitamin b']"
defisiensi vitamin b1,"['defisiensi vit  b1', 'kekurangan vitamin b1', 'defisiensi vit b1', 'defisiensi vitamin b1']"
defisiensi vitamin b12,"['defisiensi vitamin b12', 'defisiensi vit b12', 'kekurangan vitamin b12']"
defisiensi vitamin b6,"['defisiensi vit b6', 'defisiensi vitamin b6', 'kekurangan vitamin b6']"
defisiensi vitamin d,"['kekurangan vitamin d kadar serum 25ohd 30 ngml', 'pasien dengan kekurangan vitamin d', 'kekurangan vitamin d']"
defisiensi vitamin e,['defisiensi vitamin e']
defisiensi vitamin neurotropik,['defisiensi vitamin neurotropik']
defisiensi zinc,['defisiensi zinc']
dehidrasi,"['dehidrasi sedang', 'dehidrasi ringan', 'dehidrasi', 'dehidrasisedang']"
demam,"['demam enterik', 'sakit demam', 'demam setelah imunisasi', 'demam akibat pilek', 'demam imunisasi', 'demam', 'demam pasca imunisasi', 'demam sesudah vaksinasi', 'demam paska vaksinasi', 'demam sesudah imunisasi', 'menurunkan demam', 'demam flu', 'demam enterik infeksi pencernaan', 'demam menyertai flu', 'demam forte', 'nyeri demam', 'demam pasca vaksinasi', 'demam vaksinasi', 'panas demam', 'demam menyertai flu paska vaksinasi', 'dmam', 'demam q']"
demam berdarah,['demam berdarah']
demam pada anak,"['demam anak anak', 'demam anak', 'demam pada anak', 'demam anak dewasa', 'demam anakanak', 'menurunkan demam anak']"
demam paratifoid,"['demam paratifoid', 'paratifoid']"
demam scarlet,['demam scarlet']
demam tifoid,['demam tifoid']
dermatitis,"['dermatitis terinfeksi', 'dermatofitosis', 'dermatitis alergi', 'dermatitis terinfeksi bisul', 'eksim', 'dermatitis ekzematous', 'dermatitis akut', 'eksim dermatitis', 'exfoliative dermatitis', 'dermatitis dengan komplikasi infeksi bakterial', 'dermatitis ekzematoid terinfeksi', 'dermatositosis', 'dermatitis komplikasi infeksi bakterial', 'dermatitis', 'dermatitis lainnya', 'dermatitis eksfoliatif', 'pruritik dermatitis', 'dermatitis disertai infeksi']"
dermatitis atopik,"['dermatitis atopik', 'atopic dermatitis', 'dermatitis kontak maupun atopik', 'dermatitis atopik kontak', 'kulit bersisik psoriasis dermatitis atopik', 'dermatitis atopic', 'ekzema atopik', 'dermatitis kontak atopik', 'dermatitis atopik alergi herediterketurunan']"
dermatitis kontak,"['contact dermatitis', 'dermatitis kronik', 'dermatitis kontak jenis dermatitis', 'dermatitis kontak', 'dermatitis akut kronik']"
dermatitis seboroik,"['seboroik', 'demartitis sebaroik ringan', 'seborrhoeic dermatitis', 'dermatitis seboroik']"
dermatomikosis,['dermatomikosis']
dermatomiositis,"['dermatomiositis', 'dermatomiosis']"
dermatosis,"['inflamasi dermatosis', 'dermatosis bakterial', 'dermatosis alergi inflamasi', 'dermatosis', 'dermatosis lain', 'dermatosis bakterial mikotik', 'dermatosis alergi']"
diabetes,"['diabetes obesitas', 'paresis', 'non insulin dependent diabetes mellitus', 'diabetik gastroparesis akut', 'non insulin dependent diabetic mellitus', 'diabetes', 'diabetes mellitus', 'insulin dependent diabetes mellitus', 'diabetik gastro paresis akut', 'diabetik gastroparesis berulang', 'diabetik', 'diabetes melitus']"
diabetes tipe 1,"['diabetes melitus tipe  1', 'diabetes tipe 1', 'diabetes tipe - 1']"
diabetes tipe 2,"['diabetes mellitus tipe 2', 'tipe 2', 'dm tipe 2', 'diabetes melitus tipe 1', 'dm tipe  2', 'diabetes tipe - 2', 'diabetes melitus tipe  2', 'diabetes tipe 2', 'dmt2', 'diabetes tipe 2 terkontrol', 'diabetes melitus tipe 2', 'pasien dm tipe 2', 'diabetes miletus tipe 2']"
diare,"['mencret', 'diare mencret', 'diare e coli', 'diare non  spesifik', 'diare staph', 'diare kronis', 'diare kuman e coli staph kolopati spesifik non spesifik dewasa anak', 'diare e  coli', 'diare akut non spesifik kronik', 'diare anak', 'diare akut', 'diare akut non spesifik', 'diare akut kronik', 'diare karena kuman e coli dan staph kolopati spesifik dan non spesifik pada dewasa dan anak', 'diare', 'ecoli', 'diare ecoli', 'diare non spesifik', 'diare nonspesifik', 'diare kronik']"
difteri,"['difteri', 'difteri faringeal']"
discoid,"['diskoid lupus eritemmantosus', 'diskoid', 'ekzema diskoid', 'dsikoid', 'discoid']"
disentri,"['paratifoid disentri basiler', 'disentri basil', 'enterokolitis disentri basiler akibat bakteri gram negatif', 'disentri', 'disentri basiler']"
disfungsi ereksi,['disfungsi ereksi']
disfungsi ovulasi,"['gangguan ovulasi', 'disovulasi', 'disfungsi ovulasi']"
dislipidemia,"['dislipidemia', 'dislipidemia campuran tipe iib', 'dislipidemia campuran fredrickson tipe iia iib', 'dislipidemia campuran']"
dismenore,"['dismenore nyeri saat haid', 'dismenore pasca operasi', 'sakit haid', 'nyeri waktu haid', 'keram saat haid', 'dismenore nyeri haid', 'nyeri haid', 'disenore nyeri haid', 'dysmenorrhea', 'nyeri dismenore', 'nyeri haid primer', 'disumenore', 'haid', 'nyeri haid dysmenorrhea primer', 'dismenore', 'dismenorea primer', 'disenore', 'dysmenorrhea primer', 'nyeri haid dismenore primer', 'nyeri dismenore primer', 'dismenore primer', 'dismenorea', 'dismenor primer']"
edema,"['edema asites', 'edema akibat chf', 'edema gagal jantung kongestif', 'edema', 'edema inflamasi']"
ejakulasi dini,['ejakulasi dini']
eksaserbasi,"['ekarserbasi akut', 'eksaserbasi akut', 'eksasaerbasi akut', 'eksaserbasi bakteri akut', 'eksaserbasi', 'exaserbasi akut']"
eksema,['ekzema bernanah']
ekstremitas dingin,"['ekstremitas dingin', 'extremitastangankaki dingin', 'ekstremitas teraba dingin']"
emboli,"['emboli serebral', 'embolus sistemik', 'emboli', 'embolus paru']"
emfisema,"['emfisema', 'emfisema gangguan bronkhopulmoner', 'emfisema penyakit paru komplikasi bronkhospasme', 'emfisema dengan bronkitis', 'gangguan bronkhopulmoner', 'emphysema', 'emfisema paru', 'pulmonari emfisema', 'batuk emphysema', 'enfisema', 'ppok emfisema dengan bronkitis bronkitis kronis bronkiektasi']"
empiema,['emfiema']
endokarditis,['endokarditis']
endometriosis,['endometriosis']
endometritis,['endometritis']
ensefalitis,['toksoplasmik ensefalitis']
ensefalopati,"['ensefalopati portal sistemik', 'portal systemic encephalopathy', 'portal sistemik', 'ensefalopati', 'ensefalopati portal  sistemik', 'ensefalopati portalsistemik', 'ensefalopati portal sistemik kronik', 'encephalopathy', 'ensefalopati portal']"
epididimitis,['epididimitis']
epididimo-orkitis,"['epididimo-orkitis', 'epididimo orkitis']"
epididimoorkitis,['epididimoorkitis']
episkleritis,"['episcleritis', 'episklerit', 'episkleritis']"
eritritis,['eritritis']
erosi kornea,['erosi kornea']
esofagitis,"['peptik esofagitis', 'eosifagitis', 'esophagitis', 'esofagitis', 'peptik eosifagitis']"
faringitis,"['faringitis tonsilitis streptokokus', 'faringitis', 'faringitis tonsilitis', 'pharingitis']"
fatigue,['fatig lelah']
fistula ani,"['fistula ani', 'fistula']"
fisura ani,"['fisura anal', 'fisura anal superfisial', 'fisura ani']"
flek,"['flek kanker paru paru', 'flek', 'flek hitam']"
flu,"['influenza a', 'virus influenza b', 'h influenza', 'infeksi h influenzae', 'flu pilek', 'fluinfluensa', 'flu', 'influensa demam', 'virus influenza a', 'flu seperti demam', 'virus influenza c', 'flu pada anak dan orang dewasa', 'virus influenza tipe a b', 'influensa', 'infuenza', 'infeksi virus influenza tipe b', 'hinfluenzae', 'flu influensa', 'virus influenza tipe a', 'influenza tipe b', 'influenza dewasa', 'virus influenza tipe a atau b', 'gejala flu', 'influenza anak', 'infeksi virus influenza tipe a', 'flu demam', 'flu disertai batuk kering', 'h influenzae', 'influenza', 'demam influensa', 'flu anak orang dewasa', 'influenza tipe a']"
flu burung,['flu burung']
folikulitis,"['folikulitis superfisialis', 'folikulitis barbae', 'folikulitis', 'folikulitis superfisial']"
furunculosis,"['furunculosis', 'furunkulosis']"
gagal ginjal akut,"['gagal ginjal', 'insufisiensi ginjal', 'gagal ginjal akut']"
gagal ginjal kronis,"['gangguan ginjal khronik', 'gagal ginjal khronis', 'insufisiensi ginjal khronik', 'insufisiensi ginjal kronik', 'gagal ginjal akut kronik', 'gagal ginjal kronik', 'pasien gagal ginjal khronik']"
gagal jantung,"['gagal jantung', 'masalah jantung', 'gagal jantung kronik', 'gagal jantung kongesti', 'gagal jantung kongestif', 'gangguan jantung', 'infeksi jantung']"
gangguan ginjal,"['gangguan ginjal', 'gangguan ginjal prostat']"
gangguan hati,['gangguan hati']
gangguan kehamilan,"['kehamilan', 'gangguan kehamilan', 'komplikasi kehamilan']"
gangguan keseimbangan,"['gangguan keseimbangan', 'gangguan keseimbangan hormonal']"
gangguan kulit,['gangguan kulit']
gangguan memori,"['gangguan memori tidur', 'gangguan memori']"
gangguan metabolik,"['gangguan vaskulo metabolik perifer akut khronik', 'gangguan vaskulo metabolik serebral akut khronik', 'gangguan metabolisme', 'gangguan metabolik', 'gangguan metabolisme otot jantung']"
gangguan muskuloskeletal,"['gangguan musculoskeletal akut gout akut', 'gangguan muskulosketal akut', 'gangguan musculoskeletal akut']"
gangguan panik,['gangguan panik']
gangguan pencernaan,"['gangguan pencernaan fungsional', 'gangguan pada pencernaan', 'dispepsia gangguan pencernaan neurogenik', 'gangguan pencernaan', 'gangguan pencernaan neurogenik', 'gangguan lambung', 'gangguan saluran cerna']"
gangguan pendengaran,['gangguan pendengaran']
gangguan peradangan okular,['gangguan peradangan okular']
gangguan pernapasan,"['gangguan saluran napa', 'gangguan saluran pernafasan kronik', 'gangguan saluran nafas kronis', 'sekretolitik gangguan saluran napa akut khronik', 'gangguan saluran nafas khronik', 'gangguan saluran pernapasan akut kronik', 'gangguan pernafasan akibat rokok', 'gangguan saluran pernafasan', 'gangguan saluran pernapasan', 'gangguan saluran napa akut khronik', 'gangguan pernapasan', 'gangguan saluran pernapasan alergi dermatologi serta gangguan inflamasi ocular', 'gangguan saluran pernafasan akut', 'gangguan pernafasan', 'gangguan saluran pernafasan disebabkan dahak mukus', 'gangguan saluran nafas akut', 'gangguan saluran pernafasan akut kronik', 'gangguan saluran nafas akut kronis', 'gangguan pernapasan akut kronis', 'gangguan di saluran pernafasan']"
gangguan prostat,['gangguan prostat']
gangguan saluran gastrointestinal,"['gangguan gi mual', 'gi', 'gangguan gi']"
gangguan saluran kemih,"['gangguan saluran kemih bagian bawah', 'gangguan saluran kemih bagian bawah berhubungan dengan hiperplasia prostat jinak']"
gangguan saraf,"['gangguan saraf', 'gangguan saraf perifer']"
gangguan sirkulasi,"['gangguan sirkulasi perifer', 'gangguan sirkulasi']"
gangguan spastik,"['gangguan spastik', 'gangguan spastik saluran genital wanita', 'gangguan spastik saluran kemih', 'gangguan spastik saluran cerna', 'gangguan spastik saluran empedu']"
gangguan tidur,"['sulit tidur', 'gangguan irama tidur', 'susah tidur', 'gangguan sulit tidur', 'gangguan tidur', 'gangguan ritme tidur']"
gangguan tropik,"['gangguan trofik', 'gangguan tropik']"
gangguan vestibular,"['gangguan vestibular', 'gangguan vaskular vestibular']"
gangrene,"['ganggren', 'gangrene']"
gastritis,"['ulkus gastritis', 'antasida gastritis', 'gastritis', 'gastritis kronik', 'gastritis kronik sd 8 minggu', 'penuh lambung gastritis', 'gastritis tukak lambung tukak usus dua belas jari', 'gastritis alkoholisme khronik', 'penuh lambung', 'gastristis', 'gastritis kronis']"
gastroenteritis,"['gastroenteritis anak', 'gastroenteritis', 'gastroenteritis bayi']"
gastroparesis,"['gastroparesis akut dan berulang', 'gastroparesis diabetikum akut rekuren', 'gastroparesis', 'gastroparesis berulang', 'gastroparesis diabetikum', 'gastroparesis diabetikum akut berulang', 'gastroparesis akut berulang', 'gastroparesis akut']"
gatal,"['gatal', 'gatalgatal', 'gatal gatal', 'urtikaria gatal gatal', 'gatal jamur kulit', 'sakit gigi gatal gatal', 'gatal2', 'gatal kulit', 'gatalgatal disebabkan oleh infeksi jamur', 'inflamasi gatal gatal']"
