id,nomor_registrasi,nama,tipe,komposisi,indikasi_umum,indikasi
308,DKL1131531433A1,tracetate,suspensi,megestrol acetate,"terapi paliatif karsinoma payudara karsinoma endometrium tahap , rekuren , tidak dioperasi , bermetastasis  anoreksia kakeksia pasien kanker hiv aids",kanker rahim| anoreksia nervosa| kakeksia| kanker payudara| kanker| hiv aids
317,TR183314811,bikmil,kapsul,curcuma domestica rhizoma,membantu memelihara kesehatan wanita,kesehatan wanita
321,DKL0515619110A1,clovertil,tablet,clomifene citrate,infertilitas gangguan ovulasi wanita oligosperma pria,disfungsi ovulasi| infertilitas
337,DKL0317619010A1,fertin,tablet,clomifene citrate,"infertilitas anovulatori , oligospermia",oligospermia| infertilitas
339,DKL0213310710A1,genoclom,tablet,clomifene citrate,terapi infertilitas wanita karena oligomenore atau amenore sekunder. juga untuk meningkatkan spermatogenesis pada pria dengan oligospermia,oligomenorea| oligospermia| infertilitas
342,DKI1235600228A1,oestrogel,gel,estradiol hemihydrate,defisiensi estrogen gejala - gejala defisiensi estrogen berhubungan menopause  untuk pencegahan osteoporosis pasca menopause,defisiensi estrogen| osteoporosis| menopause
344,DKL0122232010A1,preabor,tablet,allylestrenol,"mencegah ancaman abortus, ancaman kelahiran prematur, dan abortus habitulasi",aborsi| kelahiran prematur
350,DKL9805026810A1,pregnolin,tablet,allylestrenol,"abortus mengancam , abortus hebatulasi , ancaman kelahiran prematur",aborsi| aborsi habitulasi
354,DKL0431525010A1,pregtenol,tablet,allylestrenol,"abortus mengancam , abortus habitualis , persalinan prematur mengancam",aborsi| kelahiran prematur| aborsi habitulasi
357,DKL9611625310A1,premaston,tablet,allylestrenol,"persalinan terancam prematur , abortus habitulasi , abortus mengancam",aborsi| kelahiran prematur| aborsi habitulasi
358,DKL0317619410A1,prestrenol,tablet,allylestrenol,"abortus mengancam , abortus hebatulasi , persalinan prematur mengancam",aborsi| aborsi habitulasi
363,DKL0615619610A1,progeston,tablet,allylestrenol,ancaman abortus persalinan prematur,aborsi| kelahiran prematur
366,DKI0054200210D1,provera,tablet,medroxyprogesterone acetate,"amenore sekunder , perdarahan uterus disfungsional disebabkan gangguan keseimbangan hormonal kelainan fibroid kanker rahim , endometriosis",kanker rahim| kelainan fibroid| amenore| gangguan keseimbangan| endometriosis| pendaharan uterus
371,DKL9705022510A1,provula,tablet,clomifene citrate,"oligospermia , infertilitas akibat tidak ovulasi",oligospermia| infertilitas
376,DKI2045900202A1,utrogestan,kapsul,progesterone,untuk gangguan yang berhubungan dengan defisiensi progesteron,defisiensi progesteron
377,DTL1613711841B1,betadine feminine hygiene,larutan,povidone-iodine,"cairan area kewanitaan terinfeksi vaginitis kandida , trikomonas , bakteri , jamur infeksi campuran , servisitis",servisitis| vaginitis
391,DKL7813703066A1,betadine vaginal douche,vaginal douche,povidone-iodine,"sebagai disinfektan vagina. digunakan untuk mengobati gejala iritasi ringan, gatal-gatal & keputihan yang disebabkan oleh trichomonas vaginalis, candida albicans& gardnerella vaginalis.",gardnerella vaginalis| vaginitis| infeksi vagina
393,TR082383361,em kapsul,kapsul,aloe vera folium,membantu melancarkan haid,dismenore
398,FF142300581,x-gra,kapsul,eurycoma longifolia radix ekstrak,"meningkatkan stamina dan kesegaran tubuh, membantu meningkatkan stamina pria, membantu mengatasi disfungsi ereksi dan ejakulasi dini",ejakulasi dini| disfungsi ereksi
404,TR212355161,air mancur sehat pria,kapsul,boesenbergia pandurata rhizoma,membantu memelihara kesehatan pria membantu menyegarkan badan,kesehatan
405,TR132370451,bioprost,kapsul,ekstrak serenoa repens fructus,membantu kelancaran berkemih akibat gangguan prostat,gangguan prostat
412,TR183321301,he man,kapsul,amylum maydis,secara tradisional digunakan untuk membantu memelihara kesehatan pria dan meningkatkan vitalitas pria.,kesehatan pria
421,TR043332061,herbacure naturex-p,kapsul,eurycoma longifolia radix ekstrak,membantu memelihara stamina  secara tradisional digunakan untuk membantu sirkulasi darah,hipertensi| radang| kolesterol
424,TR053347731,herbacure naturic,kapsul,cymbopogon nardus,membantu meredakan pegal linu dan nyeri pada persendian,pegal linu| nyeri sendi
434,TR212346461,konilife fertilive,kapsul,withania somnifera radix extract,konilife fertilive obat tradisional kandungan ekstrak akar ashwagandha efektif membantu memelihara stamen pria,stamen pria
435,TR042538951,kumis kucing,kaplet,orthosiphon aristatus folium ekstrak,membantu menjaga kesehatan prostat melancarkan buang air seni,prostat
438,TI094339391,natrol maca,kapsul,lepidium meyenii tuber ekstrak,"membantu meningkatkan gairah seksual fertilitas , membantu menyeimbangkan hormon , membantu mengatasi impoten pria",pria| fertilitas| impotensi
440,TI054515281,cougar,tablet,avena sativa stem extract,memelihara memelihara stamen pria,sakit pria
441,TR162392521,nature`s pride saw palmetto,kapsul,serenoa repens fructus extract,membantu memelihara kesehatan prostat,prostat
444,TR202515841,nutrimax stamina x,tablet,centella asiatica herba ekstrak,membantu memelihara vitalitas pria,none
445,TR103322461,pasak bumi plus,kapsul,eurycoma longifolia radix,membantu memelihara stamina pria,tidak ada
451,TR132372241E,srongpas ginseng,kapsul,elephantopus scaber folium,"membantu memelihara kesehatan pria membantu meredakan sakit otot pinggang , pegal - pegal linu",pegal linu| sakit pinggang
455,DKL8813301537A1,lasal ekspektoran,sirup,guaifenesin| salbutamol sulfate,"meringankan asma bronkhial, bronkhitis khronik, emfisema, dan kondisi bronkhospastik lain",asma| emfisema| bronkitis akut dan kronis| bronkopasma
456,GKL9832707710A1,salbutamol,tablet,salbutamol sulfate,"bronkospasme pada semua jenis asma bronkial, bronkritis kronik, dan emfisema",asma| emfisema| bronkitis akut dan kronis| bronkopasma
458,DKL8513300237A1,lasal,sirup,salbutamol sulfate,"meringankan asma bronkhial, bronkhitis khronik, emfisema, dan kondisi bronkhospastik lain",asma| emfisema| bronkitis akut dan kronis| bronkopasma
459,GKL8912512010B1,salbutamol sulfate,tablet,salbutamol sulfate,"bronkospasme pada semua jenis asma bronkial, bronkritis kronik, dan emfisema",asma| emfisema| bronkitis akut dan kronis| bronkopasma
460,DKL8805004810A1,teosal,tablet,salbutamol sulfate,sebagai bronkodilator pada penderita asma bronkial dan bronkitis kronis.,asma| bronkitis akut dan kronis
462,DKL8513300201B1,lasal 4,kapsul,salbutamol sulfate,"bronkospasme jenis asma bronkial , bronkritis kronik , emfisema",asma| emfisema| bronkitis akut dan kronis| bronkopasma
464,DKL0832005437A1,ventolin expectorant (sugar free),sirup,guaifenesin,"meredakan bronkospasme pada bronkial asma, bronkitis kronis, & emfisema dan meredakan sumbatan saluran napas.",asma| bronkitis akut dan kronis| penyumbatan saluran nafas| emfisema| bronkopasma
464,DKL0832005437A1,ventolin expectorant,sirup,salbutamol sulfate| guaifenesin,"meredakan bronkospasme pada bronkial asma, bronkitis kronis, & emfisema dan meredakan sumbatan saluran napas.",asma| bronkitis akut dan kronis| penyumbatan saluran nafas| emfisema| bronkopasma
467,DKL8513300201A1,lasal 2,kapsul,salbutamol sulfate,"bronkospasme pada semua jenis asma bronkial, bronkritis kronik, dan emfisema.",asma| emfisema| bronkitis akut dan kronis| bronkopasma
471,DKL9221003604A1,astherin,kaplet,terbutaline sulfate,"mengobati mengi sesak napa paru - paru asma , penyakit paru obstruktif kronis , bronchitis , emfisema",asma| penyakit paru obstruktif kronis| sesak napas| bronkitis| emfisema
473,DKL0433512110A1,ataroc,tablet,procaterol hydrochloride hemihydrate,"dispnea akibat asma bronkhial, bronkhitis akut dan kronik, emfisema paru.",dispnea| emfisema| bronkitis akut dan kronis| asma
477,DKL7821630809A1,euphyllin retard,kaplet,theophylline,"penyakit2 obstruksi saluran nafas seperti asma bronkhial, bronkhitis khronis.",asma| bronkitis akut dan kronis| penyakit paru obstruktif kronis
478,DKL7821616717A1,euphyllin retard mite,tablet,theophylline,"penyakit2 obstruksi saluran nafas asma bronkhial , bronkhitis khronis",asma| bronkitis akut dan kronis| penyakit paru obstruktif kronis
483,DKL8831501237A1,fartolin,sirup,guaifenesin,"asma bronkhial, bronkhitis khronik, dan emfisema.",asma| emfisema| bronkitis akut dan kronis
483,DKL8831501237A1,fartolin expectorant,sirup,guaifenesin| salbutamol sulfate,"asma bronkhial, bronkhitis khronik, dan emfisema.",asma| emfisema| bronkitis akut dan kronis
486,DKI1618600517A1,monarin,tablet,montelukast sodium,untuk pencegahan dan terapi asma kronis.,asma
488,DKL9312514106A1,retaphyl sr,kaplet,theophylline,asma bronkial,asma
491,DKL0221627537A1,salbuven expectorant,sirup,guaifenesin| salbutamol sulfate,"terapi gangguan saluran napas dimana bronkhospasme & sekresi mukus kental yang berlebihan merupakan faktor komplikasi, seperti pada asma bronkhial, bronkhitis khronis dan emfisema",asma| emfisema| bronkitis akut dan kronis| bronkopasma
496,DKL2006609717A1,singulair,tablet,montelukast sodium,pencegahan pengobatan kronik asma pd orang dws 15 tahunke tab salut selaput 10 mg mencegah bronkokonstriksi yg dipicu olahraga latihan fisik,asma| bronkokonstriksi
498,DTL9317608101A1,theobron,kapsul,theophylline,asma bronkhial kondisi bronkhospastik,asma| bronkopasma
502,DKL9232000537A1,ventolin,sirup,salbutamol sulfate,penanganan pencegahan serangan asma,asma
506,GTL9104207117A1,aminophylline,tablet,aminophylline,asma,asma
517,DKL8822209037A1,astharol,sirup,salbutamol sulfate,"bronkhospasme jenis asma bronkhial , bronkhitis khronik emfisema",asma| bronkitis akut dan kronis| bronkitis| emfisema| bronkopasma| khronik
518,DKL8920603710B1,azmacon 2,tablet,salbutamol sulfate,"asma , bronkhitis khronis , emfisema gangguan bronkhopulmoner bronkhospasme",asma| emfisema| bronkitis akut dan kronis| bronkopasma
519,DKL2122261937A1,bicorsan,sirup,procaterol hydrochloride hemihydrate,"dispnea akibat asma bronkhial, bronkhitis akut dan kronik, emfisema paru.",dispnea| emfisema| bronkitis akut dan kronis| asma
520,DKI1110300201B1,broncho vaxom adults,kapsul,kombinasi-bacterial lysates,imunoterapi  pencegahan infeksi berulang saluran udara eksaserbasi infeksi akut bronkitis kronis  co - obat pengobatan infeksi saluran napa akut,bronkitis akut dan kronis| infeksi saluran pernapasan| infeksi
520,DKI1110300201B1,broncho-vaxom adult,kapsul,standardized om-85 lyophilizate,imunoterapi  pencegahan infeksi berulang saluran udara eksaserbasi infeksi akut bronkitis kronis  co - obat pengobatan infeksi saluran napa akut,bronkitis akut dan kronis| infeksi saluran pernapasan| infeksi
522,DKL9709207704A1,bronchosal,kaplet,salbutamol sulfate,"kejang bronkus jenis asma bronkial , bronkitis kronis emphysema",asma| emfisema| bronkitis akut dan kronis| kejang
523,DTL8800905901A1,bufabron,kapsul,theophylline,untuk meringankan mengatasi serangan asma bronkial,asma
526,DKL1806419237A1,erphasal,sirup,salbutamol sulfate,"meringankan asma bronkhial, bronkhitis khronik, emfisema, dan kondisi bronkhospastik lain",asma| emfisema| bronkitis akut dan kronis| bronkopasma
527,DKL9608006210A1,forasma,tablet,terbutaline sulfate,"meringankan spasme bronki penyakit saluran pernafasan kronik asma bronkial , bronkitis , emfisema",bronkitis| emfisema| asma| penyakit saluran pernapasan
531,DKL9331103610A1,grafalin-2,tablet,salbutamol sulfate,"bronkospasme pada semua jenis asma bronkial, bronkritis kronik, dan emfisema.",asma| emfisema| bronkitis akut dan kronis| bronkopasma
533,DKL9331103610B1,grafalin-4,tablet,salbutamol sulfate,"bronkodilator asma bronkial , bronkitis kronik emfisema",asma| emfisema| bronkitis akut dan kronis
534,DKL7225201910A1,inolin,tablet,tretoquinol hydrochloride,"merelaksasi konstraksi bronkus berhubungan asma bronkial , bronkitis menahun , pneumokoniosis",asma| bronkitis akut dan kronis| pneumokoniosis| konstraksi bronkus
535,DKL8717604710A1,intifen,tablet,ketotifen fumarate,pencegahan jangka asma bronkial,asma
536,DKL1931543817A1,isivas,tablet,montelukast sodium,untuk pencegahan terapi asma kronis,asma
537,DKL8713300737A1,lasmalin,sirup,terbutaline sulfate,"asma bronkhial , bronkhitis khronis , emfisema penyakit paru komplikasi bronkhospasme",asma| emfisema| bronkitis akut dan kronis| penyakit paru obstruktif kronis
539,DKL8118700110A1,meptin,tablet,procaterol hydrochloride hydrate,"meredakan berbagai gejala yang disebabkan gangguan obstruksi/sumbatan pernafasan pada asma bronkhial, bronkhitis khronis & emfisema paru",asma| emfisema| bronkitis akut dan kronis
540,DKL8518700110B1,meptin mini,tablet,procaterol hydrochloride,"meredakan berbagai gejala yang disebabkan gangguan obstruksi/sumbatan pernafasan pada asma bronkhial, bronkhitis khronis & emfisema paru",asma| emfisema| bronkitis akut dan kronis
542,DKL9118808810A1,nairet,tablet,terbutaline sulfate,untuk mengobati bronkospasme akut.,bronkopasma
543,DKL0809218004A1,neosma,kaplet,terbutaline sulfate,"bronkhodilator asma bronkhial , bronkhospasme bronkhitis khronik , emfisema penyakit paru komplikasi konstriksi bronkus",asma| bronkitis akut dan kronis| penyakit paru obstruktif kronis| emfisema| bronkhodilator| bronkopasma
545,DKI1067508067B1,onbrez breezhaler,powder,indacaterol maleate,rumat bronkodilator mengatasi obstruksi jalan napa pasien dws ppok,bronkitis akut dan kronis| penyakit paru obstruktif kronis| dws
547,DKL0623409737A1,proast,sirup,salbutamol sulfate,"asma bronkial , bronkitis kronik , emfisema",asma| emfisema| bronkitis akut dan kronis
548,DKL8704404610A1,profilas,tablet,ketotifen fumarate,"profilaksis jangka asma bronkhial , terapi rinitis alergi konjungtivitis",asma| konjungtivitis| rhinitis alergi
549,DKL2005064837A1,proterol,sirup,procaterol hydrochloride hemihydrate,"untuk remisi dari berbagai gejala yang disebabkan oleh gangguan saluran pernapasan obstruktif pada penyakit berikut: asma bronkial, bronkitis kronis, emfisema paru, bronkitis akut, asthmatoid bronchitis.",asma| emfisema| bronkitis akut dan kronis
552,DKL7804407610B1,salbron,tablet,salbutamol sulfate,"bronkospasme jenis asma bronkial , bronkritis kronik , emfisema",asma| emfisema| bronkitis akut dan kronis| bronkopasma
554,DKL9004406337A1,salbron ekspektoran,sirup,salbutamol sulfate| guaifenesin,"asma bronkhial , bronkitis khronis , emfisema kondisi2 bronkhospastik",asma| emfisema| bronkitis akut dan kronis| bronkopasma
557,DKL1121602210B1,salbuven,tablet,salbutamol sulfate,"bronkospasme pada semua jenis asma bronkial, bronkritis kronik, dan emfisema.",asma| emfisema| bronkitis akut dan kronis| bronkopasma
559,DKI0252501667A1,spiriva,powder,tiotropium bromide,"terapi rumat ppok bronkitis kronis emfisema , dispnea , mencegah eksaserbasi",dispnea| emfisema| bronkitis akut dan kronis| eksaserbasi
560,DKL8514802010A2,terasma,tablet,terbutaline sulfate,asma bronkhial  bronkhospasme bersifa reversible kaitan bronkhitis enfisema,asma| bronkitis| emfisema| bersifa| bronkopasma
563,DKL9416106410A1,tismalin,tablet,terbutaline sulfate,bronkhospasme asma bronkhial bronkhitis khronik,asma| bronkitis akut dan kronis| bronkitis| bronkopasma| khronik
566,DKI9282000368A1,ventolin nebules,inhaler,salbutamol sulfate,penatalaksanaan pencegahan serangan asma  penatalaksanaan rutin bronkospasme kronis tidak responsif terapi konvensional asma berat akut status asmatikus,asma| bronkopasma| tidak responsif
567,DKL1832005939A1,ventolin inhaler cfc free,spray,salbutamol sulfate,"meredakan serangan atau pencegahan asma ringan, sedang atau berat",asma
573,DKI1151302568A1,pulmicort respules,inhaler,budesonide,asma bronkhial,asma
582,DKI1152502775A1,combivent udv,inhaler,ipratropium bromide| salbutamol sulfate,untuk mengendalikan reversibel bronkospasma yang disebabkan oleh penyakit jantung maupun asma akut,asma| bronkopasma| penyakit jantung
583,DKL1333528768A1,velutine plus,inhaler,salbutamol sulfate| ipratropium bromide monohydrate,untuk mengatasi penyempitan saluran napas (bronkospasme reversibel) yang berhubungan dengan penyakit paru obstruktif kronik (ppok) dan serangan asma akut.,asma| bronkitis akut dan kronis| penyempitan saluran napas| penyakit paru obstruktif kronis| bronkopasma
585,DKI1991500167B1,seretide diskus,powder,fluticasone propionate| salmeterol xinafoate,"untuk terapi rutin penyakit penyumbatan saluran nafas, termasuk asma, ppok termasuk bronkitis kronik & emfisema.",asma| emfisema| bronkitis akut dan kronis| penyumbatan saluran nafas
588,DKL1333529175A1,velutine,inhaler,salbutamol sulfate,"penatalaksanaan pencegahan serangan asma , penanganan rutin bronkospasme kronik tidak responsif terapi konvensional asma akut berat status asmatikus",asma| bronkopasma
590,DKI1191600568A2,seretide 50,inhaler,salmeterol xinafoate| fluticasone propionat,"untuk terapi rutin penyakit penyumbatan saluran nafas, termasuk asma",asma| penyumbatan saluran nafas
592,DKI0251302067A1,symbicort,powder,formoterol fumarate dihydrate| budesonide,terapi reguler untuk asma dimana kombinasi inhalasi kortikosteroid & agonis-beta2 'long acting' adalah sesuai,asma
593,DKI0252501439A1,berotec,spray,fenoterol hydrobromide,"episode asma akut, pencegahan asma yang timbul akibat aktivitas fisik, asma bronkhial & kondisi2 lain dimana terjadi penyempitan saluran pernafasan yang bersifat reversibel",asma
594,DKI1441700168A1,dipsamol,inhaler,salbutamol sulfate,"meredakan asma ringan, sedang, atau berat. penatalaksanaan dan pencegahan serangan asma.",asma
597,DKI1629600267A1,seretide diskus 100,powder,fluticasone propionat,"untuk terapi rutin penyakit penyumbatan saluran nafas, termasuk asma",asma| penyumbatan saluran nafas
598,DKI1629600267C1,seretide diskus 500,powder,fluticasone propionat,"untuk terapi rutin penyakit penyumbatan saluran nafas, termasuk asma",asma| penyumbatan saluran nafas
601,DKI0952502339A1,berodual,spray,fenoterol hydrobromide| ipratropium bromide,"pencegahan dan pengobatan gejala obstruksi saluran nafas khronik dengan bronkhospasme reversibel, seperti asma bronkhial dan terutama bronkhitis khronik dengan atau tanpa emfisema. terapi bersamaan dengan anti inflamasi harus dipertimbangkan pada pasien a",asma| bronkitis akut dan kronis| penyakit paru obstruktif kronis| emfisema| bronkopasma| anti inflamasi
606,DKI1851303467A1,bricasma turbuhaler,powder,terbutaline sulfate,"asma bronkhial , bronkhitis khronik emfisema , penyakit2 paru menimbulkan komplikasi bronkhospasme ,",asma| bronkitis akut dan kronis| penyakit paru obstruktif kronis| emfisema| bronkopasma
611,DKL1031530775A1,farbivent,inhaler,ipratropium bromide monohydrate,terapi bronkospasme berhubungan penyakit paru obstruktif kronik ppok pasien diterapi ipratropium bromida salbutamol,bronkitis akut dan kronis| penyakit paru obstruktif kronis| bronkopasma
612,DKI1026100375B1,flutias 125,inhaler,fluticasone propionate| salmeterol xinafoate,pengobatan penyakit obstruksi saluran napa reversible asma,asma| penyakit paru obstruktif kronis
614,DKI1460600568A1,innovair,inhaler,formoterol fumarate dihydrate| beclometasone dipropionate,terapi reguler untuk asma pada kondisi berikut ini: asma tidak dapat dikendalikan oleh inhalasi kortikosteroid dan bronkodilator kerja pendek atau penderita asma yang memiliki respon baik terhadap terapi dengan kortikosteroid & bronkodilator kerja panjang.,asma
615,DKI1052502475A1,spiriva respimat,inhaler,tiotropium bromide,"terapi pemeliharaan ppok bronkhitis khronis emfisema , gangguan terkait dispnea mencegah exaserbasi",dispnea| emfisema| bronkitis akut dan kronis
617,DKI2004900268A1,symbicort rapihaler,suspensi,budesonide| formoterol fumarate dihydrate,terapi reguler untuk asma dimana kombinasi inhalasi kortikosteroid & agonis-beta2 'long acting' adalah sesuai. terapi ppok berat dan riwayat exaserbasi berulang,asma
634,QD171715251,transpulmin baby,balsam,chamomile,"meredakan nyeri punggung, sakit kepala, sakit perut & memberi kehangatan pada pasien influenza.",sakit kepala| flu| sakit perut
637,QD171715261,transpulmin kids,balsam,camphor,"membantu meredakan hidung tersumbat krn influenza, nyeri dipunggung, sakit kepala, sakit perut dan menghangatkan badan.",sakit kepala| flu| nyeri punggung| sakit perut
639,QD151714141,copal chest rub,balsam,camphora,"masuk angin, flu, hidung tersumbat, sakit kepala, sakit perus, digigit serangga",masuk angin| sakit kepala| sakit perut| flu| gigitan serangga| hidung tersumbat
640,TR152788561,kinderen baby balsam,balsam,cammomila recutita (matrica) flower powder,"membantu menghangatkan tubuh membantu melegakan hidung tersumbat selesma , membantu meredakan perut kembung , membantu mengurangi gatal gigitan serangga",perut kembung| common cold| gigitan serangga
644,QD123711141,balsem telon tresno joyo,balsam,anethole,"mencegah dan mengobati masuk angin dan perut kembung pada bayi dan anak, juga dapat digunakan untuk ibu dan anak, juga dapat digunakan untuk ibu setelah melahirkan. mengatasi rasa gatal dan mencegah terjadinya iritasi serta keinginan untuk menggaruk. melegakan pernafasan karena hidung tersumbat, batuk, flu dan pilek. meringankan sakit kepala.",perut kembung| masuk angin| gatal| sakit kepala| flu| batuk| pilek| iritasi| hidung tersumbat
646,DTL1526111830A1,baby care,salep,dexpanthenol,"sebagai terapi tambahan pada bayi yang mengalami ruam popok, kulit kering, iritasi kulit karena sengatan matahari, inflamasi kulit dan tukak pada kulit.",tukak kulit| kulit kering| inflamasi kulit| iritasi sinar matahari| iritasi kulit| ruam popok
647,DTL9822225029A1,pasquam,krim,dexpanthenol,membantu menyembuhkan luka,luka
650,DTL0710708730A1,zolagel diapers,salep,miconazole nitrate| zinc oxide,pengobatan infeksi basah kering kulit bayi akibat kontak urin tinja ruam popok,ruam popok| infeksi kulit
654,TR142679841,minyak kayu putih cap lang,minyak,oleum cajuputi,"membantu meredakan masuk angin, perut kembung, rasa mual, pusing, sakit kepala, gatal-gatal karena gigitan serangga atau nyamuk",perut kembung| masuk angin| gatal| sakit kepala| mual| pusing| gigitan serangga
658,QD202634891,freshcare minyak angin kayu putih,roll,cajuput oil,"meringankan pusing-pusing, sakit kepala, perut kembung, masuk angin, mabuk perjalanan, gejala flu, pegal-pegal, dan gatal akibat gigitan seranggga.",perut kembung| masuk angin| mabuk perjalanan| sakit kepala| pusing| flu| pegal linu| gigitan serangga
662,TR152690421,konicare minyak kayu putih,minyak,oleum cajuputi,membantu menghangatkan badan dan membantu meredakan gejala masuk angin,masuk angin
666,TR093604841,minyak kayu putih cap ayam,minyak,oleum cajuputi,"membantu meringankan masuk angin, perut kembung, sakit kepala, pusing, gatal-gatal akibat gigitan serangga atau nyamuk, rasa mual",perut kembung| masuk angin| gatal| sakit kepala| mual| pusing| gigitan serangga
670,TR073670621,sidola minyak kayu putih,minyak,oleum cajuputi (cajuput oil),"membantu meredakan gatal-gatal akibat digigit serangga membantu meredakan gejala masuk angin seperti perut kembung, mual",perut kembung| masuk angin| gatal| mual| sakit perut
671,TR172604491,air mancur minyak telon plus lavender,minyak,oleum anisi,membantu memberikan rasa hangat pada tubuh bayi membantu menghindari gigitan nyamuk membantu meredakan perut kembung,perut kembung
672,QD192716961,balsem kayu putih balpirik,balsam,camphor,"balpirik membantu meredakan keseleo , encok , pegel linu nyeri otot , mengatasi pusing , mabuk perjalanan , pilek , gatal gigitan serangga masuk angin",masuk angin| gatal| mabuk perjalanan| pusing| pegal linu| encok| balpirik| keseleo| gigitan serangga| pilek| nyeri otot
