standardized_disease;fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf;list_of_diseases;corrected_list_of_diseases
batuk pilek;batukpilek;[];[]
batuk pilek;batuk berhubungan pilek;[];[]
batuk pilek;batuk berhubungan flu gangguan pernapasan;[];[]
batuk pilek;batuk/pilek;[];[]
batuk pilek;batuk menyertai pilek alergi;[];[]
batuk rejan;batuk rejanpertusis;[];[]
batuk rejan;batuk rejan;[];[]
batuk tidak berdahak;tidak berdahak;[];[]
batuk tidak berdahak;batuk tidak berdahak;[];[]
bau badan;bau badan;[];[]
bau mulut;bau mulut sedap;[];[]
bau mulut;bau mulut;[];[]
bengkak;bengak;[];[]
bengkak;bengkak atau memar;[];[]
bengkak;bengkak;[];[]
bengkak;bengkak akibat terpukul;[];[]
bengkak;bengkak memar;[];[]
benjolan payudara;benjolan payudara;[];[]
benjolan payudara;benjolan benjolan payudara;[];[]
berat badan berlebih;berat badan berlebih;[];[]
berat badan berlebih;kelebihan berat badan;[];[]
bersin;bersin disertai batuk;[];[]
bersin;bersin hidung tersumbat flu;[];[]
bersin;bersin bersin disertai batuk;[];[]
bersin;bersinbersin;[];[]
bersin;bersinbersin yang disertai batuk;[];[]
bersin;bersin bersin;[];[]
bersin;pilek bersinbersin;[];[]
bersin;bersin;[];[]
bersin;pilek bersin;[];[]
bersin;bersin dan hidung tersumbat karena flu;[];[]
bersin;bersinbersin disertai batuk;[];[]
bersin;bersin bersin yang disertai batuk;[];[]
biang keringat;biang keringat;[];[]
biang keringat;gatal akibat keringat;[];[]
biang keringat;biang keringet;[];[]
biang keringat;biang keringat alergi;[];[]
bibir kering;bibir pecah pecah;[];[]
bibir kering;bibir pecahpecah;[];[]
bibir kering;bibir pecah pcah;[];[]
bibir kering;kulit pecah pecah sudut mulut;[];[]
bibir kering;bibir kering;[];[]
biduran;gangguan alergi urtikaria biduran kaligata kronis;[];[]
biduran;kaligata;[];[]
biduran;biduran;[];[]
biduran;gatalgatal biduran;[];[]
biduran;biduran kaligata kronis;[];[]
biduran;urtikaria biduran;[];[]
bisul;bisul gatal;[];[]
bisul;bisul bernanah;[];[]
bisul;bisul;[];[]
blastomikosis;blastomikosis;[];[]
blefaritis;blefaritis alergi radang kelopak mata akibat alergi;[];[]
blefaritis;blefaritis nonpurulen;[];[]
blefaritis;blepharitis;[];[]
blefaritis;blefaritis;[];[]
blefaritis;blefaritis non purulen;[];[]
blefarokonjungtivitis;blefarokonjungtivitis;[];[]
blefarokonjungtivitis;blefarokonjungtivitis keratokonjungtivitis;[];[]
bph (benign prostatic hyperplasia);benign prostatic hyperplasia;[];['hiperplasia prostat jinak']
bph (benign prostatic hyperplasia);bph;[];[]
bph (benign prostatic hyperplasia);bph (benign prostatic hyperplasia);[];[]
bromokriptin;bromokriptin;[];[]
bronkiektasis;bronkhiektasis;[];[]
bronkiektasis;bronkiektasis;[];[]
bronkiektasis;bronkiektasi;[];[]
bronkiolitis;bronkiolitis;[];[]
bronkiolitis;bronchiolitis;[];[]
bronkitis;bronkitis alergi;[];[]
bronkitis;bronkitis;[];[]
bronkitis;bronkhitis;[];[]
bronkitis;kaitan bronkhitis;[];[]
bronkitis;bronchitis;[];[]
bronkitis akut dan kronis;exaserbasi;[];[]
bronkitis akut dan kronis;bronkhitis akut berulang;[];[]
bronkitis akut dan kronis;bronkhitis kronis eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;exaserbasi akut bronkhitis khronik;[];[]
bronkitis akut dan kronis;eksaserbasi bakteri akut bronkitis kronis;[];[]
bronkitis akut dan kronis;bronkhitis pneumonia;[];[]
bronkitis akut dan kronis;bronkhitis khronik emfisema;[];[]
bronkitis akut dan kronis;bronkhitis kronis serta eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;bronkhitis akut  khronis;[];[]
bronkitis akut dan kronis;bronkitis akut atau kronik;[];[]
bronkitis akut dan kronis;bronkhitis khronis;[];[]
bronkitis akut dan kronis;eksaserbasi bakterial akut bronkitis kronik;[];[]
bronkitis akut dan kronis;eksaserbasi bronkitis kronis;[];[]
bronkitis akut dan kronis;bronkhitis akut kronis;[];[]
bronkitis akut dan kronis;exaserbasi bronkhitis khronik;[];[]
bronkitis akut dan kronis;infeksi traktus respiratorius bronkhitis akut sinusitis akut;[];[]
bronkitis akut dan kronis;eksaserbasi akut bronkitis kronik;[];[]
bronkitis akut dan kronis;infeksi akut bronkitis kronis;[];[]
bronkitis akut dan kronis;eksaserbasi bronkhitis kronis;[];[]
bronkitis akut dan kronis;eksaserbasi bakteri akut bronkitis kronik;[];[]
bronkitis akut dan kronis;bronkritis kronik;[];[]
bronkitis akut dan kronis;bronkhitis asmatik;[];[]
bronkitis akut dan kronis;bronkhitis kronis serta eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;bronkhitis akut dan kronik;[];[]
bronkitis akut dan kronis;bronkhitis akut;[];[]
bronkitis akut dan kronis;eksesarbasi bronkitis kronis;[];[]
bronkitis akut dan kronis;akut bronkhitis;[];[]
bronkitis akut dan kronis;bronkitis kronik eksaserbasi akut;[];[]
bronkitis akut dan kronis;eksaserbasi dari bronkhitis kronis;[];[]
bronkitis akut dan kronis;ppok;[];[]
bronkitis akut dan kronis;bronkhitis kronis eksaserbasi akut;[];[]
bronkitis akut dan kronis;bronkitis menahun;[];[]
bronkitis akut dan kronis;bronkitis kronis;[];[]
bronkitis akut dan kronis;bronkitis kronis eksaserbasi akut;[];[]
bronkitis akut dan kronis;bronkhitis akut dan kronis;[];[]
bronkitis akut dan kronis;bronkitis akut kronik;[];[]
bronkitis akut dan kronis;bronchitis akut kronik;[];[]
bronkitis akut dan kronis;bronchitis akut dan kronik;[];[]
bronkitis akut dan kronis;bronkitis asmatikus;[];[]
bronkitis akut dan kronis;bronkitis asmatis;[];[]
bronkitis akut dan kronis;eksaserbasi akut bronkitis kronis;[];[]
bronkitis akut dan kronis;bronkhitis akut dan kronis serta eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;bronkhitis akut khronis;[];[]
bronkitis akut dan kronis;eksaserbasi bronkhitis khronik;[];[]
bronkitis akut dan kronis;eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;bronkhitis akut kronis serta eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;bronkhitis khronis exaserbasi akut;[];[]
bronkitis akut dan kronis;bronkhitis kronik;[];[]
bronkitis akut dan kronis;bronkhitis kronis;[];[]
bronkitis akut dan kronis;bronkitis asmatik;[];[]
bronkitis akut dan kronis;bronkhitis kronis dan eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;eksaserbasi kronis akut;[];[]
bronkitis akut dan kronis;bronkhitis kronis dan eksaserbasi akut;[];[]
bronkitis akut dan kronis;bronkitis kronik;[];[]
bronkitis akut dan kronis;ppok bronkhitis khronis;[];[]
bronkitis akut dan kronis;bronkitis akut;[];[]
bronkitis akut dan kronis;bronkhitis khronik;[];[]
bronkitis akut dan kronis;eksaserbasi akut dari bronkitis kronik;[];[]
bronkitis akut dan kronis;bronkitis purulen;[];[]
bronkitis akut dan kronis;eksaserbasi akut dr bronkitis kronik;[];[]
bronkitis akut dan kronis;bronkitis khronis;[];[]
bronkitis akut dan kronis;bronkitis akut dan kronik;[];[]
bronkitis akut dan kronis;bronkhitis akut kronik;[];[]
bronkitis pneumonia;bronkitis pneumonia;[];[]
bronkopasma;bronkospasme pada semua jenis asma bronkial;[];[]
bronkopasma;kondisi2 bronkhospastik;[];[]
bronkopasma;bronkospasme jenis asma bronkial;[];[]
bronkopasma;bronkospasme;[];[]
bronkopasma;bronkospasme akut;[];[]
bronkopasma;bronkospasme reversibel;[];[]
bronkopasma;penyakit2 paru menimbulkan komplikasi bronkhospasme;[];[]
bronkopasma;bronkospasme kronis;[];[]
bronkopasma;bronkospasme bronkitis kronik;[];[]
bronkopasma;bronkospasme semua jenis asma bronkial;[];[]
bronkopasma;bronkospasme kronik;[];[]
bronkopasma;bronkhospasme;[];[]
bronkopasma;bronkhospastik lain;[];[]
bronkopasma;bronkospasma;[];[]
bronkopasma;bronkhospastik;[];[]
bronkopasma;bronkhospasme reversibel;[];[]
bronkopneumonia;bronkopneumonia;[];[]
bronkopulmonal;bronkopulmonal;[];[]
brucellosis;brucellosis;[];[]
brucellosis;bruselosis;[];[]
bursitis;bursitis;[];[]
cacar air;cacar air;[];[]
cacing cambuk;cacing cambuk;[];[]
cacing gelang ascaris lumbricoides;cacing gelang ascaris lumbricoides;[];[]
cacing gelang ascaris lumbricoides;cacing gelang;[];[]
cacing kremi;cacing;[];[]
cacing kremi;enterobius vermicularis;[];[]
cacing kremi;kremi;[];[]
cacing kremi;cacingan;[];[]
cacing kremi;infeksi cacing kremi enterobius vermicularis;[];[]
cacing kremi;cacing kremi;[];[]
cacing kremi;infeksi cacing kremi cacing gelang cacing tambang cacing cambuk infeksi cacing campuran tersebut;[];[]
cacing kremi;kecacingan;[];[]
cacing kremi;infeksi cacing campuran;[];[]
cacing tambang;cacing tambang;['cacing tambang ancylostoma duodenale', 'cacing tambang necator americanus'];['cacing tambang ancylostoma duodenale', 'cacing tambang necator americanus']
campak;campak;[];[]
candidiasis;kandida;[];[]
candidiasis;kandidiasis saluran cerna;[];[]
candidiasis;infeksi kandida sistemik;[];[]
candidiasis;infeksi kandida kriptokokal sistemik;[];[]
candidiasis;kandidiasis sistemik;[];[]
candidiasis;infeksi kandida kriptokokal;[];[]
candidiasis;kandidiasis diseminata;[];[]
candidiasis;kandidiasis kutaneus moniliasis;[];[]
candidiasis;candida candidiasis;[];[]
candidiasis;kandidiasis;[];[]
candidiasis;kandiasis;[];[]
candidiasis;kandida jamur bakteri gram positif;[];[]
candidiasis;kandidiasis vulvovag;[];[]
candidiasis;gastrointestinal kandidosis sistemik;[];[]
candidiasis;kandidemia;[];[]
candidiasis;kandidiasis esofageal;[];[]
candidiasis;kandidiasis kutaneus;[];[]
candidiasis;kandidosis;[];[]
candidiasis;kandiasis di organ genital;[];[]
candidiasis;candidiasis;[];[]
candidiasis;kandda vagina;[];[]
candidiasis;infeksi kandida invasif;[];[]
candidiasis;kandidiasis gastrointestinal;[];[]
candidiasis;kandidiasis sistemik serius;[];[]
candidiasis;infeksi kandida sistemik serius;[];[]
candidiasis;kandiasis organ genital;[];[]
candidiasis;kandidemia infeksi kandida sistemik;[];[]
candidiasis;kandidiasis vulvovagina;[];[]
candidiasis;kandidiasis sistemik yang serius;[];[]
candidiasis;kandidiasis subkutan;[];[]
candidiasis;intertrigo kandida;[];[]
candidiasis;kandidiasi genetikal teritama;[];[]
candidiasis;kandidiasis esofaringeal;[];[]
candidiasis;kandidosis vulvovaginal;[];[]
candidiasis;orofaringeal infeksi kandida sistemik serius;[];[]
candidiasis;kandidiasi genetikal;[];[]
candidiasis;kandidiasis invasif;[];[]
candidiasis;infeksi kandida subkutan invasif;[];[]
candidiasis;moniliasis;[];[]
candidiasis;infeksi mikosis sistemik kandidiasis;[];[]
cedera;cedera;[];[]
cedera olahraga;cedera karena olahraga dan kecelakaan;[];[]
cedera olahraga;cedera olahraga kecelakaan;[];[]
cedera olahraga;cedera berolahraga kecelakaan;[];[]
cedera olahraga;cedera karena olahraga;[];[]
cedera olahraga;cedera jaringan lunak;[];[]
cedera olahraga;cedera olahraga;[];[]
cerebral palsy;gangguan serebral;[];[]
cerebral palsy;cerebral palsy;[];[]
cerebral palsy;cerbral palsy;[];[]
cerebral palsy;kelumpuhan cerebral;[];[]
chlamydia;chlamydia trachomatis;[];[]
chlamydia;chlamydia;[];[]
chlamydia;trachomatis;[];[]
cocidioidomycosis;coci dioidomycosis;[];[]
cocidioidomycosis;cocci dioidomycosis;[];[]
covid-19;covid 19;[];[]
covid-19;covid-19;[];[]
covid-19;covid19;[];[]
cystitis;cystitis;[];[]
dakriosistitis;dakriosistitis;[];[]
deep vein thrombosis;deep vein thrombosis;[];[]
defisiensi asam folat;defisiensi asam folat;[];[]
defisiensi asam folat;defisensi asam folat;[];[]
defisiensi estrogen;defisiensi estrogen;[];[]
defisiensi natrium hipovolemik;defisiensi natrium hipovolemik;[];[]
defisiensi progesteron;defisiensi progesteron;[];[]
defisiensi tiamin;kekurangan thiamin mononitrate;[];[]
defisiensi tiamin;defisiensi tiamin;[];[]
defisiensi vitamin b;defisiensi vitamin b;[];[]
defisiensi vitamin b;kekurangan vitamin c b kompleks;[];[]
defisiensi vitamin b;kekurangan vitamin b;[];[]
defisiensi vitamin b;defisiensi folic acid;[];[]
defisiensi vitamin b1;defisiensi vit  b1;[];[]
defisiensi vitamin b1;kekurangan vitamin b1;[];[]
defisiensi vitamin b1;defisiensi vitamin b1;[];[]
defisiensi vitamin b1;defisiensi vit b1;[];[]
defisiensi vitamin b12;defisiensi vitamin b12;[];[]
defisiensi vitamin b12;kekurangan vitamin b12;[];[]
defisiensi vitamin b12;defisiensi vit b12;[];[]
defisiensi vitamin b6;defisiensi vitamin b6;[];[]
defisiensi vitamin b6;kekurangan vitamin b6;[];[]
defisiensi vitamin b6;defisiensi vit b6;[];[]
defisiensi vitamin d;kekurangan vitamin d kadar serum 25ohd 30 ngml;[];[]
defisiensi vitamin d;pasien dengan kekurangan vitamin d;[];[]
defisiensi vitamin d;kekurangan vitamin d;[];[]
defisiensi vitamin e;defisiensi vitamin e;[];[]
defisiensi vitamin neurotropik;defisiensi vitamin neurotropik;[];[]
defisiensi zinc;defisiensi zinc;[];[]
dehidrasi;dehidrasi ringan;[];[]
dehidrasi;dehidrasi;[];[]
dehidrasi;dehidrasi sedang;[];[]
dehidrasi;dehidrasisedang;[];[]
demam;dmam;[];[]
demam;demam flu;[];[]
demam;demam q;[];[]
demam;demam imunisasi;[];[]
demam;demam pasca imunisasi;[];[]
demam;demam sesudah vaksinasi;[];[]
demam;panas demam;[];[]
demam;demam paska vaksinasi;[];[]
demam;demam enterik infeksi pencernaan;[];[]
demam;sakit demam;[];[]
demam;demam vaksinasi;[];[]
demam;demam;[];[]
demam;demam setelah imunisasi;[];[]
demam;nyeri demam;[];[]
demam;demam menyertai flu;[];[]
demam;demam pasca vaksinasi;[];[]
demam;menurunkan demam;[];[]
demam;demam sesudah imunisasi;[];[]
demam;demam akibat pilek;[];[]
demam;demam forte;[];[]
demam;demam menyertai flu paska vaksinasi;[];[]
demam;demam enterik;[];[]
demam berdarah;demam berdarah;[];[]
demam pada anak;demam anak dewasa;[];[]
demam pada anak;menurunkan demam anak;[];[]
demam pada anak;demam pada anak;[];[]
demam pada anak;demam anakanak;[];[]
demam pada anak;demam anak anak;[];[]
demam pada anak;demam anak;[];[]
demam paratifoid;paratifoid;[];[]
demam paratifoid;demam paratifoid;[];[]
demam scarlet;demam scarlet;[];[]
demam tifoid;demam tifoid;[];[]
dermatitis;eksim dermatitis;[];[]
dermatitis;dermatitis terinfeksi bisul;[];[]
dermatitis;dermatitis ekzematous;[];[]
dermatitis;dermatitis komplikasi infeksi bakterial;[];[]
dermatitis;dermatitis eksfoliatif;[];[]
dermatitis;dermatofitosis;[];[]
dermatitis;dermatitis disertai infeksi;[];[]
dermatitis;dermatitis terinfeksi;[];[]
dermatitis;exfoliative dermatitis;[];[]
dermatitis;dermatitis ekzematoid terinfeksi;[];[]
dermatitis;pruritik dermatitis;[];[]
dermatitis;dermatitis;[];[]
dermatitis;dermatitis lainnya;[];[]
