standardized_disease;fuzzy_tfidf_fuzzy;list_of_diseases
infeksi staphylococcus;staphylococcus aureus;['staphylococcus aureus', 'staphyloccocus aureus', 'staphylococcusa aureus']
infeksi staphylococcus;staphylococcus;['staphylococcus', 'staphylococci']
infeksi streptococcus;streptococcus;['streptococcus', 'streptococci', 'streptococus']
infeksi tulang;infeksi tulang;['infeksi tulang', 'inteksi tulang']
infeksi vagina;infeksi vagina campuran;['infeksi vagina campuran', 'infeksi cacing campuran']
iritasi;iritasi ringan;['iritasi ringan', 'iriasi ringan']
kelainan muskuloskeletal akut;kelainan muskuloskeletal akut;['kelainan muskuloskeletal akut', 'terapi muskuloskeletal akut']
kolik kandung kemih;kolik;['kolik', 'kholik']
koma;pre koma hepatik;['pre koma hepatik', 'prekoma hepatik']
mual;mual akut;['mual akut', 'maul akut']
nyeri;nyeri sakit;['nyeri sakit', 'sakitnyeri', 'nyeri kaki', 'nyeri akut']
nyeri muskuloskeletal;nyeri muskuloskeletal lain;['nyeri muskuloskeletal lain', 'nyeri muskuloskeletal']
nyeri pasca operasi;nyeri sehabis operasi;['nyeri sehabis operasi', 'nyeri perut sehabis operasi']
nyeri pasca trauma;nyeri trauma;['nyeri trauma', 'nyeri traumatik']
onkomikosis;onkomikosis;['onkomikosis', 'onikomikosis']
osteopetrosis;osteopetrosis;['osteopetrosis', 'osteoporosis']
panu;tinea versicolor panu;['tinea versicolor panu', 'tinea versicolor']
penyakit jantung koroner;penyakit koroner kronik;['penyakit koroner kronik', 'penyakit2 koroner khronik']
penyakit kulit;penyakit kkulit;['penyakit kkulit', 'penyakit2 kulit']
periartritis;periartritis;['periartritis', 'periarthritis', 'eritritis']
perut kembung;perut kembung masuk angin;['perut kembung masuk angin', 'kembung masuk angin']
pneumonia;s.pneumoniae;['s.pneumoniae', 'spneumoniae']
pruritus;urtikaria khronik idiopathik;['urtikaria khronik idiopathik', 'urtikaria idiopatik kronik', 'urtikaria idiopatik kronis', 'urtikaria idiopatik khronik']
psitakosis;psittacosis;['psittacosis', 'pittacosis']
radang mulut;radang selaput lendir mulut;['radang selaput lendir mulut', 'radang selaput lendir']
rakitis;rickets;['rickets', 'ricketsia']
rheumatoid arthritis;reumatoid atritis;['reumatoid atritis', 'rheumatoid arhritis']
rheumatoid arthritis;rematoid artritis;['rematoid artritis', 'rematoid astritis ar']
rheumatoid arthritis;rematik artritis;['rematik artritis', 'rematoid artitis']
rhinitis;rhinitis vasomotor;['rhinitis vasomotor', 'rinitis vasomotor', 'rinitis vasomotorik']
rhinitis;perennial rhinitis;['perennial rhinitis', 'rinitis parenial']
rhinitis alergi;rhinitis alergi;['rhinitis alergi', 'rinitis alergik']
sakit gigi;sakit gigi;['sakit gigi', 'sakil gigi']
sakit kepala;skit kepala;['skit kepala', 'sakit kepalan']
sindrom raynaud;fenomena raynaud;['fenomena raynaud', 'fenomena reynaud']
sindrom zollinger-ellison;sindrom zollinger;['sindrom zollinger', 'sindroma zollinger', 'sindrom zollinge']
spondilartritis;spondilartritis;['spondilartritis', 'spondiloartritis']
tbc (tuberkulosis);mycobacterium tuberculosis;['mycobacterium tuberculosis', 'mycobacterium tuberculosa']
tinea cruris;tinea kuris;['tinea kuris', 'tinea krusis']
tukak lambung;tukak lambung;['tukak lambung', 'tuka lambung']
tukak lambung;ulkus peptik;['ulkus peptik', 'ulkus peptikum']
ulkus duodenum;tukak usus;['tukak usus', 'tukak ulkus']
ulkus duodenum;tukak usus halus;['tukak usus halus', 'tukakulkus usus halus']
ulkus duodenum;ulkus tukak usus halus aktif;['ulkus tukak usus halus aktif', 'tukak ulkus peptik usus halus']
urtikaria;urtikaria;['urtikaria', 'urticaria', 'urilkaria']
urtikaria;cold urtikaria;['cold urtikaria', 'cold urticaria']
wasir (ambeien);hemoroid eksterna;['hemoroid eksterna', 'hemoroid eksternal']
