standardized_disease;fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf_fuzzy_tfidf;list_of_diseases;corrected_list_of_diseases
alergi dermatologi;kondisi2 pruritik alergi kulit mukosa;['kondisi2 pruritik'];['kondisi2 pruritik']
alergi dermatologi;gangguan kulit alergi;[];[]
alergi dermatologi;penyakit penyakit dermatologis alergik;[];[]
alergi dermatologi;penyakit dermatologis alergi;[];[]
alergi dermatologi;penyakit kulit akibat reaksi alergi;[];[]
alergi dermatologi;alergi dermatologi;[];[]
alergi dermatologi;gangguan alergi kulit;[];[]
alergi dermatologi;reaksi alergi kulit;[];[]
alergi dermatologi;penyakit dermatologis alergi lainnya;[];[]
alergi dingin;alergi dingin;[];[]
alergi dingin;urtikaria dingin;[];[]
alergi dingin;badan dingin;[];[]
alergi makanan;alergi makanan;[];[]
alergi mata;alergi mata;[];[]
alergi mata;alergi kulit mata;[];[]
alergi mata;alergi kelopak mata;[];[]
alergi obat;reaksi alergi obatobatan;[];[]
alergi obat;reaksi obat;['reaksi terhadap obat'];['reaksi terhadap obat']
alergi obat;alergi obat;[];[]
alergi saluran pernapasan;alergi saluran pernapasan;[];[]
alergi saluran pernapasan;alergi pernapasan hidung;[];[]
alopesia androgenetika;alopesia androgenetika;[];[]
alopesia androgenetika;kebotakan androgenetika;[];[]
alopesia androgenetika;kebotakan androgenetika androgenetica alopecia;[];[]
alopesia androgenetika;androgenetica alopecia;[];[]
ambeien;ambeien;[];[]
amebiasis;amubiasis intestinal akut;[];[]
amebiasis;amubiasis;[];[]
amebiasis;amoebiasis intestinal hepar;[];[]
amebiasis;amubiasis intra intestinal;[];[]
amebiasis;amebiasis;[];[]
amebiasis;intestinal amoebiasis;[];[]
amebiasis;amoebiasis intestinal;[];[]
amebiasis;hepatic amoebiasis;[];[]
amebiasis;amubiasis ekstra intestinal;[];[]
amebiasis;amoebiasis;[];[]
amebiasis;amubiasis intestinal;[];[]
amenore;amenore;[];[]
amenore;amenorrhea;[];[]
amenore;amenore sekunder;[];[]
amenore;amenore primer;[];[]
amenore;amenore galaktorea;[];[]
amenore;amenore primer sekunder;[];[]
amenore;amenore primer dan sekunder;[];[]
amenore;amenore psikogenik;[];[]
amenore;amenorre;[];[]
anemia;anemia;[];[]
anemia akibat pendarahan;anemia akibat pendarahan;[];[]
anemia akibat pendarahan;pendarahan hidung;[];[]
anemia akibat pendarahan;pendarahan;[];[]
anemia defisiensi besi;defisiensi zat besi;[];[]
anemia defisiensi besi;anemia kekurangan zat besi;[];[]
anemia defisiensi besi;defisiensi zat besi gejala;[];[]
anemia defisiensi besi;anemia defisiensi zat besi;[];[]
anemia defisiensi besi;defisiensi zat besi asam folat;[];[]
anemia defisiensi besi;defisiensi zat besi dan asam folat;[];[]
anemia defisiensi besi;defisiensi zat besi pencegahan;[];[]
anemia megaloblastik;anemia megaloblastik;[];[]
anemia megaloblastik;anemia makrositik;[];[]
anemia megaloblastik;anemia megaloblastik disertai kekurangan vitamin c dan b kompleks terutama pada kehamilan;[];[]
anemia megaloblastik;anemia megaloblastik disertai kekurangan vitamin c b kompleks terutama kehamilan;[];[]
anemia megaloblastik;anemia megaloblastik dan makrositik;[];[]
anemia megaloblastik;anemia megaloblastik makrositik;[];[]
anemia pada kehamilan dan menyusui;anemia kehamilan menyusui;[];[]
anemia pada kehamilan dan menyusui;anemia pada kehamilan dan menyusui;[];[]
anemia pernisiosa;anemia pernisiosa;[];[]
anemia pernisiosa;pernisiosa;[];[]
aneurisma otak;aneurisma;[];[]
angina;angina;[];[]
angina pectoris;pektoris;[];[]
angina pectoris;pektosis;[];[]
angina pectoris;angina pectoris;[];[]
angina pectoris;angina pektoris;[];[]
angina prinzmetal;angina prinzmetal;[];[]
angina prinzmetal;prinzmetal;[];[]
angina prinzmetal;angina prinzmetal, angina varian;[];[]
angina prinzmetal;angina varian;[];[]
angina stabil;angina stabil;[];[]
angina stabil;angina stabil kronis;[];[]
angina tidak stabil;angina tidak stabil;[];[]
angina vincent;angina vincent;[];[]
angina vincent;infeksi vincent;[];[]
angioedema;angioedema;[];[]
angioedema;angioderma;[];[]
angioedema;urtikaria angioedema;[];[]
ankylosing spondylitis;ankylosing spondylititis;[];[]
ankylosing spondylitis;ankilosing spondilitis;[];[]
ankylosing spondylitis;spondilitis;[];[]
ankylosing spondylitis;aankilosing spondilitis;[];[]
ankylosing spondylitis;oa ra ankilosing spondilitis;[];[]
ankylosing spondylitis;ra ankilosing spondilitis;[];[]
ankylosing spondylitis;ankilosa spondilitis;[];[]
ankylosing spondylitis;ankylosing spondilitis;[];[]
ankylosing spondylitis;spondilitis ankilosing;[];[]
ankylosing spondylitis;spondilitis ankilosa;[];[]
ankylosing spondylitis;ankylosing spondylitis;[];[]
ankylosing spondylitis;spondilitas ankilosa;[];[]
anoreksia nervosa;membantu memperbaiki nafsu makan;[];[]
anoreksia nervosa;anoreksia;[];[]
anoreksia nervosa;anoreksia kehilangan nafsu makan;[];[]
anoreksia nervosa;anorexia;[];[]
anoreksia nervosa;hilang nafsu makan anoreksia;[];[]
anoreksia nervosa;nafsu makan;[];[]
anoreksia nervosa;nafsu makan anak;[];[]
anovulasi;anovulasi;[];[]
ansietas;ansietas;[];[]
aritmia;gangguan ritme irama berhubungan;[];[]
aritmia;aritmia;[];[]
aritmia;disritmia jantung;[];[]
aritmia;disritmia kordis;[];[]
aritmia;aritmia ventrikel supraventrikel;[];[]
aritmia;gangguan ritme irama atrium;[];[]
aritmia;aritmia jantung;[];[]
arteriosklerosis;arteriosklerosis;[];[]
arthritis;artritis idiopatik juvenil;[];[]
arthritis;arthitis;[];[]
arthritis;arthisis;[];[]
arthritis;artritis akut;[];[]
arthritis;arthritis;[];[]
arthritis;atritis akut kronis;[];[]
arthritis;nyeri arthritis ringan;[];[]
arthritis;artritis;[];[]
arthritis gout;gout artritis akut;[];[]
arthritis gout;gout akut;[];[]
arthritis gout;serangan gout akut;[];[]
arthritis gout;artritis gout akut;[];[]
arthritis gout;arthritis gout akut;[];[]
arthritis gout;gout;[];[]
arthritis gout;serangan akut gout;[];[]
asam urat;urat kaku;[];[]
asam urat;kelebihan asam urat;[];[]
asam urat;asam urat;[];[]
asam urat;produksi asam urat berlebihan;[];[]
asam urat;asam urat akut;[];[]
ascariasis;askariasis;[];[]
ascariasis;ascariasis;[];[]
ascariasis;ascaris lumbricoides;[];[]
asites;asites;[];[]
asma;asma sedang;[];[]
asma;asma berat akut;[];[]
asma;dispnea akibat asma bronkhial;[];[]
asma;status asmatikus;[];[]
asma;asma ringan;[];[]
asma;asthma;[];[]
asma;asma bronkhial khronik;[];[]
asma;serangan asma akut;[];[]
asma;asma akut;[];[]
asma;asma bronkial kronik;[];[]
asma;asma berat;[];[]
asma;asmatik asma bronkial;[];[]
asma;asma bronkial;[];[]
asma;asma akut berat;[];[]
asma;asma dermatitis;[];[]
asma;asma bronkhial;[];[]
asma;asthma bronkial;[];[]
asma;asma;[];[]
asma;bronkial asma;[];[]
asma;asthmatoid bronchitis;[];[]
asma;astma;[];[]
asma;asma kronis;[];[]
asma;obstruksi saluran nafas asma bronkhial;[];[]
asma;asmatikus;[];[]
aspergillosis;aspergilosis;[];[]
aspergillosis;aspergillosis;[];[]
asthenia;astenia;[];[]
aterosklerosis;aterosklerosis vaskular;[];[]
aterosklerosis;artherosklerosis;[];[]
aterosklerosis;aterosklerosis;[];[]
atoni;atoni;[];[]
atrial fibrilasi;atrial fibrilasi;[];[]
atrial fibrilasi;fibrilasi atrium paroxismal;[];[]
atrial fibrilasi;fibrilasi flutter atrium paroksismal;[];[]
atrial fibrilasi;fibrilasi atrium;[];[]
atrial flutter;atrial flutter;[];[]
bakteremia;bakteremia;[];[]
batu empedu;empedu;[];[]
batu empedu;batu empedu;[];[]
batu ginjal;batu ginjal;[];[]
batu ginjal;batu oksalat;[];[]
batu ginjal;batu oksalat ginjal saluran kemih;[];[]
batu kandung kemih;batu urin saluran kemih;[];[]
batu kandung kemih;batu kandung kemih;[];[]
batu kandung kemih;gejala kandung kemih aktif;[];[]
batu kandung kemih;kandung kemih aktif;[];[]
batu kandung kemih;batu urin;[];[]
batuk;batuk bronchitis;[];[]
batuk;batuk karena bronchitis;[];[]
batuk;batuk panas;[];[]
batuk;batuk karena alergi;[];[]
batuk;batuk disebabkan oleh alergi;[];[]
batuk;batuk produktifberdahak nonproduktifkering;[];[]
batuk;gejala batuk;[];[]
batuk;batuk menahun;[];[]
batuk;batuk akibat alergi;[];[]
batuk;batuk produktifberdahak  nonproduktifkering;[];[]
batuk;batuk sesak;[];[]
batuk;meredakan batuk;[];[]
batuk;batuk rangsangan selaput pernafasan;[];[]
batuk;batuk alergi;[];[]
batuk;batuk tenggorokan;[];[]
batuk;batuk disebabkan alergi;[];[]
batuk;batuk gatal;[];[]
batuk;batuk disertai peradangan saluran pernafasan bagian atas;[];[]
batuk;batuk;[];[]
batuk;batuk yang disebabkan oleh alergi;[];[]
batuk;batuk yang disertai peradangan saluran pernafasan bagian atas;[];[]
batuk;batuk karena emphysema;[];[]
batuk;batuk akut kronik;[];[]
batuk berdahak;mukolitik;[];[]
batuk berdahak;dahak;[];[]
batuk berdahak;batuk produktifberdahak;[];[]
batuk berdahak;batuk berdahak;[];[]
batuk berdahak;ekspektoran gangguan batuk berdahak;[];[]
batuk berdahak;ekspektoran batuk berdahak;[];[]
batuk berdahak;batuk berdahak karena alergi;[];[]
batuk berdahak;gangguan batuk berdahak;[];[]
batuk berdahak;susah mengeluarkan dahak;[];[]
batuk berdahak;batuk mukolitik;[];[]
batuk berdahak;batuk ikke berdahak;[];[]
batuk berdahak;batuk berdahak alergi;[];[]
batuk berdahak;dahak kental;[];[]
batuk berdahak;batuk produktif berdahak;[];[]
batuk berdahak;batuk produktif;[];[]
batuk berdahak;batuk berdahak disertai alergi;[];[]
batuk berdahak;ekspektoran;[];[]
batuk berdahak;dahak mukus;[];[]
batuk berdahak;batuk dahak kental;[];[]
batuk kering;batuk nonproduktifkering;[];[]
batuk kering;batuk kering;[];[]
batuk kering;batuk nonproduktiftidak berdahak;[];[]
batuk kering;batuk nonproduktif;[];[]
batuk kering;batuk non produktif;[];[]
batuk kering;batuk yang tidak berdahak disertai bersinbersin atau alergi;[];[]
batuk kering;batuk tidak berdahak disertai bersinbersin alergi;[];[]
batuk kering;gejala batuk tidak berdahak;[];[]
batuk kronis;batuk kronis;[];[]
batuk kronis;batuk kronis akut;[];[]
batuk pilek;batuk menyertai pilek alergi;[];[]
batuk pilek;batuk/pilek;[];[]
batuk pilek;batuk berhubungan flu gangguan pernapasan;[];[]
batuk pilek;batuk pilek;[];[]
batuk pilek;batukpilek;[];[]
batuk pilek;batuk berhubungan pilek;[];[]
batuk rejan;batuk rejanpertusis;[];[]
batuk rejan;batuk rejan;[];[]
batuk tidak berdahak;tidak berdahak;[];[]
batuk tidak berdahak;batuk tidak berdahak;[];[]
bau badan;bau badan;[];[]
bau mulut;bau mulut sedap;[];[]
bau mulut;bau mulut;[];[]
bengkak;bengkak atau memar;[];[]
bengkak;bengkak memar;[];[]
bengkak;bengkak;[];[]
bengkak;bengak;[];[]
bengkak;bengkak akibat terpukul;[];[]
benjolan payudara;benjolan benjolan payudara;[];[]
benjolan payudara;benjolan payudara;[];[]
berat badan berlebih;kelebihan berat badan;[];[]
berat badan berlebih;berat badan berlebih;[];[]
bersin;bersin;[];[]
bersin;bersinbersin disertai batuk;[];[]
bersin;bersin bersin yang disertai batuk;[];[]
bersin;bersinbersin;[];[]
bersin;pilek bersinbersin;[];[]
bersin;bersin bersin;[];[]
bersin;bersinbersin yang disertai batuk;[];[]
bersin;bersin disertai batuk;[];[]
bersin;bersin bersin disertai batuk;[];[]
bersin;bersin dan hidung tersumbat karena flu;[];[]
bersin;pilek bersin;[];[]
bersin;bersin hidung tersumbat flu;[];[]
biang keringat;gatal akibat keringat;[];[]
biang keringat;biang keringat alergi;[];[]
biang keringat;biang keringat;[];[]
biang keringat;biang keringet;[];[]
bibir kering;kulit pecah pecah sudut mulut;[];[]
bibir kering;bibir pecahpecah;[];[]
bibir kering;bibir pecah pecah;[];[]
bibir kering;bibir pecah pcah;[];[]
bibir kering;bibir kering;[];[]
biduran;kaligata;[];[]
biduran;gatalgatal biduran;[];[]
biduran;gangguan alergi urtikaria biduran kaligata kronis;[];[]
biduran;biduran kaligata kronis;[];[]
biduran;biduran;[];[]
biduran;urtikaria biduran;[];[]
bisul;bisul gatal;[];[]
bisul;bisul;[];[]
bisul;bisul bernanah;[];[]
blastomikosis;blastomikosis;[];[]
blefaritis;blepharitis;[];[]
blefaritis;blefaritis alergi radang kelopak mata akibat alergi;[];[]
blefaritis;blefaritis non purulen;[];[]
blefaritis;blefaritis nonpurulen;[];[]
blefaritis;blefaritis;[];[]
blefarokonjungtivitis;blefarokonjungtivitis keratokonjungtivitis;[];[]
blefarokonjungtivitis;blefarokonjungtivitis;[];[]
bph (benign prostatic hyperplasia);hiperplasia prostat jinak;['pembesaran prostat jinak', 'terapi hiperplasia prostat jinak'];['pembesaran prostat jinak', 'terapi hiperplasia prostat jinak']
bph (benign prostatic hyperplasia);hiperplasia prostat;[];[]
bph (benign prostatic hyperplasia);bph;[];[]
bph (benign prostatic hyperplasia);bph (benign prostatic hyperplasia);[];[]
bph (benign prostatic hyperplasia);benign prostatic hyperplasia;[];[]
bromokriptin;bromokriptin;[];[]
bronkiektasis;bronkiektasis;[];[]
bronkiektasis;bronkiektasi;[];[]
bronkiektasis;bronkhiektasis;[];[]
bronkiolitis;bronchiolitis;[];[]
bronkiolitis;bronkiolitis;[];[]
bronkitis;bronkitis alergi;[];[]
bronkitis;bronkitis;[];[]
bronkitis;bronkhitis;[];[]
bronkitis;bronchitis;[];[]
bronkitis;kaitan bronkhitis;[];[]
bronkitis akut dan kronis;bronkhitis akut dan kronis serta eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;bronkhitis khronis;[];[]
bronkitis akut dan kronis;exaserbasi akut bronkhitis khronik;[];[]
bronkitis akut dan kronis;bronkitis purulen;[];[]
bronkitis akut dan kronis;bronkhitis akut dan kronis;[];[]
bronkitis akut dan kronis;bronkhitis kronis dan eksaserbasi akut;[];[]
bronkitis akut dan kronis;eksaserbasi akut bronkitis kronik;[];[]
bronkitis akut dan kronis;eksaserbasi bakteri akut bronkitis kronis;[];[]
bronkitis akut dan kronis;bronkitis asmatikus;[];[]
bronkitis akut dan kronis;bronkhitis khronik emfisema;[];[]
bronkitis akut dan kronis;bronkhitis akut dan kronik;[];[]
bronkitis akut dan kronis;bronkitis kronis eksaserbasi akut;[];[]
bronkitis akut dan kronis;bronkitis asmatis;[];[]
bronkitis akut dan kronis;eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;bronkhitis akut  khronis;[];[]
bronkitis akut dan kronis;bronkhitis kronis eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;eksaserbasi akut bronkitis kronis;[];[]
bronkitis akut dan kronis;bronkitis akut atau kronik;[];[]
bronkitis akut dan kronis;bronkitis kronik;[];[]
bronkitis akut dan kronis;bronchitis akut kronik;[];[]
bronkitis akut dan kronis;eksaserbasi dari bronkhitis kronis;[];[]
bronkitis akut dan kronis;bronchitis akut dan kronik;[];[]
bronkitis akut dan kronis;eksaserbasi bronkhitis kronis;[];[]
bronkitis akut dan kronis;bronkhitis akut;[];[]
bronkitis akut dan kronis;bronkitis menahun;[];[]
bronkitis akut dan kronis;bronkhitis akut khronis;[];[]
bronkitis akut dan kronis;ppok bronkhitis khronis;[];[]
bronkitis akut dan kronis;eksaserbasi bakterial akut bronkitis kronik;[];[]
bronkitis akut dan kronis;eksaserbasi bronkhitis khronik;[];[]
bronkitis akut dan kronis;bronkitis akut dan kronik;[];[]
bronkitis akut dan kronis;bronkritis kronik;[];[]
bronkitis akut dan kronis;exaserbasi;[];[]
bronkitis akut dan kronis;bronkhitis kronik;[];[]
bronkitis akut dan kronis;ppok;[];[]
bronkitis akut dan kronis;eksaserbasi kronis akut;[];[]
bronkitis akut dan kronis;bronkitis akut kronik;[];[]
bronkitis akut dan kronis;bronkhitis khronis exaserbasi akut;[];[]
bronkitis akut dan kronis;bronkhitis kronis serta eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;bronkhitis asmatik;[];[]
bronkitis akut dan kronis;bronkhitis kronis dan eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;eksaserbasi akut dari bronkitis kronik;[];[]
bronkitis akut dan kronis;bronkhitis akut berulang;[];[]
bronkitis akut dan kronis;bronkitis kronik eksaserbasi akut;[];[]
bronkitis akut dan kronis;bronkitis khronis;[];[]
bronkitis akut dan kronis;bronkhitis kronis;[];[]
bronkitis akut dan kronis;bronkhitis kronis eksaserbasi akut;[];[]
bronkitis akut dan kronis;bronkhitis khronik;[];[]
bronkitis akut dan kronis;akut bronkhitis;[];[]
bronkitis akut dan kronis;bronkitis akut;[];[]
bronkitis akut dan kronis;bronkitis asmatik;[];[]
bronkitis akut dan kronis;bronkhitis akut kronis serta eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;bronkitis kronis;[];[]
bronkitis akut dan kronis;bronkhitis akut kronis;[];[]
bronkitis akut dan kronis;bronkhitis akut kronik;[];[]
bronkitis akut dan kronis;eksaserbasi bakteri akut bronkitis kronik;[];[]
bronkitis akut dan kronis;bronkhitis kronis serta eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut;[];[]
bronkitis akut dan kronis;exaserbasi bronkhitis khronik;[];[]
bronkitis akut dan kronis;infeksi traktus respiratorius bronkhitis akut sinusitis akut;[];[]
bronkitis akut dan kronis;bronkhitis pneumonia;[];[]
bronkitis akut dan kronis;infeksi akut bronkitis kronis;[];[]
bronkitis akut dan kronis;eksaserbasi bronkitis kronis;[];[]
bronkitis akut dan kronis;eksaserbasi akut dr bronkitis kronik;[];[]
bronkitis akut dan kronis;eksesarbasi bronkitis kronis;[];[]
bronkitis pneumonia;bronkitis pneumonia;[];[]
bronkopasma;bronkospasme akut;[];[]
bronkopasma;bronkospasme kronis;[];[]
bronkopasma;bronkospasma;[];[]
bronkopasma;kondisi2 bronkhospastik;[];[]
bronkopasma;bronkospasme semua jenis asma bronkial;[];[]
bronkopasma;bronkospasme bronkitis kronik;[];[]
bronkopasma;bronkhospastik;[];[]
bronkopasma;bronkhospasme reversibel;[];[]
bronkopasma;bronkospasme;[];[]
bronkopasma;bronkospasme kronik;[];[]
bronkopasma;bronkospasme pada semua jenis asma bronkial;[];[]
bronkopasma;bronkhospasme;[];[]
bronkopasma;bronkhospastik lain;[];[]
bronkopasma;bronkospasme reversibel;[];[]
bronkopasma;bronkospasme jenis asma bronkial;[];[]
bronkopasma;penyakit2 paru menimbulkan komplikasi bronkhospasme;[];[]
bronkopneumonia;bronkopneumonia;[];[]
bronkopulmonal;bronkopulmonal;[];[]
brucellosis;brucellosis;[];[]
brucellosis;bruselosis;[];[]
bursitis;bursitis;[];[]
cacar air;cacar air;[];[]
cacing cambuk;cacing cambuk;[];[]
cacing gelang ascaris lumbricoides;cacing gelang;[];[]
cacing gelang ascaris lumbricoides;cacing gelang ascaris lumbricoides;[];[]
cacing kremi;infeksi cacing campuran;[];[]
cacing kremi;cacing kremi;[];[]
cacing kremi;enterobius vermicularis;[];[]
cacing kremi;kremi;[];[]
cacing kremi;infeksi cacing kremi cacing gelang cacing tambang cacing cambuk infeksi cacing campuran tersebut;[];[]
cacing kremi;cacing;[];[]
cacing kremi;kecacingan;[];[]
cacing kremi;infeksi cacing kremi enterobius vermicularis;[];[]
cacing kremi;cacingan;[];[]
cacing tambang;cacing tambang;[];[]
cacing tambang;cacing tambang ancylostoma duodenale;['ancylostoma duodenale'];['ancylostoma duodenale']
cacing tambang;cacing tambang necator americanus;['necator americanus'];['necator americanus']
campak;campak;[];[]
candidiasis;kandida;[];[]
candidiasis;kandiasis organ genital;[];[]
candidiasis;infeksi kandida subkutan invasif;[];[]
candidiasis;infeksi kandida kriptokokal;[];[]
candidiasis;gastrointestinal kandidosis sistemik;[];[]
candidiasis;kandidiasis subkutan;[];[]
candidiasis;kandidiasi genetikal;[];[]
candidiasis;kandidiasis esofageal;[];[]
candidiasis;intertrigo kandida;[];[]
candidiasis;kandidiasis sistemik serius;[];[]
candidiasis;kandidiasis invasif;[];[]
candidiasis;kandidiasis;[];[]
candidiasis;kandidiasis kutaneus moniliasis;[];[]
candidiasis;kandidiasis sistemik yang serius;[];[]
candidiasis;orofaringeal infeksi kandida sistemik serius;[];[]
candidiasis;kandidosis vulvovaginal;[];[]
candidiasis;infeksi mikosis sistemik kandidiasis;[];[]
candidiasis;kandidiasis saluran cerna;[];[]
candidiasis;infeksi kandida sistemik serius;[];[]
candidiasis;kandidiasis sistemik;[];[]
candidiasis;kandidiasi genetikal teritama;[];[]
candidiasis;infeksi kandida invasif;[];[]
candidiasis;candidiasis;[];[]
candidiasis;kandidosis;[];[]
candidiasis;kandidiasis vulvovag;[];[]
candidiasis;kandidemia infeksi kandida sistemik;[];[]
candidiasis;kandidiasis diseminata;[];[]
candidiasis;moniliasis;[];[]
candidiasis;kandida jamur bakteri gram positif;[];[]
candidiasis;kandiasis di organ genital;[];[]
candidiasis;kandidiasis gastrointestinal;[];[]
candidiasis;candida candidiasis;[];[]
candidiasis;kandidiasis esofaringeal;[];[]
candidiasis;infeksi kandida sistemik;[];[]
candidiasis;kandidiasis vulvovagina;[];[]
candidiasis;kandda vagina;[];[]
candidiasis;infeksi kandida kriptokokal sistemik;[];[]
candidiasis;kandidiasis kutaneus;[];[]
candidiasis;kandiasis;[];[]
cedera;cedera;[];[]
cedera olahraga;cedera jaringan lunak;[];[]
cedera olahraga;cedera berolahraga kecelakaan;[];[]
cedera olahraga;cedera karena olahraga;[];[]
cedera olahraga;cedera olahraga kecelakaan;[];[]
cedera olahraga;cedera karena olahraga dan kecelakaan;[];[]
cedera olahraga;cedera olahraga;[];[]
cerebral palsy;kelumpuhan cerebral;[];[]
cerebral palsy;cerebral palsy;[];[]
cerebral palsy;cerbral palsy;[];[]
chlamydia;chlamydia trachomatis;[];[]
chlamydia;chlamydia;[];[]
chlamydia;trachomatis;[];[]
cocidioidomycosis;coci dioidomycosis;[];[]
cocidioidomycosis;cocci dioidomycosis;[];[]
covid-19;covid19;[];[]
covid-19;covid 19;[];[]
covid-19;covid-19;[];[]
cystitis;cystitis;[];[]
dakriosistitis;dakriosistitis;[];[]
deep vein thrombosis;deep vein thrombosis;[];[]
defisiensi asam folat;defisensi asam folat;[];[]
defisiensi asam folat;defisiensi asam folat;[];[]
defisiensi estrogen;defisiensi estrogen;[];[]
defisiensi natrium hipovolemik;defisiensi natrium hipovolemik;[];[]
defisiensi progesteron;defisiensi progesteron;[];[]
defisiensi tiamin;defisiensi tiamin;[];[]
defisiensi tiamin;kekurangan thiamin mononitrate;[];[]
defisiensi vitamin b;defisiensi vitamin b;[];[]
defisiensi vitamin b;defisiensi folic acid;[];[]
defisiensi vitamin b;kekurangan vitamin b;[];[]
defisiensi vitamin b;kekurangan vitamin c b kompleks;[];[]
defisiensi vitamin b1;defisiensi vit b1;[];[]
defisiensi vitamin b1;defisiensi vit  b1;[];[]
defisiensi vitamin b1;defisiensi vitamin b1;[];[]
defisiensi vitamin b1;kekurangan vitamin b1;[];[]
defisiensi vitamin b12;defisiensi vit b12;[];[]
defisiensi vitamin b12;kekurangan vitamin b12;[];[]
defisiensi vitamin b12;defisiensi vitamin b12;[];[]
defisiensi vitamin b6;kekurangan vitamin b6;[];[]
defisiensi vitamin b6;defisiensi vit b6;[];[]
defisiensi vitamin b6;defisiensi vitamin b6;[];[]
defisiensi vitamin d;pasien dengan kekurangan vitamin d;[];[]
defisiensi vitamin d;kekurangan vitamin d;[];[]
defisiensi vitamin d;kekurangan vitamin d kadar serum 25ohd 30 ngml;[];[]
defisiensi vitamin e;defisiensi vitamin e;[];[]
defisiensi vitamin neurotropik;defisiensi vitamin neurotropik;[];[]
defisiensi zinc;defisiensi zinc;[];[]
dehidrasi;dehidrasi sedang;[];[]
dehidrasi;dehidrasi ringan;[];[]
dehidrasi;dehidrasisedang;[];[]
dehidrasi;dehidrasi;[];[]
demam;demam sesudah imunisasi;[];[]
demam;demam;[];[]
demam;demam menyertai flu;[];[]
demam;demam pasca vaksinasi;[];[]
demam;demam flu;[];[]
demam;menurunkan demam;[];[]
demam;demam forte;[];[]
demam;demam q;[];[]
demam;demam sesudah vaksinasi;[];[]
demam;demam pasca imunisasi;[];[]
demam;demam vaksinasi;[];[]
demam;panas demam;[];[]
demam;demam imunisasi;[];[]
demam;nyeri demam;[];[]
demam;demam enterik infeksi pencernaan;[];[]
demam;demam paska vaksinasi;[];[]
demam;demam akibat pilek;[];[]
demam;sakit demam;[];[]
demam;demam menyertai flu paska vaksinasi;[];[]
demam;demam setelah imunisasi;[];[]
demam;dmam;[];[]
demam;demam enterik;[];[]
demam berdarah;demam berdarah;[];[]
demam pada anak;demam anakanak;[];[]
