standardized_disease;fuzzy_tfidf_fuzzy_tfidf_fuzzy_fuzzy_tfidf_fuzzy_tfidf_fuzzy_tfidf;list_of_diseases;corrected_list_of_diseases;
anovulasi;anovulasi;[];[];
ansietas;ansietas;[];[];
aritmia;gangguan ritme irama atrium;[];[];
aritmia;aritmia ventrikel supraventrikel;[];[];
aritmia;gangguan ritme irama berhubungan;[];[];
aritmia;disritmia jantung;[];[];
aritmia;disritmia kordis;[];[];
aritmia;aritmia;[];[];
aritmia;aritmia jantung;[];[];
arteriosklerosis;arteriosklerosis;[];[];
arthritis;artritis akut;[];[];
arthritis;atritis akut kronis;[];[];
arthritis;arthitis;[];[];
arthritis;arthritis;[];[];
arthritis;arthisis;[];[];
arthritis;artritis idiopatik juvenil;[];[];
arthritis;nyeri arthritis ringan;[];[];
arthritis;artritis;[];[];
arthritis gout;artritis gout akut;[];[];
arthritis gout;serangan akut gout;[];[];
arthritis gout;serangan gout akut;[];[];
arthritis gout;gout;[];[];
arthritis gout;arthritis gout akut;[];[];
arthritis gout;gout artritis akut;[];[];
arthritis gout;gout akut;[];[];
asam urat;kelebihan asam urat;[];[];
asam urat;produksi asam urat berlebihan;[];[];
asam urat;asam urat;[];[];
asam urat;urat kaku;[];[];
asam urat;asam urat akut;[];[];
ascariasis;ascariasis;[];[];
ascariasis;ascaris lumbricoides;[];[];
ascariasis;askariasis;[];[];
asites;asites;[];[];
asma;asmatikus;[];[];
asma;asma ringan;[];[];
asma;asma bronkial kronik;[];[];
asma;astma;[];[];
asma;asma bronkhial;[];[];
asma;asthma;[];[];
asma;asma bronkhial khronik;[];[];
asma;asma kronis;[];[];
asma;asma;[];[];
asma;asthma bronkial;[];[];
asma;obstruksi saluran nafas asma bronkhial;[];[];
asma;asma berat akut;[];[];
asma;asma berat;[];[];
asma;serangan asma akut;[];[];
asma;asmatik asma bronkial;[];[];
asma;bronkial asma;[];[];
asma;asma akut;[];[];
asma;asma dermatitis;[];[];
asma;asma sedang;[];[];
asma;asma akut berat;[];[];
asma;asma bronkial;[];[];
asma;asthmatoid bronchitis;[];[];
asma;status asmatikus;[];[];
aspergillosis;aspergillosis;[];[];
aspergillosis;aspergilosis;[];[];
asthenia;astenia;[];[];
aterosklerosis;aterosklerosis vaskular;[];[];
aterosklerosis;aterosklerosis;[];[];
aterosklerosis;artherosklerosis;[];[];
atoni;atoni;[];[];
atrial fibrilasi;fibrilasi flutter atrium paroksismal;[];[];
atrial fibrilasi;fibrilasi atrium paroxismal;[];[];
atrial fibrilasi;fibrilasi atrium;[];[];
atrial fibrilasi;atrial fibrilasi;[];[];
atrial flutter;atrial flutter;[];[];
bakteremia;bakteremia;[];[];
batu empedu;empedu;['obstruksi parsial saluran empedu'];[];
batu empedu;batu empedu;[];[];
batu ginjal;batu ginjal;[];[];
batu ginjal;batu oksalat ginjal saluran kemih;[];[];
batu ginjal;batu oksalat;[];[];
batu kandung kemih;kandung kemih aktif;[];[];
batu kandung kemih;gejala kandung kemih aktif;[];[];
batu kandung kemih;batu urin;[];[];
batu kandung kemih;batu kandung kemih;[];[];
batu kandung kemih;batu urin saluran kemih;[];[];
batuk;gejala batuk;[];[];
batuk;batuk produktifberdahak  nonproduktifkering;[];[];
batuk;batuk karena alergi;[];[];
batuk;batuk karena bronchitis;[];[];
batuk;batuk alergi;[];[];
batuk;batuk disebabkan alergi;[];[];
batuk;batuk disertai peradangan saluran pernafasan bagian atas;[];[];
batuk;batuk;[];[];
batuk;batuk sesak;[];[];
batuk;batuk bronchitis;[];[];
batuk;batuk yang disertai peradangan saluran pernafasan bagian atas;[];[];
batuk;meredakan batuk;[];[];
batuk;batuk menahun;[];[];
batuk;batuk panas;[];[];
batuk;batuk rangsangan selaput pernafasan;[];[];
batuk;batuk disebabkan oleh alergi;[];[];
batuk;batuk produktifberdahak nonproduktifkering;[];[];
batuk;batuk tenggorokan;[];[];
batuk;batuk yang disebabkan oleh alergi;[];[];
batuk;batuk akibat alergi;[];[];
batuk;batuk karena emphysema;[];[];
batuk;batuk gatal;[];[];
batuk;batuk akut kronik;[];[];
batuk berdahak;ekspektoran;[];[];
batuk berdahak;dahak;[];[];
batuk berdahak;batuk berdahak disertai alergi;[];[];
batuk berdahak;mukolitik;[];[];
batuk berdahak;ekspektoran gangguan batuk berdahak;[];[];
batuk berdahak;batuk dahak kental;[];[];
batuk berdahak;ekspektoran batuk berdahak;[];[];
batuk berdahak;batuk berdahak alergi;[];[];
batuk berdahak;batuk berdahak;[];[];
batuk berdahak;gangguan batuk berdahak;[];[];
batuk berdahak;batuk produktif berdahak;[];[];
batuk berdahak;batuk produktifberdahak;[];[];
batuk berdahak;batuk mukolitik;[];[];
batuk berdahak;batuk berdahak karena alergi;[];[];
batuk berdahak;dahak kental;[];[];
batuk berdahak;batuk produktif;[];[];
batuk berdahak;dahak mukus;[];[];
batuk berdahak;susah mengeluarkan dahak;[];[];
batuk berdahak;batuk ikke berdahak;[];[];
batuk kering;batuk non produktif;[];[];
batuk kering;batuk nonproduktif;[];[];
batuk kering;batuk nonproduktiftidak berdahak;[];[];
batuk kering;batuk nonproduktifkering;[];[];
batuk kering;gejala batuk tidak berdahak;[];[];
batuk kering;batuk yang tidak berdahak disertai bersinbersin atau alergi;[];[];
batuk kering;batuk tidak berdahak disertai bersinbersin alergi;[];[];
batuk kering;batuk kering;[];[];
batuk kronis;batuk kronis akut;[];[];
batuk kronis;batuk kronis;[];[];
batuk pilek;batuk pilek;[];[];
batuk pilek;batuk berhubungan pilek;[];[];
batuk pilek;batuk menyertai pilek alergi;[];[];
batuk pilek;batukpilek;[];[];
batuk pilek;batuk/pilek;[];[];
batuk pilek;batuk berhubungan flu gangguan pernapasan;[];[];
batuk rejan;batuk rejanpertusis;[];[];
batuk rejan;batuk rejan;[];[];
batuk tidak berdahak;tidak berdahak;[];[];
batuk tidak berdahak;batuk tidak berdahak;[];[];
bau badan;bau badan;[];[];
bau mulut;bau mulut sedap;[];[];
bau mulut;bau mulut;[];[];
bengkak;bengkak memar;[];[];
bengkak;bengkak;[];[];
bengkak;bengkak atau memar;[];[];
bengkak;bengkak akibat terpukul;[];[];
bengkak;bengak;[];[];
benjolan payudara;benjolan benjolan payudara;[];[];
benjolan payudara;benjolan payudara;[];[];
berat badan berlebih;berat badan berlebih;[];[];
berat badan berlebih;kelebihan berat badan;[];[];
bersin;bersinbersin disertai batuk;[];[];
bersin;bersin bersin yang disertai batuk;[];[];
bersin;pilek bersin;[];[];
bersin;bersin disertai batuk;[];[];
bersin;bersin bersin disertai batuk;[];[];
bersin;bersinbersin yang disertai batuk;[];[];
bersin;bersin hidung tersumbat flu;[];[];
bersin;bersinbersin;[];[];
bersin;bersin dan hidung tersumbat karena flu;[];[];
bersin;pilek bersinbersin;[];[];
bersin;bersin;[];[];
bersin;bersin bersin;[];[];
biang keringat;biang keringet;[];[];
biang keringat;biang keringat alergi;[];[];
biang keringat;gatal akibat keringat;[];[];
biang keringat;biang keringat;[];[];
bibir kering;bibir pecah pcah;[];[];
bibir kering;bibir pecah pecah;[];[];
bibir kering;bibir pecahpecah;[];[];
bibir kering;kulit pecah pecah sudut mulut;[];[];
bibir kering;bibir kering;[];[];
biduran;kaligata;[];[];
biduran;biduran kaligata kronis;[];[];
biduran;gatalgatal biduran;[];[];
biduran;biduran;[];[];
biduran;urtikaria biduran;[];[];
biduran;gangguan alergi urtikaria biduran kaligata kronis;[];[];
bisul;bisul bernanah;[];[];
bisul;bisul;[];[];
bisul;bisul gatal;[];[];
blastomikosis;blastomikosis;[];[];
blefaritis;blepharitis;[];[];
blefaritis;blefaritis non purulen;[];[];
blefaritis;blefaritis alergi radang kelopak mata akibat alergi;[];[];
blefaritis;blefaritis nonpurulen;[];[];
blefaritis;blefaritis;[];[];
blefarokonjungtivitis;blefarokonjungtivitis keratokonjungtivitis;[];[];
blefarokonjungtivitis;blefarokonjungtivitis;[];[];
bph (benign prostatic hyperplasia);benign prostatic hyperplasia;[];[];
bph (benign prostatic hyperplasia);pembesaran prostat jinak;[];[];
bph (benign prostatic hyperplasia);hiperplasia prostat jinak;[];[];
bph (benign prostatic hyperplasia);hiperplasia prostat;[];[];
bph (benign prostatic hyperplasia);bph;[];[];
bph (benign prostatic hyperplasia);terapi hiperplasia prostat jinak;[];[];
bph (benign prostatic hyperplasia);bph (benign prostatic hyperplasia);[];[];
bromokriptin;bromokriptin;[];[];
bronkiektasis;bronkhiektasis;[];[];
bronkiektasis;bronkiektasi;[];[];
bronkiektasis;bronkiektasis;[];[];
bronkiolitis;bronkiolitis;[];[];
bronkiolitis;bronchiolitis;[];[];
bronkitis;bronkitis alergi;[];[];
bronkitis;bronkhitis;[];[];
bronkitis;bronchitis;[];[];
bronkitis;kaitan bronkhitis;[];[];
bronkitis;bronkitis;[];[];
bronkitis akut dan kronis;bronkhitis akut berulang;[];[];
bronkitis akut dan kronis;eksaserbasi akut bronkitis kronik;[];[];
bronkitis akut dan kronis;bronkhitis akut kronik;[];[];
bronkitis akut dan kronis;bronkhitis akut kronis serta eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut;[];[];
bronkitis akut dan kronis;eksaserbasi bakterial akut bronkitis kronik;[];[];
bronkitis akut dan kronis;bronkhitis kronis serta eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut;[];[];
bronkitis akut dan kronis;bronkhitis kronis eksaserbasi akut;[];[];
bronkitis akut dan kronis;bronkitis kronis eksaserbasi akut;[];[];
bronkitis akut dan kronis;infeksi akut bronkitis kronis;[];[];
bronkitis akut dan kronis;bronchitis akut kronik;[];[];
bronkitis akut dan kronis;bronkhitis akut;[];[];
bronkitis akut dan kronis;ppok;[];[];
bronkitis akut dan kronis;bronkhitis khronik;[];[];
bronkitis akut dan kronis;eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut;[];[];
bronkitis akut dan kronis;eksaserbasi akut dr bronkitis kronik;[];[];
bronkitis akut dan kronis;bronkhitis akut  khronis;[];[];
bronkitis akut dan kronis;bronkhitis khronik emfisema;[];[];
bronkitis akut dan kronis;bronkitis asmatikus;[];[];
bronkitis akut dan kronis;bronkitis akut;[];[];
bronkitis akut dan kronis;eksaserbasi kronis akut;[];[];
bronkitis akut dan kronis;bronkitis kronis;[];[];
bronkitis akut dan kronis;bronkitis menahun;[];[];
bronkitis akut dan kronis;bronkitis asmatik;[];[];
bronkitis akut dan kronis;bronkitis kronik;[];[];
bronkitis akut dan kronis;eksesarbasi bronkitis kronis;[];[];
bronkitis akut dan kronis;eksaserbasi bronkitis kronis;[];[];
bronkitis akut dan kronis;bronkritis kronik;[];[];
bronkitis akut dan kronis;akut bronkhitis;[];[];
bronkitis akut dan kronis;bronkhitis kronis eksaserbasi kumatnya penyakit gejala penyakit secara mendadak akut;[];[];
bronkitis akut dan kronis;bronkhitis akut khronis;[];[];
bronkitis akut dan kronis;bronkitis kronik eksaserbasi akut;[];[];
bronkitis akut dan kronis;eksaserbasi dari bronkhitis kronis;[];[];
bronkitis akut dan kronis;bronkhitis akut dan kronik;[];[];
bronkitis akut dan kronis;eksaserbasi akut bronkitis kronis;[];[];
bronkitis akut dan kronis;bronkhitis akut kronis;[];[];
bronkitis akut dan kronis;eksaserbasi akut dari bronkitis kronik;[];[];
bronkitis akut dan kronis;exaserbasi bronkhitis khronik;[];[];
bronkitis akut dan kronis;bronkitis akut dan kronik;[];[];
bronkitis akut dan kronis;bronkhitis kronik;[];[];
bronkitis akut dan kronis;bronkhitis kronis dan eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut;[];[];
bronkitis akut dan kronis;eksaserbasi bronkhitis khronik;[];[];
bronkitis akut dan kronis;bronkitis asmatis;[];[];
bronkitis akut dan kronis;bronkhitis akut dan kronis;[];[];
bronkitis akut dan kronis;bronkitis akut kronik;[];[];
bronkitis akut dan kronis;bronkhitis pneumonia;[];[];
bronkitis akut dan kronis;bronkitis khronis;[];[];
bronkitis akut dan kronis;bronkhitis kronis dan eksaserbasi akut;[];[];
bronkitis akut dan kronis;exaserbasi;[];[];
bronkitis akut dan kronis;bronkhitis khronis;[];[];
bronkitis akut dan kronis;bronkhitis akut dan kronis serta eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut;[];[];
bronkitis akut dan kronis;infeksi traktus respiratorius bronkhitis akut sinusitis akut;[];[];
bronkitis akut dan kronis;eksaserbasi bakteri akut bronkitis kronik;[];[];
bronkitis akut dan kronis;bronkhitis asmatik;[];[];
bronkitis akut dan kronis;eksaserbasi bakteri akut bronkitis kronis;[];[];
bronkitis akut dan kronis;eksaserbasi bronkhitis kronis;[];[];
bronkitis akut dan kronis;bronkhitis kronis serta eksaserbasi kumatnya penyakit atau gejala penyakit secara mendadak akut;[];[];
bronkitis akut dan kronis;bronkhitis khronis exaserbasi akut;[];[];
bronkitis akut dan kronis;exaserbasi akut bronkhitis khronik;[];[];
bronkitis akut dan kronis;ppok bronkhitis khronis;[];[];
bronkitis akut dan kronis;bronchitis akut dan kronik;[];[];
bronkitis akut dan kronis;bronkitis akut atau kronik;[];[];
bronkitis akut dan kronis;bronkhitis kronis;[];[];
bronkitis akut dan kronis;bronkitis purulen;[];[];
bronkitis pneumonia;bronkitis pneumonia;[];[];
bronkopasma;bronkospasme semua jenis asma bronkial;[];[];
bronkopasma;bronkospasma;[];[];
bronkopasma;bronkospasme;[];[];
bronkopasma;bronkospasme bronkitis kronik;[];[];
bronkopasma;penyakit2 paru menimbulkan komplikasi bronkhospasme;[];[];
bronkopasma;bronkospasme reversibel;[];[];
bronkopasma;kondisi2 bronkhospastik;[];[];
bronkopasma;bronkhospastik;[];[];
bronkopasma;bronkhospastik lain;[];[];
bronkopasma;bronkhospasme;[];[];
bronkopasma;bronkospasme pada semua jenis asma bronkial;[];[];
bronkopasma;bronkospasme kronis;[];[];
bronkopasma;bronkospasme kronik;[];[];
bronkopasma;bronkospasme jenis asma bronkial;[];[];
bronkopasma;bronkhospasme reversibel;[];[];
bronkopasma;bronkospasme akut;[];[];
bronkopneumonia;bronkopneumonia;[];[];
bronkopulmonal;bronkopulmonal;[];[];
brucellosis;brucellosis;[];[];
brucellosis;bruselosis;[];[];
bursitis;bursitis;[];[];
cacar air;cacar air;[];[];
cacing cambuk;cacing cambuk;[];[];
cacing gelang ascaris lumbricoides;cacing gelang ascaris lumbricoides;[];[];
cacing gelang ascaris lumbricoides;cacing gelang;[];[];
cacing kremi;cacing;['cacing trichostrongylus colubriformis'];[];
cacing kremi;infeksi cacing kremi enterobius vermicularis;[];[];
cacing kremi;infeksi cacing campuran;[];[];
cacing kremi;kremi;[];[];
cacing kremi;infeksi cacing kremi cacing gelang cacing tambang cacing cambuk infeksi cacing campuran tersebut;[];[];
cacing kremi;cacingan;[];[];
cacing kremi;enterobius vermicularis;[];[];
cacing kremi;kecacingan;[];[];
cacing kremi;cacing kremi;[];[];
cacing tambang;cacing tambang necator americanus;[];[];
cacing tambang;ancylostoma duodenale;[];[];
cacing tambang;cacing tambang;[];[];
cacing tambang;necator americanus;[];[];
cacing tambang;cacing tambang ancylostoma duodenale;[];[];
campak;campak;[];[];
candidiasis;infeksi mikosis sistemik kandidiasis;[];[];
candidiasis;kandidiasis sistemik;[];[];
candidiasis;kandidiasis esofageal;[];[];
candidiasis;kandiasis di organ genital;[];[];
candidiasis;kandidiasis gastrointestinal;[];[];
candidiasis;kandidiasis sistemik yang serius;[];[];
candidiasis;infeksi kandida invasif;[];[];
candidiasis;kandidiasis vulvovag;[];[];
candidiasis;infeksi kandida subkutan invasif;[];[];
candidiasis;gastrointestinal kandidosis sistemik;[];[];
candidiasis;kandida jamur bakteri gram positif;[];[];
candidiasis;kandiasis organ genital;[];[];
candidiasis;kandidiasi genetikal teritama;[];[];
candidiasis;moniliasis;[];[];
candidiasis;kandidiasis;[];[];
candidiasis;infeksi kandida kriptokokal;[];[];
candidiasis;kandidiasis invasif;[];[];
candidiasis;kandidiasis esofaringeal;[];[];
candidiasis;kandidiasis sistemik serius;[];[];
candidiasis;kandida;[];[];
candidiasis;kandidiasi genetikal;[];[];
candidiasis;intertrigo kandida;[];[];
candidiasis;infeksi kandida kriptokokal sistemik;[];[];
candidiasis;kandidiasis kutaneus;[];[];
candidiasis;kandidosis vulvovaginal;[];[];
candidiasis;kandidosis;[];[];
candidiasis;kandiasis;[];[];
candidiasis;candidiasis;[];[];
candidiasis;kandda vagina;[];[];
candidiasis;kandidiasis diseminata;[];[];
candidiasis;infeksi kandida sistemik;[];[];
candidiasis;kandidemia infeksi kandida sistemik;[];[];
candidiasis;kandidiasis vulvovagina;[];[];
candidiasis;kandidiasis kutaneus moniliasis;[];[];
candidiasis;infeksi kandida sistemik serius;[];[];
candidiasis;orofaringeal infeksi kandida sistemik serius;[];[];
candidiasis;kandidiasis saluran cerna;[];[];
candidiasis;kandidiasis subkutan;[];[];
candidiasis;candida candidiasis;[];[];
cedera;cedera;[];[];
cedera olahraga;cedera olahraga;[];[];
cedera olahraga;cedera jaringan lunak;[];[];
cedera olahraga;cedera karena olahraga;[];[];
cedera olahraga;cedera olahraga kecelakaan;[];[];
cedera olahraga;cedera karena olahraga dan kecelakaan;[];[];
cedera olahraga;cedera berolahraga kecelakaan;[];[];
cerebral palsy;cerbral palsy;[];[];
cerebral palsy;cerebral palsy;[];[];
cerebral palsy;kelumpuhan cerebral;[];[];
chlamydia;trachomatis;[];[];
chlamydia;chlamydia;[];[];
chlamydia;chlamydia trachomatis;[];[];
cocidioidomycosis;cocci dioidomycosis;[];[];
cocidioidomycosis;coci dioidomycosis;[];[];
covid-19;covid-19;[];[];
covid-19;covid 19;[];[];
covid-19;covid19;[];[];
cystitis;cystitis;[];[];
dakriosistitis;dakriosistitis;[];[];
deep vein thrombosis;deep vein thrombosis;[];[];
defisiensi asam folat;defisiensi asam folat;[];[];
defisiensi asam folat;defisensi asam folat;[];[];
defisiensi estrogen;defisiensi estrogen;[];[];
defisiensi natrium hipovolemik;defisiensi natrium hipovolemik;[];[];
defisiensi progesteron;defisiensi progesteron;[];[];
defisiensi tiamin;kekurangan thiamin mononitrate;[];[];
defisiensi tiamin;defisiensi tiamin;[];[];
defisiensi vitamin b;kekurangan vitamin b;[];[];
defisiensi vitamin b;defisiensi vitamin b;[];[];
defisiensi vitamin b;kekurangan vitamin c b kompleks;[];[];
defisiensi vitamin b;defisiensi folic acid;[];[];
defisiensi vitamin b1;kekurangan vitamin b1;[];[];
defisiensi vitamin b1;defisiensi vit b1;[];[];
defisiensi vitamin b1;defisiensi vit  b1;[];[];
defisiensi vitamin b1;defisiensi vitamin b1;[];[];
defisiensi vitamin b12;defisiensi vitamin b12;[];[];
defisiensi vitamin b12;kekurangan vitamin b12;[];[];
defisiensi vitamin b12;defisiensi vit b12;[];[];
defisiensi vitamin b6;kekurangan vitamin b6;[];[];
defisiensi vitamin b6;defisiensi vit b6;[];[];
defisiensi vitamin b6;defisiensi vitamin b6;[];[];
defisiensi vitamin d;pasien dengan kekurangan vitamin d;[];[];
defisiensi vitamin d;kekurangan vitamin d;[];[];
defisiensi vitamin d;kekurangan vitamin d kadar serum 25ohd 30 ngml;[];[];
defisiensi vitamin e;defisiensi vitamin e;[];[];
defisiensi vitamin neurotropik;defisiensi vitamin neurotropik;[];[];
defisiensi zinc;defisiensi zinc;[];[];
dehidrasi;dehidrasi sedang;[];[];
dehidrasi;dehidrasi;[];[];
dehidrasi;dehidrasisedang;[];[];
dehidrasi;dehidrasi ringan;[];[];
demam;demam pasca imunisasi;[];[];
demam;dmam;[];[];
demam;demam menyertai flu;[];[];
demam;demam sesudah imunisasi;[];[];
demam;sakit demam;[];[];
demam;demam;[];[];
demam;menurunkan demam;['menurunkan tio'];[];
demam;demam vaksinasi;[];[];
demam;demam akibat pilek;[];[];
demam;demam forte;[];[];
demam;demam menyertai flu paska vaksinasi;[];[];
demam;demam setelah imunisasi;[];[];
demam;demam imunisasi;[];[];
demam;demam enterik;[];[];
demam;demam enterik infeksi pencernaan;[];[];
